# Sample: 130 RB player-seasons (2016–2025) — high-volume cohort (prior-year top tier by workload).
Metric,r² → Next YR FP/G,r² Stickiness to Self
Prior FP/G | PPR fantasy points per game in year N — baseline benchmark.,0.313,—
Rec Yards / Game | Receiving yards per game.,0.247,0.482
Rec Yards | Total receiving yards.,0.233,0.287
Yards Per Route Run | Receiving yards per route the player ran — production per opportunity in the passing game.,0.186,0.347
EPA / Touch | (Rushing EPA + Receiving EPA) per (carry + target).,0.162,0.059
Target Share | Player's share of his team's targets.,0.134,0.252
Total TDs | Rushing TDs + Receiving TDs.,0.120,0.054
Targets | Total receiving targets in year N.,0.115,0.265
Rush Yards / Game | Rushing yards per game.,0.106,0.246
YPC | Yards per carry — basic rushing efficiency.,0.069,0.049
Rush Yards | Total rushing yards in year N.,0.068,0.080
"Explosive Rush Rate | Share of carries that went for 15+ yards. Big-play rate, computed from pbp.",0.041,0.067
YACo / Att | Yards after contact per attempt (PFR).,0.034,0.102
Rushes | Total carries in year N.,0.021,0.053
MTF / Att | Missed tackles forced per rush attempt (PFR's brk_tkl / att).,0.016,0.044
