,Rank,Team,Defensive SOS Score
,1,PHIPhiladelphia Eagles,0.487
,2,DETDetroit Lions,0.494
,3,HOUHouston Texans,0.516
,4,MINMinnesota Vikings,0.530
,5,NYJNew York Jets,0.534
,6,LARLos Angeles Rams,0.534
,7,KCKansas City Chiefs,0.547
,8,NENew England Patriots,0.548
,9,SEASeattle Seahawks,0.549
,10,SFSan Francisco 49ers,0.559
,11,NONew Orleans Saints,0.560
,12,INDIndianapolis Colts,0.561
,13,DENDenver Broncos,0.567
,14,WASWashington Commanders,0.568
,15,CLECleveland Browns,0.569
,16,DALDallas Cowboys,0.570
,17,BALBaltimore Ravens,0.573
,18,NYGNew York Giants,0.583
,19,ATLAtlanta Falcons,0.584
,20,MIAMiami Dolphins,0.585
,21,CINCincinnati Bengals,0.591
,22,TENTennessee Titans,0.593
,23,JAXJacksonville Jaguars,0.598
,24,LVLas Vegas Raiders,0.606
,25,GBGreen Bay Packers,0.609
,26,LACLos Angeles Chargers,0.610
,27,TBTampa Bay Buccaneers,0.618
,28,BUFBuffalo Bills,0.624
,29,CHIChicago Bears,0.626
,30,PITPittsburgh Steelers,0.645
,31,ARIArizona Cardinals,0.659
,32,CARCarolina Panthers,0.680
