,Rank,Team,Defensive SOS Score
,1,DETDetroit Lions,0.570
,2,MINMinnesota Vikings,0.581
,3,NENew England Patriots,0.598
,4,PHIPhiladelphia Eagles,0.599
,5,NYJNew York Jets,0.603
,6,LARLos Angeles Rams,0.607
,7,SEASeattle Seahawks,0.616
,8,INDIndianapolis Colts,0.622
,9,ATLAtlanta Falcons,0.623
,10,NYGNew York Giants,0.624
,11,SFSan Francisco 49ers,0.625
,12,HOUHouston Texans,0.631
,13,DENDenver Broncos,0.632
,14,KCKansas City Chiefs,0.632
,15,BUFBuffalo Bills,0.634
,16,DALDallas Cowboys,0.635
,17,NONew Orleans Saints,0.637
,18,MIAMiami Dolphins,0.646
,19,LVLas Vegas Raiders,0.646
,20,GBGreen Bay Packers,0.647
,21,CINCincinnati Bengals,0.647
,22,WASWashington Commanders,0.647
,23,LACLos Angeles Chargers,0.647
,24,CHIChicago Bears,0.648
,25,CLECleveland Browns,0.655
,26,TENTennessee Titans,0.667
,27,JAXJacksonville Jaguars,0.673
,28,BALBaltimore Ravens,0.679
,29,ARIArizona Cardinals,0.684
,30,TBTampa Bay Buccaneers,0.688
,31,PITPittsburgh Steelers,0.693
,32,CARCarolina Panthers,0.711
