Team | (Bye) | ▲,WK 15,WK 16,WK 17 ★,Playoff SOS,Δ vs Reg,Implied Tot.
ARIArizona Cardinals(Wk14),NYJ | 🏟,@ | NO | 🏟,LV | 🏟,0.43,−0.08,19.6
ATLAtlanta Falcons(Wk11),@ | WAS,TB | 🏟,NO | 🏟,0.33,−0.13,22.4
BALBaltimore Ravens(Wk13),@ | PIT,CLE,@ | CIN,0.47,+0.10,25.1
BUFBuffalo Bills(Wk7),CHI,@ | DEN,@ | MIA,0.31,−0.15,26.2
CARCarolina Panthers(Wk5),CIN,@ | PIT,SEA,0.55,+0.03,20.1
CHIChicago Bears(Wk10),@ | BUF,GB,DET,0.41,−0.05,24.3
CINCincinnati Bengals(Wk6),@ | CAR,@ | IND | 🏟,BAL,0.39,−0.04,25.9
CLECleveland Browns(Wk11),@ | NYG,@ | BAL,IND,0.30,−0.12,19.4
DALDallas Cowboys(Wk14),@ | LAR,JAX | 🏟,NYG | 🏟,0.36,−0.10,26.5
DENDenver Broncos(Wk10),@ | LV | 🏟,BUF,@ | NE,0.32,−0.11,21.6
DETDetroit Lions(Wk6),@ | MIN | 🏟,NYG | 🏟,@ | CHI,0.34,+0.02,25.7
GBGreen Bay Packers(Wk11),MIA,@ | CHI,HOU,0.41,+0.01,25.3
HOUHouston Texans(Wk8),JAX | 🏟,@ | PHI,@ | GB,0.53,+0.17,21.6
INDIndianapolis Colts(Wk13),@ | TEN,CIN | 🏟,@ | CLE,0.45,+0.01,23.2
JAXJacksonville Jaguars(Wk7),@ | HOU | 🏟,@ | DAL | 🏟,WAS,0.24,−0.20,23.6
KCKansas City Chiefs(Wk5),NE,SF,@ | LAC,0.50,+0.14,23.0
LACLos Angeles Chargers(Wk7),SF,@ | MIA,KC,0.47,+0.01,24.0
LARLos Angeles Rams(Wk11),DAL,@ | SEA,@ | TB,0.46,+0.09,26.1
LVLas Vegas Raiders(Wk13),DEN | 🏟,TEN | 🏟,@ | ARI | 🏟,0.27,−0.18,20.9
MIAMiami Dolphins(Wk6),@ | GB,LAC,BUF,0.20,−0.19,18.5
MINMinnesota Vikings(Wk6),DET | 🏟,WAS | 🏟,@ | NYJ,0.47,+0.10,23.3
NENew England Patriots(Wk11),@ | KC,@ | NYJ,DEN,0.53,+0.11,22.4
NONew Orleans Saints(Wk8),@ | TB,ARI | 🏟,@ | ATL | 🏟,0.21,−0.17,23.0
NYGNew York Giants(Wk8),CLE,@ | DET | 🏟,@ | DAL | 🏟,0.50,+0.08,22.1
NYJNew York Jets(Wk13),@ | ARI | 🏟,NE,MIN,0.35,−0.04,19.4
PHIPhiladelphia Eagles(Wk10),SEA,HOU,@ | SF,0.66,+0.32,22.8
PITPittsburgh Steelers(Wk9),BAL,CAR,@ | TEN,0.43,−0.03,21.8
SEASeattle Seahawks(Wk11),@ | PHI,LAR,@ | CAR,0.60,+0.21,23.7
SFSan Francisco 49ers(Wk8),@ | LAC,@ | KC,PHI,0.70,+0.28,23.1
TBTampa Bay Buccaneers(Wk10),NO,@ | ATL | 🏟,LAR,0.40,−0.01,23.8
TENTennessee Titans(Wk9),IND,@ | LV | 🏟,PIT,0.42,−0.01,21.6
WASWashington Commanders(Wk7),ATL,@ | MIN | 🏟,@ | JAX,0.32,−0.10,23.2
