,I Did It Myself Score,,,,,,,,,,,,,,,,,,,,
,Name,Team,RTE,TGT,REC,YPRR,MTF/REC,DESIGN,CC,CC %,HERO,YPTOE,WIDE RTE %,SLOT RTE %,MOTION RTE,MOTION %,MOTION % RK,DESIGN %,DESIGN % RK,IDIM Score,IDIM Rank
,Rashee Rice,KC,250,77,53,2.28,0.19,26,2,18.2,0,0.7,54,44.4,142,56.8,64,33.8,107,85.5,99
,Tez Johnson,TB,275,42,28,1.17,0.32,4,6,66.7,1,-1,60,39.3,183,66.55,100,9.5,73,86.5,101
,DJ Moore,CHI,512,82,50,1.33,0.08,14,10,55.6,1,-0.6,65,32.6,305,59.57,76,17.1,98,87,102
,Chris Godwin,TB,239,48,33,1.51,0.24,5,8,61.5,0,0.3,44.4,55.6,161,67.36,101,10.4,80,90.5,103
,Zay Flowers,BLT,464,117,86,2.61,0.23,18,8,66.7,2,2.2,65.1,34.7,292,62.93,88,15.4,96,92,104
,Malik Washington,MIA,334,62,46,0.95,0.26,20,4,66.7,0,-1.7,47,49.4,205,61.38,82,32.3,106,94,105
,John Metchie,"NYJ, PHI",239,48,33,1.15,0.03,7,2,28.6,0,-1.1,63.2,36,165,69.04,103,14.6,93,98,106
,Luther Burden,CHI,230,60,47,2.83,0.23,17,1,50,0,3.4,55.2,43.5,152,66.09,97,28.3,101,99,107
,Isaiah Williams,NYJ,202,34,26,0.96,0.04,12,2,66.7,0,-0.5,31.7,67.8,134,66.34,98,35.3,108,103,108
,Khalil Shakir,BUF,393,91,72,1.83,0.24,26,9,64.3,1,1.4,26.7,70,282,71.76,106,28.6,102,104,109
