,Name,Targets,Routes,TPRR,TPRR Rk,aDOT,aDOT (halved),Expected TPRR,Surplus TPRR,Surplus TPRR Rk,TPRR vs. Surplus TPRR Delta,,,
,Davante Adams,111,380,0.292,7,13.3,6.65,0.213,0.079,4,3,,,
,Demarcus Robinson,35,246,0.142,93,13.3,6.65,0.213,-0.071,84,9,,,
,Jalen Nailor,50,373,0.134,95,13.3,6.65,0.213,-0.079,90,5,,,
,Parker Washington,90,381,0.236,27,13,6.5,0.215,0.021,21,6,,,
,Romeo Doubs,84,390,0.215,36,13,6.5,0.215,0.000,35,1,,,
,Quentin Johnston,79,470,0.168,75,13,6.5,0.215,-0.047,68,7,,,
,Nico Collins,118,458,0.258,16,12.9,6.45,0.216,0.042,14,2,,,
,Emeka Egbuka,127,493,0.258,17,12.9,6.45,0.216,0.042,15,2,,,
,Courtland Sutton,120,549,0.219,35,12.9,6.45,0.216,0.003,33,2,,,
,Jameson Williams,99,556,0.178,67,12.9,6.45,0.216,-0.038,62,5,,,
,Jaylen Waddle,98,376,0.261,12,12.8,6.4,0.216,0.045,12,0,,,
,Xavier Worthy,72,381,0.189,62,12.8,6.4,0.216,-0.027,53,9,,,
,Van Jefferson,50,328,0.152,88,12.6,6.3,0.217,-0.065,78,10,,,
,CeeDee Lamb,113,440,0.257,18,12.5,6.25,0.218,0.039,16,2,,,
,DeVonta Smith,113,497,0.227,32,12.4,6.2,0.218,0.009,30,2,,,
,Elic Ayomanor,86,445,0.193,57,12.4,6.2,0.218,-0.025,46,11,,,
,D.J. Moore,82,512,0.160,80,12.3,6.15,0.219,-0.059,74,6,,,
,Devaughn Vele,36,230,0.157,83,12.3,6.15,0.219,-0.062,76,7,,,
,Rashod Bateman,36,296,0.122,102,12.3,6.15,0.219,-0.097,97,5,,,
,Jayden Higgins,68,341,0.199,53,12.2,6.1,0.220,-0.020,45,8,,,
,Jerry Jeudy,104,554,0.188,64,12.2,6.1,0.220,-0.032,56,8,,,
,Chris Olave,151,557,0.271,9,12.1,6.05,0.220,0.051,10,-1,,,
,Tetairoa McMillan,119,522,0.228,31,12.1,6.05,0.220,0.008,31,0,,,
,Marquez Valdes-Scantling,29,214,0.136,94,12.1,6.05,0.220,-0.085,94,0,,,
,George Pickens,131,583,0.225,33,12,6,0.221,0.004,32,1,,,
,Michael Wilson,124,601,0.206,43,12,6,0.221,-0.014,41,2,,,
,Keon Coleman,58,281,0.206,42,11.9,5.95,0.221,-0.015,42,0,,,
,Tez Johnson,42,275,0.153,87,11.8,5.9,0.222,-0.069,83,4,,,
,A.J. Brown,120,450,0.267,10,11.7,5.85,0.222,0.044,13,-3,,,
,Dontayvion Wicks,44,213,0.207,41,11.6,5.8,0.223,-0.016,43,-2,,,
,Marquise Brown,72,365,0.197,55,11.6,5.8,0.223,-0.026,49,6,,,
,Jalen Tolbert,32,255,0.125,101,11.5,5.75,0.224,-0.098,98,3,,,
,Jaxon Smith-Njigba,157,479,0.328,2,11.4,5.7,0.224,0.104,2,0,,,
,Rashid Shaheed,89,464,0.192,59,11.4,5.7,0.224,-0.032,57,2,,,
,Xavier Legette,61,377,0.162,78,11.2,5.6,0.225,-0.064,77,1,,,
,Cedric Tillman,37,283,0.131,97,11.2,5.6,0.225,-0.095,96,1,,,
,Josh Palmer,37,220,0.168,74,11.1,5.55,0.226,-0.058,72,2,,,
,David Sills,34,297,0.114,104,11,5.5,0.226,-0.112,104,0,,,
,Drake London,108,352,0.307,5,10.9,5.45,0.227,0.080,3,2,,,
,DK Metcalf,98,429,0.228,30,10.8,5.4,0.228,0.001,34,-4,,,
,Justin Jefferson,138,535,0.258,15,10.6,5.3,0.229,0.029,18,-3,,,
,Calvin Austin,54,282,0.191,60,10.5,5.25,0.229,-0.038,63,-3,,,
