FPOE Rank,Player,2025 FP/G
1,Jahmyr Gibbs DET,21.6
2,Jonathan Taylor IND,21.3
2,De'Von Achane MIA,20.2
4,Bijan Robinson ATL,21.8
5,James Cook BUF,17.8
6,Derrick Henry BAL,16.4
7,Rhamondre Stevenson NE,12.8
8,TreVeyon Henderson NE,12.1
9,D'Andre Swift CHI,14.3
10,Kyren Williams LAR,15.5
10,Breece Hall NYJ,13.0
12,Cam Skattebo NYG,16.0
13,Josh Jacobs GB,15.8
13,RJ Harvey DEN,12.2
15,Jaylen Warren PIT,13.6
16,Travis Etienne JAX,14.9
16,Omarion Hampton LAC,15.1
18,David Montgomery DET,9.8
19,Jordan Mason MIN,8.1
20,Zach Charbonnet SEA,11.3
21,Kenneth Gainwell PIT,13.0
22,Jacory Croskey-Merritt WAS,8.3
23,J.K. Dobbins DEN,11.6
24,Christian McCaffrey SF,24.5
24,Rico Dowdle CAR,12.7
24,Kenneth Walker SEA,11.3
27,Chris Rodriguez WAS,7.7
28,Tyrone Tracy NYG,10.7
29,Blake Corum LAR,7.2
29,Tyler Allgeier ATL,7.2
31,Kareem Hunt KC,8.6
32,Chase Brown CIN,16.6
33,Kyle Monangai CHI,8.6
34,Devin Singletary NYG,6.4
35,Javonte Williams DAL,15.2
35,Emanuel Wilson GB,5.6
37,Saquon Barkley PHI,14.5
37,Rachaad White TB,8.4
39,Tony Pollard TEN,10.9
39,Bucky Irving TB,13.8
41,Ashton Jeanty LV,14.4
41,Aaron Jones MIN,9.9
43,Kimani Vidal LAC,9.1
43,Chuba Hubbard CAR,8.4
45,Nick Chubb HOU,5.9
45,Isiah Pacheco KC,6.7
47,Quinshon Judkins CLE,12.1
48,Woody Marks HOU,9.1
49,Alvin Kamara NO,9.2
