Team,New HC+OC 2026 (*),Opportunity Score,Rank,Carries,GL Carries,Targets,Pace
SF,,92.6,1,405,60,169,63
ATL,*,79.8,2,439,78,119,52
DET,,73.8,3,407,72,123,55
PIT,*,64.5,4,353,75,132,33
LAR,,57.7,5,413,91,64,74
DEN,,57.6,6,354,57,117,68
TB,*,57.4,7,398,80,91,43
CHI,,54.6,8,400,66,79,83
NYG,*,53.1,9,396,49,99,64
CLE,*,52.0,10,356,46,121,50
CIN,,51.9,11,334,66,111,56
KC,,50.5,12,346,81,90,59
CAR,,48.2,13,390,63,92,35
DAL,,47.8,14,383,51,82,87
GB,,47.6,15,386,79,78,39
SEA,*,46.2,16,444,68,64,31
BUF,*,45.1,17,419,43,88,40
HOU,,44.1,18,389,58,76,64
IND,,41.0,19,373,70,77,38
JAX,,41.0,19,369,62,78,55
NE,,37.5,21,372,52,83,42
ARI,*,35.5,22,291,21,124,71
MIA,*,34.8,23,380,23,114,2
BAL,*,34.2,24,392,60,73,15
LAC,*,31.6,25,354,59,69,50
NYJ,,31.6,25,334,39,93,50
TEN,*,22.6,27,328,26,93,36
LV,*,21.5,28,307,43,95,13
PHI,*,21.1,29,369,34,69,31
WAS,*,18.8,30,345,57,55,32
NO,,17.8,31,302,21,77,85
MIN,,15.7,32,343,30,79,13
