,2025 WAR by FP/G and Total FP,,,,,,,,,,,,,,2025 Surplus WAR (War Over Expected),,,,,,,,,FP/G,Total FP,,,FP/G,Total FP,,Expected War By Round,
,Player,Position,FP/G,Total FP,GP,Rep. FP/G,Rep. FP,SD FP/G > Repl.,SD FP > Repl.,Weekly FP/G WPA,Weekly FP WPA,Total FP/G WPA (WAR),Total FP WPA (WAR),,Player,ADP,Actual War,ADP Round,ADP Slope,Expected WAR,Surplus WAR,,SD_Team,22,484,,QB,18,282.9,,Slope,Intercept
,Justin Fields,QB,16.0,143.7,9,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Elijah Arroyo,231.5,0.00,20,5.44,0.02,-0.02,,,,,,,,,,,
,Joe Burrow,QB,17.4,139.5,8,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Atlanta Falcons,231,0,20,5.44,0.02,-0.02,,,,,,,,,,,
,J.J. McCarthy,QB,13.7,137.4,10,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Cleveland Browns,230,0,20,5.44,0.02,-0.02,,,,,,,,,,,
,Mac Jones,QB,12.4,136.0,11,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Raheem Mostert,228.4,0.00,20,5.43,0.02,-0.02,,,,,,,,,,,
,Marcus Mariota,QB,11.0,132.5,12,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Jaxson Dart,228.3,0.00,20,5.43,0.02,-0.02,,,,,,,,,,,
,Jordan Mason,RB,8.1,128.9,16,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Jack Bech,227.8,0.00,19,5.43,0.03,-0.03,,,,,,,,,,,
,Luther Burden III,WR,8.5,127.9,15,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Mason Taylor,226.3,0.00,19,5.42,0.03,-0.03,,,,,,,,,,,
,Theo Johnson,TE,8.5,127.8,15,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Brandon McManus,226.2,0,19,5.42,0.03,-0.03,,,,,,,,,,,
,Marvin Harrison Jr.,WR,10.7,127.8,12,8.90,127.90,1.80,0.00,0.02,0.00,0.39,0.00,,Marquise Brown,170.3,0.10,15,5.14,0.13,-0.03,,,,,,,,,,,
,Cam Skattebo,RB,16.0,127.7,8,9.10,128.90,6.90,0.00,0.09,0.00,1.49,0.00,,Cincinnati Bengals,223.8,0,19,5.41,0.03,-0.03,,,,,,,,,,,
,Zach Ertz,TE,9.7,126.4,13,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,New York Jets,223.5,0,19,5.41,0.03,-0.03,,,,,,,,,,,
,Dalton Kincaid,TE,10.5,126.1,12,9.80,127.80,0.70,0.00,0.01,0.00,0.15,0.00,,Dont'e Thornton Jr.,222.8,0.00,19,5.41,0.03,-0.03,,,,,,,,,,,
,Chimere Dike,WR,7.4,126.1,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,New York Giants,221.5,0,19,5.40,0.03,-0.03,,,,,,,,,,,
,Chuba Hubbard,RB,8.4,125.4,15,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Los Angeles Rams,221.2,0,19,5.40,0.04,-0.04,,,,,,,,,,,
,Kayshon Boutte,WR,8.9,124.1,14,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Will Shipley,219.8,0,19,5.39,0.04,-0.04,,,,,,,,,,,
,Chig Okonkwo,TE,7.3,124.0,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Justice Hill,218,0.00,19,5.38,0.04,-0.04,,,,,,,,,,,
,Michael Penix Jr.,QB,13.7,123.3,9,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Nico Collins,13.2,0.97,2,2.58,1.01,-0.04,,,,,,,,,,,
,Tyler Allgeier,RB,7.2,123.0,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Rachaad White,145.5,0.14,13,4.98,0.18,-0.04,,,,,,,,,,,
,Blake Corum,RB,7.2,122.2,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Daniel Carlson,217.2,0,19,5.38,0.04,-0.04,,,,,,,,,,,
,Cade Otton,TE,7.6,122.2,16,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Jaylen Wright,214.8,0.00,18,5.37,0.05,-0.05,,,,,,,,,,,
,Jerry Jeudy,WR,7.1,120.7,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Isaac TeSlaa,214.6,0.00,18,5.37,0.05,-0.05,,,,,,,,,,,
,Aaron Jones Sr.,RB,9.9,118.7,12,9.10,128.90,0.80,0.00,0.01,0.00,0.17,0.00,,Cade Otton,214.4,0.00,18,5.37,0.05,-0.05,,,,,,,,,,,
,Brenton Strange,TE,9.8,118.0,12,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Dallas Cowboys,213.8,0,18,5.37,0.05,-0.05,,,,,,,,,,,
,Kimani Vidal,RB,9.1,117.9,13,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Blake Corum,213.3,0.00,18,5.36,0.05,-0.05,,,,,,,,,,,
,Cooper Kupp,WR,7.3,117.3,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Los Angeles Chargers,213.2,0,18,5.36,0.05,-0.05,,,,,,,,,,,
,Tucker Kraft,TE,14.7,117.2,8,9.80,127.80,4.90,0.00,0.06,0.00,1.06,0.00,,Washington Commanders,212.3,0,18,5.36,0.05,-0.05,,,,,,,,,,,
,Malik Washington,WR,6.9,116.7,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Amari Cooper,212.2,0,18,5.36,0.05,-0.05,,,,,,,,,,,
,Elic Ayomanor,WR,7.3,116.5,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,New England Patriots,212.2,0,18,5.36,0.05,-0.05,,,,,,,,,,,
,J.K. Dobbins,RB,11.6,115.9,10,9.10,128.90,2.50,0.00,0.03,0.00,0.54,0.00,,Chicago Bears,211.4,0,18,5.35,0.05,-0.05,,,,,,,,,,,
,Terry McLaurin,WR,11.4,114.2,10,8.90,127.90,2.50,0.00,0.03,0.00,0.54,0.00,,Younghoe,210.8,0,18,5.35,0.05,-0.05,,,,,,,,,,,
,Ryan Flournoy,WR,7.6,114.0,15,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,DeAndre Hopkins,205.8,0.00,18,5.33,0.06,-0.06,,,,,,,,,,,
,Pat Freiermuth,TE,6.7,113.6,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Sam Darnold,205.4,0.00,18,5.32,0.06,-0.06,,,,,,,,,,,
,Mack Hollins,WR,7.6,113.4,15,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,DeMario Douglas,205.2,0.00,18,5.32,0.06,-0.06,,,,,,,,,,,
,T.J. Hockenson,TE,7.5,112.8,15,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Evan McPherson,204.7,0,18,5.32,0.06,-0.06,,,,,,,,,,,
,Tyjae Spears,RB,8.6,111.7,13,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Darren Waller,204.3,0.00,18,5.32,0.06,-0.06,,,,,,,,,,,
,Xavier Worthy,WR,7.9,109.9,14,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Pat Freiermuth,203.6,0.00,17,5.32,0.06,-0.06,,,,,,,,,,,
,Devin Singletary,RB,6.4,108.8,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Aaron Rodgers,203.6,0.00,17,5.32,0.06,-0.06,,,,,,,,,,,
,Kirk Cousins,QB,10.9,108.5,10,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Isaac Guerendo,202.4,0.00,17,5.31,0.07,-0.07,,,,,,,,,,,
,Sam LaPorta,TE,11.9,106.9,9,9.80,127.80,2.10,0.00,0.03,0.00,0.46,0.00,,Geno Smith,201.5,0.00,17,5.31,0.07,-0.07,,,,,,,,,,,
,Spencer Rattler,QB,11.6,104.1,9,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Tampa Bay Buccaneers,201.2,0,17,5.30,0.07,-0.07,,,,,,,,,,,
,Dawson Knox,TE,6.1,103.7,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Tyrone Tracy Jr.,80.7,0.32,7,4.39,0.38,-0.07,,,,,,,,,,,
,Evan Engram,TE,6.4,102.8,16,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Kyle Williams,200.3,0.00,17,5.30,0.07,-0.07,,,,,,,,,,,
,Keon Coleman,WR,7.9,102.4,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Jared Goff,105.7,0.22,9,4.66,0.29,-0.07,,,,,,,,,,,
,Alvin Kamara,RB,9.2,100.7,11,9.10,128.90,0.10,0.00,0.00,0.00,0.02,0.00,,Cedric Tillman,199.3,0.00,17,5.29,0.07,-0.07,,,,,,,,,,,
,Jalen Nailor,WR,5.9,100.7,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Brenton Strange,197.5,0.00,17,5.29,0.07,-0.07,,,,,,,,,,,
,Ty Johnson,RB,5.9,100.3,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Arizona Cardinals,197.3,0,17,5.28,0.07,-0.07,,,,,,,,,,,
,Michael Carter,RB,7.6,99.0,13,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Seattle Seahawks,197,0,17,5.28,0.08,-0.08,,,,,,,,,,,
,Darius Slayton,WR,7.1,98.8,14,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Joshua Palmer,194.8,0.00,17,5.27,0.08,-0.08,,,,,,,,,,,
,Xavier Hutchinson,WR,5.8,98.0,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Chig Okonkwo,194.5,0.00,17,5.27,0.08,-0.08,,,,,,,,,,,
,DeMario Douglas,WR,5.6,95.8,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Isaiah Likely,194,0.00,17,5.27,0.08,-0.08,,,,,,,,,,,
,Shedeur Sanders,QB,11.9,94.9,8,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Jason Sanders,194,0,17,5.27,0.08,-0.08,,,,,,,,,,,
,Emanuel Wilson,RB,5.6,94.5,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Matt,193.2,0,17,5.26,0.08,-0.08,,,,,,,,,,,
,Jake Tonges,TE,5.8,93.3,16,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Wil Lutz,192,0,16,5.26,0.08,-0.08,,,,,,,,,,,
,Marvin Mims Jr.,WR,5.8,93.0,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Ja'Marr Chase,1,1.82,1,0.00,1.90,-0.09,,,,,,,,,,,
,Bam Knight,RB,7.7,92.9,12,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Tyler Loop,190.3,0,16,5.25,0.09,-0.09,,,,,,,,,,,
,Tez Johnson,WR,5.8,92.6,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Bryce Young,187.7,0.00,16,5.23,0.09,-0.09,,,,,,,,,,,
,Kendrick Bourne,WR,5.8,92.1,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Justin Herbert,113.8,0.17,10,4.73,0.27,-0.10,,,,,,,,,,,
,Chris Rodriguez Jr.,RB,7.1,92.0,13,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Michael Penix Jr.,185,0.00,16,5.22,0.10,-0.10,,,,,,,,,,,
,Gunnar Helm,TE,5.7,91.7,16,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Tyjae Spears,183.8,0.00,16,5.21,0.10,-0.10,,,,,,,,,,,
,Sean Tucker,RB,5.4,91.4,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Bo Nix,70.7,0.33,6,4.26,0.43,-0.10,,,,,,,,,,,
,Jalen Coker,WR,8.2,90.4,11,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Cam Little,180.2,0,16,5.19,0.11,-0.11,,,,,,,,,,,
,Andrei Iosivas,WR,5.3,89.9,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,David Montgomery,60.5,0.38,6,4.10,0.48,-0.11,,,,,,,,,,,
,Xavier Legette,WR,6.0,89.3,15,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Cam Ward,178.3,0.00,15,5.18,0.11,-0.11,,,,,,,,,,,
,Mason Taylor,TE,6.8,88.9,13,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Xavier Legette,177.2,0.00,15,5.18,0.11,-0.11,,,,,,,,,,,
,Darren Waller,TE,9.9,88.7,9,9.80,127.80,0.10,0.00,0.00,0.00,0.02,0.00,,Luther Burden III,176.2,0.00,15,5.17,0.11,-0.11,,,,,,,,,,,
,Bhayshul Tuten,RB,5.9,88.6,15,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Tua Tagovailoa,175.3,0.00,15,5.17,0.12,-0.12,,,,,,,,,,,
,Ricky Pearsall,WR,8.9,88.6,10,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Kansas City Chiefs,173.8,0,15,5.16,0.12,-0.12,,,,,,,,,,,
,Nick Chubb,RB,5.9,88.3,15,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Ray Davis,173.7,0.00,15,5.16,0.12,-0.12,,,,,,,,,,,
,Adonai Mitchell,WR,5.5,87.9,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Adam Thielen,172.8,0.00,15,5.15,0.12,-0.12,,,,,,,,,,,
,Dylan Sampson,RB,5.8,87.6,15,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Rashod Bateman,172.2,0.00,15,5.15,0.12,-0.12,,,,,,,,,,,
,Isiah Pacheco,RB,6.7,87.3,13,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Dylan Sampson,171.7,0.00,15,5.15,0.12,-0.12,,,,,,,,,,,
,David Njoku,TE,7.2,86.3,12,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Harrison Butker,171.7,0,15,5.15,0.12,-0.12,,,,,,,,,,,
,Calvin Austin III,WR,6.2,86.2,14,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Ka'imi Fairbairn,171.2,0,15,5.14,0.12,-0.12,,,,,,,,,,,
,Jonnu Smith,TE,5.0,85.2,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Tre Harris,170.3,0.00,15,5.14,0.13,-0.13,,,,,,,,,,,
,Mike Evans,WR,10.6,84.8,8,8.90,127.90,1.70,0.00,0.02,0.00,0.37,0.00,,Tyler Allgeier,169.2,0.00,15,5.13,0.13,-0.13,,,,,,,,,,,
,Olamide Zaccheaus,WR,5.3,84.8,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Detroit Lions,168,0,14,5.12,0.13,-0.13,,,,,,,,,,,
,KaVontae Turpin,WR,5.6,84.5,15,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Tyler Bass,167.8,0,14,5.12,0.13,-0.13,,,,,,,,,,,
,Chris Godwin Jr.,WR,9.2,83.0,9,8.90,127.90,0.30,0.00,0.00,0.00,0.07,0.00,,Jake Elliott,167,0,14,5.12,0.13,-0.13,,,,,,,,,,,
,Darnell Mooney,WR,5.5,82.3,15,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,DJ Moore,49.7,0.42,5,3.91,0.55,-0.13,,,,,,,,,,,
,Sterling Shepard,WR,6.3,82.0,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,San Francisco 49ers,166,0,14,5.11,0.13,-0.13,,,,,,,,,,,
,Tyquan Thornton,WR,5.8,80.8,14,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Josh Downs,127.3,0.08,11,4.85,0.23,-0.14,,,,,,,,,,,
,Cole Kmet,TE,4.9,78.7,16,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Ollie Gordon II,161.2,0.00,14,5.08,0.14,-0.14,,,,,,,,,,,
,Samaje Perine,RB,5.2,77.9,15,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Green Bay Packers,160,0,14,5.08,0.15,-0.15,,,,,,,,,,,
,Isaac TeSlaa,WR,4.5,75.9,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Drake London,19.2,0.73,2,2.95,0.88,-0.15,,,,,,,,,,,
,Dontayvion Wicks,WR,5.4,75.8,14,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Jayden Higgins,151.2,0.02,13,5.02,0.17,-0.15,,,,,,,,,,,
,Greg Dortch,WR,6.3,75.1,12,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Chris Boswell,157.7,0,14,5.06,0.15,-0.15,,,,,,,,,,,
,Noah Fant,TE,5.0,74.8,15,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Jerome Ford,157.7,0.00,14,5.06,0.15,-0.15,,,,,,,,,,,
,Pat Bryant,WR,5.0,74.8,15,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Trey Benson,156.5,0,14,5.05,0.15,-0.15,,,,,,,,,,,
,Michael Mayer,TE,5.7,73.8,13,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Zach Ertz,154.2,0.00,13,5.04,0.16,-0.16,,,,,,,,,,,
,JuJu Smith-Schuster,WR,4.3,73.5,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Jonnu Smith,152.7,0.00,13,5.03,0.16,-0.16,,,,,,,,,,,
,Darnell Washington,TE,4.6,73.4,16,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Marvin Mims Jr.,151.7,0.00,13,5.02,0.17,-0.17,,,,,,,,,,,
,Tyler Lockett,WR,4.3,73.1,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Christian Kirk,151,0.00,13,5.02,0.17,-0.17,,,,,,,,,,,
,Jeremy McNichols,RB,4.3,72.7,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Bhayshul Tuten,148.7,0.00,13,5.00,0.17,-0.17,,,,,,,,,,,
,Dillon Gabriel,QB,7.2,72.1,10,18.00,282.90,0.00,0.00,0.00,0.00,0.00,0.00,,Brandon Aiyuk,147.2,0,13,4.99,0.18,-0.18,,,,,,,,,,,
,John Metchie III,WR,4.5,71.9,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,J.J. McCarthy,146,0.00,13,4.98,0.18,-0.18,,,,,,,,,,,
,Isaiah Davis,RB,4.5,71.2,16,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Chase McLaughlin,145.8,0,13,4.98,0.18,-0.18,,,,,,,,,,,
,Tyler Higbee,TE,7.1,71.1,10,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Minnesota Vikings,145,0,13,4.98,0.18,-0.18,,,,,,,,,,,
,Mike Gesicki,TE,5.4,70.7,13,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Jaydon Blue,142.3,0,12,4.96,0.19,-0.19,,,,,,,,,,,
,Matthew Golden,WR,5.0,70.0,14,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Jacory Croskey-Merritt,102.2,0.11,9,4.63,0.30,-0.19,,,,,,,,,,,
,Van Jefferson,WR,4.4,70.0,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Houston Texans,141.5,0,12,4.95,0.19,-0.19,,,,,,,,,,,
,Tre Harris,WR,4.1,69.4,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Darnell Mooney,139.5,0.00,12,4.94,0.19,-0.19,,,,,,,,,,,
,Jaylin Noel,WR,4.0,68.4,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Braelon Allen,137.2,0,12,4.92,0.20,-0.20,,,,,,,,,,,
,DeAndre Hopkins,WR,3.9,67.0,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Rome Odunze,81.3,0.18,7,4.40,0.38,-0.20,,,,,,,,,,,
,Kalif Raymond,WR,4.5,66.8,15,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Buffalo Bills,136.7,0,12,4.92,0.20,-0.20,,,,,,,,,,,
,Devaughn Vele,WR,5.1,66.3,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Jordan Love,135.7,0.00,12,4.91,0.20,-0.20,,,,,,,,,,,
,Justice Hill,RB,6.5,65.2,10,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Tank Bigsby,135.2,0.00,12,4.91,0.21,-0.21,,,,,,,,,,,
,Tory Horton,WR,8.1,65.1,8,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Najee Harris,135,0,12,4.91,0.21,-0.21,,,,,,,,,,,
,Ray Davis,RB,3.8,64.1,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Rashee Rice,71.2,0.22,6,4.27,0.43,-0.21,,,,,,,,,,,
,Tommy Tremble,TE,3.8,63.9,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Pittsburgh Steelers,133.7,0,12,4.90,0.21,-0.21,,,,,,,,,,,
,Brashard Smith,RB,3.7,63.3,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Cameron Dicker,133.5,0,12,4.89,0.21,-0.21,,,,,,,,,,,
,Greg Dulcich,TE,6.3,62.8,10,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,C.J. Stroud,130.8,0.00,11,4.87,0.22,-0.22,,,,,,,,,,,
,Davis Allen,TE,3.7,62.8,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Jake Bates,130.5,0,11,4.87,0.22,-0.22,,,,,,,,,,,
,Brian Robinson Jr.,RB,3.7,62.5,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Dalton Kincaid,129.8,0.00,11,4.87,0.22,-0.22,,,,,,,,,,,
,Isaiah Likely,TE,4.4,61.7,14,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Jayden Reed,129,0,11,4.86,0.22,-0.22,,,,,,,,,,,
,Devin Neal,RB,6.7,60.0,9,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Nick Chubb,128.8,0.00,11,4.86,0.22,-0.22,,,,,,,,,,,
,Cedric Tillman,WR,4.6,60.0,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Brian Robinson Jr.,126.8,0.00,11,4.84,0.23,-0.23,,,,,,,,,,,
,Daniel Bellinger,TE,3.7,59.6,16,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Baltimore Ravens,120.7,0,11,4.79,0.24,-0.24,,,,,,,,,,,
,Austin Hooper,TE,3.7,59.3,16,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Keon Coleman,118,0.00,10,4.77,0.25,-0.25,,,,,,,,,,,
,Isaiah Williams,WR,3.9,58.7,15,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Jordan Addison,95.7,0.07,8,4.56,0.33,-0.25,,,,,,,,,,,
,Emari Demercado,RB,4.5,58.3,13,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Joe Mixon,117.5,0,10,4.77,0.25,-0.25,,,,,,,,,,,
,Demarcus Robinson,WR,4.2,58.2,14,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Ladd McConkey,25.8,0.52,3,3.25,0.78,-0.25,,,,,,,,,,,
,Elijah Higgins,TE,3.4,58.1,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Justin Fields,116.7,0.00,10,4.76,0.26,-0.26,,,,,,,,,,,
,Christian Kirk,WR,4.5,57.9,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Philadelphia Eagles,114.5,0,10,4.74,0.26,-0.26,,,,,,,,,,,
,Kyle Juszczyk,RB,3.4,57.0,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Austin Ekeler,112.8,0,10,4.73,0.27,-0.27,,,,,,,,,,,
,Keaton Mitchell,RB,4.3,55.4,13,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Tucker Kraft,110.5,0.00,10,4.71,0.28,-0.28,,,,,,,,,,,
,Rashod Bateman,WR,4.3,55.4,13,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Brandon Aubrey,107.2,0,9,4.67,0.29,-0.29,,,,,,,,,,,
,Josh Oliver,TE,3.7,55.0,15,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Chris Godwin Jr.,107,0.00,9,4.67,0.29,-0.29,,,,,,,,,,,
,Isaiah Bond,WR,3.4,54.7,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Denver Broncos,105.2,0,9,4.66,0.29,-0.29,,,,,,,,,,,
,Ollie Gordon II,RB,3.2,54.1,17,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,J.K. Dobbins,104.8,0.00,9,4.65,0.29,-0.29,,,,,,,,,,,
,Ja'Tavion Sanders,TE,4.2,54.0,13,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Cam Skattebo,103.8,0.00,9,4.64,0.30,-0.30,,,,,,,,,,,
,Tank Bigsby,RB,3.4,53.8,16,9.10,128.90,0.00,0.00,0.00,0.00,0.00,0.00,,Jordan Mason,101.5,0.00,9,4.62,0.30,-0.30,,,,,,,,,,,
,Jackson Hawes,TE,3.1,52.7,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,George Kittle,38.2,0.33,4,3.64,0.64,-0.31,,,,,,,,,,,
,Joshua Palmer,WR,4.4,52.3,12,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Brock Purdy,100,0.00,9,4.61,0.31,-0.31,,,,,,,,,,,
,Terrance Ferguson,TE,4.0,52.1,13,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Cooper Kupp,92.5,0.00,8,4.53,0.34,-0.34,,,,,,,,,,,
,Brandin Cooks,WR,3.5,51.9,15,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Matthew Golden,92.2,0.00,8,4.52,0.34,-0.34,,,,,,,,,,,
,Tim Patrick,WR,3.2,51.7,16,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Ricky Pearsall,87.5,0.00,8,4.47,0.36,-0.36,,,,,,,,,,,
,Luke McCaffrey,WR,5.7,51.3,9,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Kyler Murray,86.2,0,8,4.46,0.36,-0.36,,,,,,,,,,,
,Jahan Dotson,WR,3.0,50.2,17,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,Evan Engram,84.7,0.00,8,4.44,0.37,-0.37,,,,,,,,,,,
,Dyami Brown,WR,3.3,49.7,15,8.90,127.90,0.00,0.00,0.00,0.00,0.00,0.00,,David Njoku,84.2,0.00,8,4.43,0.37,-0.37,,,,,,,,,,,
,Luke Musgrave,TE,2.9,49.2,17,9.80,127.80,0.00,0.00,0.00,0.00,0.00,0.00,,Mark Andrews,74.3,0.03,7,4.31,0.41,-0.38,,,,,,,,,,,
