,2025 WAR by FP/G and Total FP,,,,,,,,,,,,,,2025 Surplus WAR (War Over Expected),,,,,,,,,FP/G,Total FP,,,FP/G,Total FP,,Expected War By Round,
,Player,Position,FP/G,Total FP,GP,Rep. FP/G,Rep. FP,SD FP/G > Repl.,SD FP > Repl.,Weekly FP/G WPA,Weekly FP WPA,Total FP/G WPA (WAR),Total FP WPA (WAR),,Player,ADP,Actual War,ADP Round,ADP Slope,Expected WAR,Surplus WAR,,SD_Team,22,484,,QB,18,282.9,,Slope,Intercept
,A.J. Brown,WR,14.7,220.3,15,8.90,127.90,5.80,92.40,0.07,0.05,1.26,0.91,,Trevor Lawrence,160.5,0.67,14,5.08,0.15,0.52,,,,,,,,,,,
,Jameson Williams,WR,12.9,219.9,17,8.90,127.90,4.00,92.00,0.05,0.05,0.87,0.91,,Jaylen Warren,87.5,0.87,8,4.47,0.36,0.52,,,,,,,,,,,
,Courtland Sutton,WR,12.9,219.7,17,8.90,127.90,4.00,91.80,0.05,0.05,0.87,0.91,,Dalton Schultz,259.4,0.49,22,5.56,-0.02,0.51,,,,,,,,,,,
,Josh Allen,QB,22.0,374.6,17,18.00,282.90,4.00,91.70,0.05,0.05,0.87,0.91,,D'Andre Swift,56.2,0.98,5,4.03,0.51,0.47,,,,,,,,,,,
,Wan'Dale Robinson,WR,13.6,217.9,16,8.90,127.90,4.70,90.00,0.06,0.05,1.02,0.89,,Michael Pittman Jr.,112.3,0.74,10,4.72,0.27,0.47,,,,,,,,,,,
,Jaylen Warren,RB,13.6,217.1,16,9.10,128.90,4.50,88.20,0.06,0.05,0.98,0.87,,Stefon Diggs,87.5,0.81,8,4.47,0.36,0.46,,,,,,,,,,,
,Rico Dowdle,RB,12.7,216.3,17,9.10,128.90,3.60,87.40,0.05,0.05,0.78,0.86,,Jameson Williams,60.2,0.91,6,4.10,0.49,0.42,,,,,,,,,,,
,Tee Higgins,WR,14.1,211.6,15,8.90,127.90,5.20,83.70,0.07,0.05,1.13,0.83,,Quentin Johnston,234.6,0.43,20,5.46,0.01,0.41,,,,,,,,,,,
,Tetairoa McMillan,WR,12.4,211.4,17,8.90,127.90,3.50,83.50,0.04,0.05,0.76,0.83,,Tre Tucker,294.5,0.33,25,5.69,-0.06,0.40,,,,,,,,,,,
,Kyle Pitts Sr.,TE,12.4,210.8,17,9.80,127.80,2.60,83.00,0.03,0.05,0.57,0.82,,Jake Ferguson,137.5,0.60,12,4.92,0.20,0.40,,,,,,,,,,,
