sleeperId,name,position,team,age,status,bodyPart,notes,startDate,depthChartOrder,searchRank,beneficiaries,defaultTimeline
12735,Caleb Lohner,TE,DEN,24,Questionable,Lower Body,Surgery,,6,999,,Summer
12817,Jake Briningstool,TE,KC,23,Questionable,Hamstring,Strain,,5,999,Tre Watson,Summer
12868,Montrell Johnson,RB,,23,Questionable,Undisclosed,,,,999,,Summer
12889,Beaux Collins,WR,NYG,23,Questionable,Concussion,,,14,999,Dalen Cambre; Xavier Gipson,Summer
12907,Quentin Skinner,WR,,24,IR,Undisclosed,,,,999,,Summer
13075,Myles Price,WR,MIN,24,Questionable,Ankle,,,6,999,Dontae Fleming; Dillon Bell,Summer
13205,Luke Deal,TE,,,Questionable,Undisclosed,,,,999,,Summer
13296,Caleb Douglas,WR,MIA,22,Questionable,Undisclosed,,,4,999,Chris Bell; Kevin Coleman Jr.,Summer
13307,Marlin Klein,TE,HOU,23,Questionable,Hamstring,,,2,999,Cade Stover,Summer
5006,J'Mon Moore,WR,,26,Questionable,,,,,1354,,Summer
4080,Zay Jones,WR,,30,Questionable,Achilles,Surgery,,,9999999,,Summer
4719,Chris Thompson,WR,,27,Questionable,,,,,9999999,,Summer
4770,Duplicate Player,WR,,30,Out,,,,,9999999,,Summer
5288,Donnie Ernsberger,TE,TEN,25,Questionable,,,,,9999999,Gunnar Helm,Summer
5773,KhaDarel Hodge,WR,,31,Questionable,Undisclosed,,,,9999999,,Summer
8500,John FitzPatrick,TE,,25,Questionable,Achilles,Surgery,,,9999999,,Summer
9489,Justin Shorter,WR,LV,26,IR,Undisclosed,,,8,9999999,,Summer
11381,Travis Vokolek,TE,ARI,27,Questionable,Neck,,,,9999999,Trey McBride,Summer
11716,Tip Reiman,TE,ARI,24,Questionable,Ankle,,,3,9999999,Elijah Higgins,Summer
11773,Keilan Robinson,RB,,26,Questionable,Undisclosed,,,,9999999,,Summer
12068,Mason Pline,TE,,26,Questionable,Upper Body,,,,9999999,,Summer
12383,John Jiles,WR,,25,Questionable,Undisclosed,,,,9999999,,Summer
12892,Da'Quan Felton,WR,NYJ,25,Questionable,Undisclosed,,,,9999999,Garrett Wilson; Adonai Mitchell,Summer
12954,Kye Robichaux,RB,DET,23,Questionable,Undisclosed,,,6,9999999,,Summer
12959,Bryce Pierre,TE,CAR,25,IR,Undisclosed,,,,9999999,,Summer
13261,Layne Pryor,TE,HOU,23,Questionable,Quadriceps,,,5,9999999,Louis Hansen,Summer
13412,Kendrick Law,WR,DET,22,Out,Knee,,,8,9999999,,Summer
13898,Corey Rucker,WR,LV,24,IR,Undisclosed,,,,9999999,Justin Shorter,Summer
13354,Eric McAlister,WR,,,Questionable,Foot,Fracture,,,,,Summer
