team,player,gsisId,posRank
ARI,Jeremiyah Love,LOV121782,1
ARI,Tyler Allgeier,00-0037263,2
ARI,James Conner,00-0033553,3
ARI,Trey Benson,00-0039921,4
ARI,Bam Knight,00-0037157,5
ARI,Corey Kiner,00-0040556,6
ATL,Bijan Robinson,00-0038542,1
ATL,Brian Robinson Jr.,00-0037746,2
ATL,Tyler Goodson,00-0037120,3
ATL,Nathan Carter,00-0040547,4
ATL,Cash Jones,JON150008,5
BAL,Derrick Henry,00-0032764,1
BAL,Justice Hill,00-0034975,2
BAL,Rasheen Ali,00-0039796,3
BAL,Adam Randall,RAN022436,4
BAL,Dontae McMillan,MCM377911,5
BAL,Elijah Tau-Tolliver,TAU484505,6
BUF,James Cook III,00-0037248,1
BUF,Ty Johnson,00-0035537,2
BUF,Ray Davis,00-0039875,3
BUF,Frank Gore,00-0023500,4
BUF,Desmond Reid,REI258968,5
CAR,Chuba Hubbard,00-0036555,1
CAR,Jonathon Brooks,00-0039344,2
CAR,Trevor Etienne,00-0040644,3
CAR,AJ Dillon,00-0036265,4
CAR,Anthony Tyus III,00-0040394,5
CAR,Miles Davis,DAV568008,6
CHI,D'Andre Swift,00-0036275,1
CHI,Kyle Monangai,00-0040236,2
CHI,Roschon Johnson,00-0039021,3
CHI,Brittain Brown,00-0037329,4
CHI,Salvon Ahmed,00-0036020,5
CHI,Coleman Bennett,BEN309427,6
CIN,Chase Brown,00-0038597,1
CIN,Samaje Perine,00-0033526,2
CIN,Tahj Brooks,00-0040208,3
CIN,Gary Brightwell,00-0036569,4
CIN,Kendall Milton,00-0039266,5
CIN,Kentrel Bullock,BUL521409,6
CIN,Jamal Haynes,HAY608012,7
CLE,Quinshon Judkins,00-0040784,1
CLE,Dylan Sampson,00-0040162,2
CLE,Raheim Sanders,00-0040466,3
CLE,Ahmani Marshall,00-0040260,4
CLE,Davon Booth,BOO560641,5
DAL,Javonte Williams,00-0036997,1
DAL,Malik Davis,00-0037563,2
DAL,Jaydon Blue,00-0040586,3
DAL,Phil Mafah,00-0040021,4
DAL,Israel Abanikanda,00-0038389,5
DAL,Dominic Richardson,RIC410819,6
DEN,J.K. Dobbins,00-0036158,1
DEN,RJ Harvey,00-0040730,2
DEN,Jonah Coleman,COL293648,3
DEN,Jaleel McLaughlin,00-0038794,4
DEN,Tyler Badie,00-0037085,5
DEN,Cody Schrader,00-0039703,6
DET,Jahmyr Gibbs,00-0039139,1
DET,Isiah Pacheco,00-0037197,2
