team,week,opp,isHome,isBye,isDome,teamImplied,oppImplied,total,spread
SEA,1,NE,true,false,false,24,20.5,45,-3.5
SEA,2,ARI,false,false,true,28,17.5,45,-10.5
SEA,3,WAS,false,false,false,25.5,22,48,-3.5
SEA,4,LAC,true,false,false,24.5,20.5,45,-3.5
SEA,5,SF,true,false,false,25,22,47,-3
SEA,6,DEN,false,false,false,21.5,21.5,43,-0.5
SEA,7,KC,true,false,false,24,21,45,-3
SEA,8,CHI,true,false,false,26,21.5,47,-4.5
SEA,9,ARI,true,false,false,30,15.5,45,-14.5
SEA,10,LV,false,false,true,24.5,18,42.5,-6.5
SEA,11,,,true,,,,,
SEA,12,SF,false,false,false,23,24,47,1
SEA,13,DAL,true,false,false,27.5,22.5,50,-5
SEA,14,NYG,true,false,false,27,19,46,-8
SEA,15,PHI,false,false,false,22,23,44.5,1
SEA,16,LAR,true,false,false,25,23.5,48,-1.5
SEA,17,CAR,false,false,false,24,19.5,43.5,-4.5
SEA,18,LAR,false,false,false,23,25.5,48,2.5
TB,1,CIN,false,false,false,22.5,27.5,50,5
TB,2,CLE,true,false,false,24,18.5,42.5,-5.5
TB,3,MIN,true,false,false,24,22,46,-2
TB,4,GB,true,false,false,23.5,24.5,48,1
TB,5,DAL,false,false,true,24,27.5,51.5,3.5
TB,6,PIT,true,false,false,23.5,21,44.5,-2.5
TB,7,CAR,false,false,false,22.5,22,45,-0.5
TB,8,ATL,true,false,false,25.5,20.5,46.5,-5
TB,9,CHI,false,false,false,22.5,26,48.5,3.5
TB,10,,,true,,,,,
TB,11,DET,false,false,true,22,27.5,49.5,5.5
TB,12,CAR,true,false,false,24.5,20,45,-4.5
TB,13,LAC,true,false,false,23,23.5,46,0.5
TB,14,BAL,false,false,false,21.5,27.5,49,6
TB,15,NO,true,false,false,24.5,21,46,-3.5
TB,16,ATL,false,false,true,23.5,22.5,46.5,-1
TB,17,LAR,true,false,false,23.5,26,49.5,2.5
TB,18,NO,false,false,true,22.5,23,46,0.5
TEN,1,NYJ,true,false,false,22,19,41,-3.5
TEN,2,PHI,true,false,false,20,24,44,4.5
TEN,3,NYG,false,false,false,21,24.5,45,3.5
TEN,4,BAL,false,false,false,19,28,47,9.5
TEN,5,HOU,true,false,false,19.5,23,42.5,3.5
TEN,6,IND,false,false,true,21.5,25.5,47,4.5
TEN,7,CLE,true,false,false,21.5,19,40.5,-2.5
TEN,8,CIN,false,false,false,20,28,48,8.5
TEN,9,,,true,,,,,
TEN,10,JAX,true,false,false,21.5,23.5,45,2
TEN,11,DAL,false,false,true,21.5,28,49.5,6.5
TEN,12,JAX,false,false,false,19.5,25.5,45,6
TEN,13,WAS,true,false,false,23.5,23.5,47,0
TEN,14,DET,false,false,true,19.5,28.5,47.5,9
TEN,15,IND,true,false,false,23.5,23.5,47,0.5
TEN,16,LV,false,false,true,20.5,21.5,42,1
TEN,17,PIT,true,false,false,21,21.5,42.5,1
TEN,18,HOU,false,false,true,17.5,25,42.5,7.5
WAS,1,PHI,false,false,false,20.5,27,47.5,6.5
WAS,2,DAL,false,false,true,24,28.5,52.5,4.5
WAS,3,SEA,true,false,false,22,25.5,48,3.5
WAS,4,IND,true,false,false,26,24.5,50,-1.5
WAS,5,NYG,true,false,false,25.5,23,48.5,-2.5
WAS,6,SF,false,false,false,22,28,50,6.5
WAS,7,,,true,,,,,
WAS,8,PHI,true,false,false,22.5,25,47.5,2.5
WAS,9,LAR,true,false,false,23.5,27.5,50.5,4
WAS,10,NYG,false,false,false,23.5,25,48.5,1.5
WAS,11,CIN,true,false,false,24.5,27,51.5,2.5
WAS,12,ARI,false,false,true,26.5,21.5,48,-5
WAS,13,TEN,false,false,false,23.5,23.5,47,0
WAS,14,HOU,true,false,false,22,23.5,46,1.5
WAS,15,ATL,true,false,false,25.5,22,47.5,-3.5
WAS,16,MIN,false,false,true,22,25.5,47.5,3.5
WAS,17,JAX,false,false,false,22.5,26,48.5,4
WAS,18,DAL,true,false,false,26,26.5,52.5,0.5
