Player,Pos,YACoeYACoe/Rec,Rk,MTFoeMTFoe/Rec,Rk
DK MetcalfPIT,WR,+3.03,1,+0.14,3
Jameson WilliamsDET,WR,+2.98,2,+0.13,4
Rashee RiceKC,WR,+2.69,3,+0.04,19
Luther BurdenCHI,WR,+2.44,4,+0.10,8
Sam LaPortaDET,TE,+1.79,5,+0.04,22
Khalil ShakirBUF,WR,+1.72,6,+0.09,13
Cooper KuppSEA,WR,+1.70,7,+0.09,12
Rome OdunzeCHI,WR,+1.64,8,+0.01,35
Emeka EgbukaTB,WR,+1.61,9,+0.01,35
Pat FreiermuthPIT,TE,+1.59,10,-0.02,51
Alec PierceIND,WR,+1.51,11,-0.02,54
Deebo SamuelWAS,WR,+1.40,12,+0.10,9
Tyler WarrenIND,TE,+1.38,13,-0.06,71
Nico CollinsHOU,WR,+1.27,14,-0.03,58
George PickensDAL,WR,+1.25,15,+0.07,14
Zay FlowersBAL,WR,+1.12,16,+0.12,6
Xavier WorthyKC,WR,+1.11,17,+0.15,2
Colby ParkinsonLAR,TE,+1.11,17,-0.03,57
Tre TuckerLV,WR,+1.08,19,+0.03,25
Hunter HenryNE,TE,+1.05,20,-0.10,82
Justin JeffersonMIN,WR,+1.03,21,+0.02,29
Parker WashingtonJAX,WR,+0.94,22,+0.12,5
Travis KelceKC,TE,+0.89,23,-0.00,45
Chig OkonkwoTEN,TE,+0.85,24,+0.03,26
Puka NacuaLAR,WR,+0.83,25,+0.04,18
Evan EngramDEN,TE,+0.80,26,-0.07,76
Brenton StrangeJAX,TE,+0.70,27,+0.04,23
Quentin JohnstonLAC,WR,+0.70,28,+0.16,1
Ryan FlournoyDAL,WR,+0.69,29,+0.04,23
Ja'Marr ChaseCIN,WR,+0.66,30,+0.06,15
Jaxon Smith-NjigbaSEA,WR,+0.63,31,+0.03,27
Malik WashingtonMIA,WR,+0.62,32,+0.12,7
CeeDee LambDAL,WR,+0.61,33,-0.00,43
Amon-Ra St. BrownDET,WR,+0.54,34,+0.03,28
Brian ThomasJAX,WR,+0.50,35,+0.00,41
Ladd McConkeyLAC,WR,+0.33,36,+0.09,10
Jaylen WaddleMIA,WR,+0.32,37,+0.02,32
DJ MooreCHI,WR,+0.28,38,-0.01,48
Wan'Dale RobinsonNYG,WR,+0.26,39,+0.01,37
Colston LovelandCHI,TE,+0.23,40,+0.00,39
Oronde GadsdenLAC,TE,+0.20,41,-0.01,48
Tetairoa McMillanCAR,WR,+0.14,42,+0.01,34
Cade OttonTB,TE,+0.12,43,-0.07,75
Theo JohnsonNYG,TE,+0.10,44,-0.08,80
Marquise BrownKC,WR,+0.04,45,+0.04,20
Harold FanninCLE,TE,+0.02,46,+0.05,17
AJ BarnerSEA,TE,+0.02,47,-0.01,50
DeVonta SmithPHI,WR,-0.02,48,-0.08,79
Kyle PittsATL,TE,-0.09,49,-0.02,53
Jordan AddisonMIN,WR,-0.14,50,-0.01,47
Chimere DikeTEN,WR,-0.16,51,-0.07,74
Trey McBrideARI,TE,-0.25,52,-0.00,43
Stefon DiggsNE,WR,-0.26,53,+0.04,21
Michael WilsonARI,WR,-0.27,54,+0.02,29
Juwan JohnsonNO,TE,-0.28,55,-0.03,56
Brock BowersLV,TE,-0.28,56,-0.05,68
Tee HigginsCIN,WR,-0.29,57,+0.06,16
Courtland SuttonDEN,WR,-0.30,58,+0.00,41
George KittleSF,TE,-0.38,59,-0.08,78
Troy FranklinDEN,WR,-0.42,60,+0.09,11
Drake LondonATL,WR,-0.44,61,-0.06,73
Dalton SchultzHOU,TE,-0.49,62,-0.05,65
Marvin HarrisonARI,WR,-0.51,63,-0.03,60
Jerry JeudyCLE,WR,-0.52,64,-0.03,62
A.J. BrownPHI,WR,-0.53,65,+0.02,31
Romeo DoubsGB,WR,-0.57,66,+0.00,40
Jakobi MeyersJAX,WR,-0.58,67,+0.01,38
Jayden HigginsHOU,WR,-0.68,68,-0.07,77
Dallas GoedertPHI,TE,-0.72,69,-0.11,83
Elic AyomanorTEN,WR,-0.84,70,-0.04,64
Rashid ShaheedSEA,WR,-0.88,71,-0.03,59
Jauan JenningsSF,WR,-0.94,72,-0.02,52
Michael PittmanIND,WR,-0.95,73,-0.04,63
Chris OlaveNO,WR,-1.03,74,-0.03,55
T.J. HockensonMIN,TE,-1.05,75,-0.06,72
Gunnar HelmTEN,TE,-1.33,76,-0.05,69
Mack HollinsNE,WR,-1.45,77,-0.05,65
Jake FergusonDAL,TE,-1.50,78,-0.05,67
Keenan AllenLAC,WR,-1.56,79,+0.02,32
Mason TaylorNYJ,TE,-1.73,80,-0.14,84
Davante AdamsLAR,WR,-1.76,81,-0.01,46
Zach ErtzWAS,TE,-1.83,82,-0.06,70
Josh DownsIND,WR,-2.40,83,-0.03,61
Mark AndrewsBAL,TE,-2.45,84,-0.09,81
