rank,name,team,position,adp,adpHalf,adpStd,adpPpr,passCatcher,volumeWr,volumeTe,topOffense
151,Emmett Johnson,KC,RB,177,177,,,false,false,false,true
152,Jayden Higgins,HOU,WR,134,134,124,121,false,false,false,false
153,Zach Charbonnet,SEA,RB,152,152,163,169,true,false,false,false
154,Denzel Boston,CLE,WR,165,165,,,false,false,false,false
155,Jauan Jennings,MIN,WR,155,155,145,148,false,false,false,false
156,Darnell Mooney,NYG,WR,207,207,193,194,false,false,false,false
157,Hunter Henry,NE,TE,145,145,148,154,false,false,false,false
158,Brenton Strange,JAX,TE,149,149,154,152,false,false,false,false
159,Keaton Mitchell,LAC,RB,153,153,137,143,false,false,false,false
160,Tyreek Hill,FA,WR,174,174,213,228,false,false,false,false
161,Ray Davis,BUF,RB,212,212,200,191,false,false,false,true
162,Tyjae Spears,TEN,RB,159,159,160,155,true,false,false,false
163,Emanuel Wilson,SEA,RB,180,180,195,171,false,false,false,false
164,Jordan James,SF,RB,211,211,210,208,false,false,false,false
165,Brandon Aiyuk,SF,WR,179,179,187,184,false,true,false,false
166,Deebo Samuel Sr.,FA,WR,170,170,162,161,false,false,false,false
167,Elijah Sarratt,BAL,WR,235,235,,,false,false,false,true
168,De'Zhaun Stribling,SF,WR,191,191,,,false,false,false,false
169,Kimani Vidal,LAC,RB,206,206,219,188,false,false,false,false
170,Isaac TeSlaa,DET,WR,187,187,170,181,false,false,false,true
171,Calvin Ridley,TEN,WR,183,183,185,193,false,true,false,false
172,Kaytron Allen,WAS,RB,189,189,,,false,false,false,true
173,Dylan Sampson,CLE,RB,161,161,167,151,false,false,false,false
174,Dalton Schultz,HOU,TE,163,163,168,168,false,false,false,false
175,Gunnar Helm,TEN,TE,178,178,176,183,false,false,false,false
176,Cade Otton,TB,TE,186,186,183,192,false,false,false,false
177,Juwan Johnson,NO,TE,138,138,157,142,false,false,false,false
178,C.J. Stroud,HOU,QB,140,140,141,136,false,false,false,false
179,Sam Darnold,SEA,QB,133,133,139,138,false,false,false,false
180,Cam Ward,TEN,QB,141,141,136,135,false,false,false,false
181,AJ Barner,SEA,TE,182,182,175,182,false,false,false,false
182,T.J. Hockenson,MIN,TE,147,147,161,164,false,false,false,false
183,Germie Bernard,PIT,WR,195,195,,,false,false,false,false
184,Alvin Kamara,NO,RB,160,160,184,180,true,false,false,false
185,Mike Washington Jr.,LV,RB,181,181,,,false,false,false,false
186,James Conner,ARI,RB,205,205,227,199,false,false,false,false
187,Braelon Allen,NYJ,RB,196,196,205,190,false,false,false,false
188,Kaelon Black,SF,RB,226,226,,,false,false,false,false
189,Tre' Harris,LAC,WR,200,200,174,174,false,false,false,false
190,Chris Bell,MIA,WR,197,197,,,false,false,false,false
191,Jerry Jeudy,CLE,WR,173,173,182,172,false,false,false,false
192,Jack Bech,LV,WR,241,241,236,299,false,false,false,false
193,Malachi Fields,NYG,WR,204,204,,,false,false,false,false
194,Zachariah Branch,ATL,WR,201,201,,,false,false,false,false
