,Rank,Team,Defensive SOS Score
,1,DETDetroit Lions,0.323
,2,PHIPhiladelphia Eagles,0.332
,3,HOUHouston Texans,0.353
,4,KCKansas City Chiefs,0.358
,5,NYJNew York Jets,0.366
,6,MINMinnesota Vikings,0.374
,7,BALBaltimore Ravens,0.383
,8,NONew Orleans Saints,0.386
,9,SFSan Francisco 49ers,0.390
,10,MIAMiami Dolphins,0.399
,11,LARLos Angeles Rams,0.401
,12,CLECleveland Browns,0.401
,13,SEASeattle Seahawks,0.405
,14,WASWashington Commanders,0.406
,15,TBTampa Bay Buccaneers,0.406
,16,NENew England Patriots,0.407
,17,GBGreen Bay Packers,0.420
,18,JAXJacksonville Jaguars,0.423
,19,DENDenver Broncos,0.427
,20,DALDallas Cowboys,0.435
,21,INDIndianapolis Colts,0.437
,22,TENTennessee Titans,0.442
,23,LVLas Vegas Raiders,0.451
,24,CINCincinnati Bengals,0.453
,25,LACLos Angeles Chargers,0.456
,26,ATLAtlanta Falcons,0.457
,27,NYGNew York Giants,0.458
,28,CHIChicago Bears,0.459
,29,PITPittsburgh Steelers,0.462
,30,BUFBuffalo Bills,0.470
,31,CARCarolina Panthers,0.492
,32,ARIArizona Cardinals,0.520
