name,position,posRank,ovrRank,adp,team,rankVsAdp,rankVsAdpPct,tier
Josh Allen,QB,QB1,1,1,BUF,0,0,
Ja'Marr Chase,WR,WR1,2,3.8364661654135337,CIN,1.8364661654135337,18.364661654135336,
Bijan Robinson,RB,RB1,3,2.423575129533679,ATL,-0.5764248704663211,-5.764248704663211,
Jaxon Smith-Njigba,WR,WR2,4,5.6239316239316235,SEA,1.6239316239316235,16.239316239316235,
Jahmyr Gibbs,RB,RB2,5,4.192477876106195,DET,-0.8075221238938051,-8.07522123893805,
Puka Nacua,WR,WR3,6,7.260690789473684,LAR,1.260690789473684,12.60690789473684,
Drake Maye,QB,QB2,7,6.409683426443203,NE,-0.5903165735567972,-5.903165735567972,
Jayden Daniels,QB,QB3,8,13.736,WAS,5.736000000000001,41.758881770529996,
Malik Nabers,WR,WR4,9,17.56,NYG,8.559999999999999,48.747152619589976,
Justin Jefferson,WR,WR5,10,12.233333333333333,MIN,2.2333333333333325,18.25613079019073,
Amon-Ra St. Brown,WR,WR6,11,9.553308823529411,DET,-1.4466911764705888,-14.466911764705886,
Brock Bowers,TE,TE1,12,8.749166666666667,LV,-3.2508333333333326,-32.508333333333326,
Joe Burrow,QB,QB4,13,14.192982456140351,CIN,1.192982456140351,8.405438813349814,
Patrick Mahomes II,QB,QB5,14,24.51685393258427,KC,10.516853932584269,42.89642529789184,
Lamar Jackson,QB,QB6,15,10.660326086956522,BAL,-4.3396739130434785,-40.708641345908745,
Drake London,WR,WR7,16,23.115384615384617,ATL,7.115384615384617,30.7820299500832,
Ashton Jeanty,RB,RB3,17,16.243243243243242,LV,-0.7567567567567579,-4.658901830282869,
Justin Herbert,QB,QB7,18,22,LAC,4,18.181818181818183,
Jeremiyah Love,RB,RB4,19,18.106796116504853,ARI,-0.893203883495147,-4.932975871313681,
Trey McBride,TE,TE2,20,15.884615384615385,ARI,-4.115384615384615,-25.907990314769975,
CeeDee Lamb,WR,WR8,21,19.456575682382134,DAL,-1.5434243176178661,-7.932661650299708,
Brock Purdy,QB,QB8,22,35.689655172413794,SF,13.689655172413794,38.35748792270531,
Trevor Lawrence,QB,QB9,23,29.256637168141594,JAC,6.256637168141594,21.38535995160315,
De'Von Achane,RB,RB5,24,20.82330827067669,MIA,-3.1766917293233092,-15.255461274598309,
Caleb Williams,QB,QB10,25,11.816993464052288,CHI,-13.183006535947712,-111.55973451327432,
Colston Loveland,TE,TE3,26,28.864485981308412,CHI,2.8644859813084125,9.923911283794725,
Garrett Wilson,WR,WR9,27,42.20779220779221,NYJ,15.20779220779221,36.03076923076923,
Jordan Love,QB,QB11,28,47.77272727272727,GB,19.772727272727273,41.389153187440535,
George Pickens,WR,WR10,29,36.203007518796994,DAL,7.203007518796994,19.896157840083077,
Nico Collins,WR,WR11,30,37.67515923566879,HOU,7.6751592356687866,20.371935756551135,
Chris Olave,WR,WR12,31,49.723076923076924,NO,18.723076923076924,37.65470297029703,
Dak Prescott,QB,QB12,32,48.09615384615385,DAL,16.096153846153847,33.466613354658136,
Jaxson Dart,QB,QB13,33,25.294520547945204,NYG,-7.705479452054796,-30.46303818034119,
Kenneth Walker III,RB,RB6,34,44.54385964912281,KC,10.543859649122808,23.67073651043718,
Omarion Hampton,RB,RB7,35,22,LAC,-13,-59.09090909090909,
Jalen Hurts,QB,QB14,36,26.559782608695652,PHI,-9.440217391304348,-35.543278084714544,
Bo Nix,QB,QB15,37,32.46511627906977,DEN,-4.534883720930232,-13.968481375358163,
Jonathan Taylor,RB,RB8,38,27.46685878962536,IND,-10.533141210374641,-38.34854684713042,
James Cook III,RB,RB9,39,31.680851063829788,BUF,-7.319148936170212,-23.102753525856276,
Carnell Tate,WR,WR13,40,38.30722891566265,TEN,-1.6927710843373518,-4.418933794621802,
Luther Burden III,WR,WR14,41,46.22727272727273,CHI,5.227272727272727,11.307767944936085,
Tetairoa McMillan,WR,WR15,42,30.39622641509434,CAR,-11.60377358490566,-38.17504655493482,
Jordyn Tyson,WR,WR16,43,54.214285714285715,NO,11.214285714285715,20.685111989459816,
Jaylen Waddle,WR,WR17,44,76.58888888888889,DEN,32.58888888888889,42.55041346293341,
Zay Flowers,WR,WR18,45,69.2,BAL,24.200000000000003,34.971098265895954,
Rashee Rice,WR,WR19,46,59.13793103448276,KC,13.137931034482762,22.21574344023324,
Fernando Mendoza,QB,QB16,47,39.746753246753244,LV,-7.253246753246756,-18.248652181016183,
Breece Hall,RB,RB10,48,45.83870967741935,NYJ,-2.1612903225806477,-4.714989444053489,
Jared Goff,QB,QB17,49,70.45714285714286,DET,21.457142857142856,30.454176804541767,
Ladd McConkey,WR,WR20,50,40.351351351351354,LAC,-9.648648648648646,-23.91158740790354,
Makai Lemon,WR,WR21,51,60.490196078431374,PHI,9.490196078431374,15.688816855753648,
DeVonta Smith,WR,WR22,52,53.75806451612903,PHI,1.758064516129032,3.27032703270327,
Emeka Egbuka,WR,WR23,53,34.69543147208122,TB,-18.304568527918782,-52.75786393562546,
KC Concepcion,WR,WR24,54,81.4921875,CLE,27.4921875,33.73597929249353,
Quinshon Judkins,RB,RB11,55,43.66304347826087,CLE,-11.336956521739133,-25.9646502364949,
Tee Higgins,WR,WR25,56,68.78947368421052,CIN,12.78947368421052,18.59219586840091,
Tyler Warren,TE,TE4,57,33.33495145631068,IND,-23.665048543689323,-70.99169943206643,
