team,group,wks1_6,wks7_12,wks13_17
NYG,Easier Start,+1.4,-0.7,-0.9
SF,Easier Start,+0.8,+0.4,-1.4
KC,Easier Start,+0.8,+0.1,-0.9
BAL,Easier Start,+0.7,-0.6,-0.1
HOU,Easier Start,+0.7,+0.2,-1.0
PIT,Easier Start,+0.6,-0.8,+0.1
GB,Easier Start,+0.5,-0.9,+0.3
JAX,Easier Midseason,-0.8,+0.9,+0.1
BUF,Easier Midseason,-0.4,+0.8,-0.4
IND,Easier Midseason,-0.3,+0.7,-0.6
DAL,Easier Midseason,-0.2,+0.6,-0.6
LAR,Easier Midseason,+0.2,+0.6,-0.8
WAS,Easier Midseason,-0.2,+0.6,-0.4
PHI,Easier Midseason,-0.3,+0.6,-0.2
CIN,Easier Midseason,-0.1,+0.5,-0.6
NYJ,Easier Midseason,-0.8,+0.5,+0.4
LV,Easier Finish,+0.1,-0.9,+1.3
ARI,Easier Finish,-0.6,-0.1,+1.0
CLE,Easier Finish,-0.2,-0.5,+0.7
TEN,Easier Finish,-0.4,-0.1,+0.7
ATL,Easier Finish,-0.3,-0.2,+0.6
DEN,Easier Finish,-0.9,+0.5,+0.6
NO,Easier Finish,-0.1,-0.4,+0.5
CHI,Easier Finish,-0.1,-0.3,+0.5
CAR,Balanced,-0.1,0.0,+0.1
DET,Balanced,+0.1,+0.1,-0.2
LAC,Balanced,0.0,-0.5,+0.4
MIA,Balanced,-0.1,+0.4,-0.4
MIN,Balanced,+0.1,-0.2,+0.1
NE,Balanced,+0.2,0.0,-0.1
SEA,Balanced,-0.3,+0.4,0.0
TB,Balanced,+0.2,0.0,-0.2
