name,team,pos,mean,rankNum,spikeRank,spikeWeeks,priorFPG,age,carries,tgtShare
George Pickens,DAL,WR,13.6,13,12,3.74,17.2,25,0,0
Greg Dortch,ARI,WR,3.6,94,87,0.87,6.3,27,0,0
Isaac TeSlaa,DET,WR,5,83,69,1.13,4.5,24,0,0
Isaiah Bond,CLE,WR,2.8,104,112,0.48,3.4,21,0,0
Isaiah Hodgins,NYG,WR,2.6,106,94,0.75,3.9,27,0,0
Isaiah Williams,NYJ,WR,1.2,114,119,0.33,3.2,25,0,0
Ja'Marr Chase,CIN,WR,18.2,3,2,6,19.7,26,0,0
Jack Bech,LV,WR,4.3,87,92,0.79,2.7,23,0,0
Jahan Dotson,ATL,WR,3.8,91,68,1.15,3,25,0,0
Jakobi Meyers,JAX,WR,10.6,37,41,1.81,11.1,29,0,0
Jalen Coker,CAR,WR,8.5,49,76,1,8.3,24,0,0
Jalen Nailor,LV,WR,6.3,66,82,0.93,5.9,27,0,0
Jalen Tolbert,MIA,WR,3.7,93,100,0.69,3.6,27,0,0
Jameson Williams,DET,WR,12.2,18,20,2.89,12.9,24,0,0
Jauan Jennings,MIN,WR,7.3,58,43,1.65,11.6,28,0,0
Jaxon Smith-Njigba,SEA,WR,18.3,2,4,5.83,21.2,24,0,0
Jayden Higgins,HOU,WR,7.8,54,72,1.1,7.6,23,0,0
Jayden Reed,GB,WR,8.3,51,71,1.11,6.9,25,0,0
Jaylen Waddle,DEN,WR,12.7,16,18,3.12,12.1,27,0,0
Jaylin Noel,HOU,WR,3.7,92,101,0.68,4,23,0,0
Jerry Jeudy,CLE,WR,7.9,53,64,1.23,7.2,26,0,0
John Metchie III,NYJ,WR,4.4,86,91,0.79,4.5,25,0,0
Jordan Addison,MIN,WR,9.2,47,60,1.27,9.7,24,0,0
Josh Downs,IND,WR,11.1,32,32,2.14,8.6,24,0,0
Josh Palmer,BUF,WR,4.6,85,57,1.29,4.4,26,0,0
JuJu Smith-Schuster,KC,WR,3,101,75,1.01,4.3,29,0,0
Justin Jefferson,MIN,WR,14.3,8,11,3.78,11.9,26,0,0
Kalif Raymond,CHI,WR,3.8,90,93,0.76,4.1,31,0,0
KaVontae Turpin,DAL,WR,3.4,97,102,0.64,5.7,29,0,0
Kayshon Boutte,NE,WR,6.2,68,83,0.91,8.9,23,0,0
Keenan Allen,LAC,WR,6.5,63,70,1.12,10.7,33,0,0
Kendrick Bourne,SF,WR,2.9,102,110,0.52,5.8,30,0,0
Keon Coleman,BUF,WR,7,59,80,0.93,8,22,0,0
Khalil Shakir,BUF,WR,11,33,30,2.21,10.5,26,0,0
Kyle Williams,NE,WR,3,100,107,0.59,2.9,23,0,0
Ladd McConkey,LAC,WR,11.4,30,33,2.07,11.3,24,0,0
Luther Burden III,CHI,WR,11.4,29,23,2.71,8.5,22,0,0
Mack Hollins,NE,WR,2.8,105,113,0.48,7.6,32,0,0
Malik Nabers,NYG,WR,14.2,9,7,4.22,14.3,22,0,0
Malik Washington,MIA,WR,5.4,76,77,0.98,6.6,25,0,0
Marquez Valdes-Scantling,PIT,WR,1.8,112,97,0.72,3.2,31,0,0
Marquise Brown,PHI,WR,6,69,96,0.73,8.6,28,0,0
Marvin Harrison Jr.,ARI,WR,12.1,19,22,2.78,10.7,23,0,0
Marvin Mims Jr.,DEN,WR,5.5,73,65,1.21,5.9,23,0,0
Matthew Golden,GB,WR,8.2,52,47,1.6,5,22,0,0
Michael Pittman,PIT,WR,11.7,26,28,2.35,11.9,28,0,0
Michael Wilson,ARI,WR,10.3,38,36,1.92,13,26,0,0
Mike Evans,SF,WR,9.7,43,49,1.58,10.6,32,0,0
Nico Collins,HOU,WR,12.9,15,14,3.6,15.1,26,0,0
Olamide Zaccheaus,CHI,WR,4.7,84,54,1.39,5.3,28,0,0
Parker Washington,JAX,WR,11.6,27,25,2.66,10.8,23,0,0
Pat Bryant,DEN,WR,5.2,79,67,1.19,5,23,0,0
Puka Nacua,LA,WR,19.3,1,1,6.08,23.5,24,0,0
Quentin Johnston,LAC,WR,9.8,41,39,1.88,12.3,24,0,0
Rashee Rice,KC,WR,15.6,6,5,4.93,18.8,25,0,0
Rashid Shaheed,SEA,WR,7.4,57,79,0.93,8.1,27,0,0
Rashod Bateman,BAL,WR,6.6,62,44,1.64,4.3,26,0,0
Ricky Pearsall,SF,WR,9.1,48,58,1.28,9.8,25,0,0
Rome Odunze,CHI,WR,12,21,21,2.84,12.2,23,0,0
Romeo Doubs,NE,WR,9.7,42,46,1.61,10.3,25,0,0
Ryan Flournoy,DAL,WR,5.9,70,86,0.88,7.6,26,0,0
Stefon Diggs,NE,WR,9.3,46,48,1.58,12.4,32,0,0
Sterling Shepard,TB,WR,3.3,98,85,0.88,6.4,33,0,0
Tee Higgins,CIN,WR,12.4,17,17,3.51,14.1,27,0,0
Terry McLaurin,WAS,WR,9.6,45,34,1.98,11.4,30,0,0
Tetairoa McMillan,CAR,WR,12,22,26,2.61,12.5,22,0,0
Tez Johnson,TB,WR,2.5,109,111,0.49,5.8,23,0,0
Tory Horton,SEA,WR,3.9,89,114,0.47,7.4,23,0,0
Travis Hunter,JAX,WR,6.7,60,95,0.73,9.1,22,0,0
Tre Harris,LAC,WR,5.6,71,66,1.21,4.1,24,0,0
Tre Tucker,LV,WR,8.5,50,62,1.24,9.5,24,0,0
Troy Franklin,DEN,WR,6.4,64,84,0.88,10.5,23,0,0
Tyler Lockett,LV,WR,0.8,116,108,0.57,3.9,33,0,0
Tyquan Thornton,KC,WR,5.1,81,78,0.97,5.8,25,0,0
Tyreek Hill,MIA,WR,7.7,55,40,1.86,13.4,32,0,0
Van Jefferson,TEN,WR,1.4,113,117,0.37,4.4,29,0,0
Wan'Dale Robinson,TEN,WR,11.8,24,27,2.37,13.6,25,0,0
Xavier Hutchinson,HOU,WR,2.5,108,116,0.38,5.8,25,0,0
Xavier Legette,CAR,WR,5.1,82,88,0.81,6,25,0,0
Xavier Worthy,KC,WR,10.2,39,61,1.25,7.9,22,0,0
Zay Flowers,BAL,WR,13.4,14,15,3.57,14.5,25,0,0
Aaron Jones,MIN,RB,11.4,25,45,1.23,10,31,11.35,0.12
Alvin Kamara,NO,RB,9,38,55,0.88,9.3,30,7.94,0.08
Ashton Jeanty,LV,RB,16.2,5,11,4.18,14.5,22,16.12,0.16
Bhayshul Tuten,JAX,RB,11.1,26,21,2.75,6,24,14.41,0.08
Bijan Robinson,ATL,RB,19.8,2,1,5.51,22,24,16.18,0.18
Blake Corum,LA,RB,7.3,44,38,1.59,7.2,25,10.59,0.04
Breece Hall,NYJ,RB,12.9,19,20,2.75,13.1,24,15.47,0.12
Brian Robinson,ATL,RB,7.5,43,46,1.17,3.7,26,7.59,0.02
Bucky Irving,TB,RB,13.2,18,25,2.61,14,23,15.53,0.09
Cam Skattebo,NYG,RB,13.4,17,15,3.37,16.1,24,14.29,0.12
Chase Brown,CIN,RB,17.1,4,8,4.56,16.6,25,14.88,0.13
Chris Rodriguez,JAX,RB,5.8,49,44,1.26,7.1,26,6.12,0.01
Christian McCaffrey,SF,RB,20.7,1,4,5.05,24.5,29,16.59,0.19
Chuba Hubbard,CAR,RB,11.9,22,29,1.95,8.4,26,14.29,0.11
D'Andre Swift,CHI,RB,11.5,24,22,2.69,14.4,27,13.82,0.08
David Montgomery,HOU,RB,10.5,29,37,1.78,9.9,28,12.88,0.07
De'Von Achane,MIA,RB,16,7,3,5.07,20.2,24,14.12,0.16
Derrick Henry,BAL,RB,13.9,14,23,2.64,16.6,32,19,0.06
Devin Neal,NO,RB,4.1,53,51,0.99,6.7,22,0,0
Devin Singletary,NYG,RB,3.1,57,64,0.43,6.4,28,2.06,0.01
Dylan Sampson,CLE,RB,7.9,42,36,1.87,5.9,21,3.35,0.07
Emanuel Wilson,SEA,RB,3.8,55,50,1.03,5.6,26,1.83,0.01
Isiah Pacheco,DET,RB,9.4,35,39,1.57,6.7,27,9.82,0.04
J.K. Dobbins,DEN,RB,9.7,34,33,1.9,11.6,27,13.06,0.05
Jacory Croskey-Merritt,WAS,RB,8.6,40,34,1.89,8.4,24,9,0.03
Jahmyr Gibbs,DET,RB,18.5,3,2,5.29,21.6,23,17.06,0.16
James Conner,ARI,RB,0.6,67,66,0,11.1,30,0.41,0.01
James Cook,BUF,RB,15.8,8,6,4.87,18,26,17.94,0.09
Javonte Williams,DAL,RB,13.8,15,16,3.26,15.3,25,17.76,0.09
Jaydon Blue,DAL,RB,5.2,52,43,1.28,4.1,22,3.76,0.02
Jaylen Warren,PIT,RB,9.3,36,31,1.93,13.6,27,10.53,0.1
Jaylen Wright,MIA,RB,1.9,63,60,0.71,4.9,22,2.71,0.02
Jonathan Taylor,IND,RB,16.1,6,5,4.93,21.4,27,19.18,0.11
Jordan Mason,MIN,RB,6.2,47,52,0.97,8.1,26,9.47,0.03
Josh Jacobs,GB,RB,14,13,12,3.64,15.9,28,17.71,0.09
Kareem Hunt,KC,RB,2.2,61,67,0,8.6,30,0,0
Keaton Mitchell,LAC,RB,2.2,62,61,0.71,4.3,24,0.47,0.01
Kenneth Gainwell,TB,RB,11.8,23,26,2.39,13.1,26,6.47,0.13
Kenneth Walker,KC,RB,14.9,11,10,4.22,11.3,25,15.65,0.11
Kimani Vidal,LAC,RB,5.6,51,47,1.16,9.1,24,5.88,0.04
Kyle Monangai,CHI,RB,10.5,30,24,2.62,8.6,23,10.59,0.07
Kyren Williams,LA,RB,13.5,16,14,3.37,15.6,25,15.76,0.08
Malik Davis,DAL,RB,2.8,59,57,0.75,4.1,27,1.59,0.01
Michael Carter,ARI,RB,1.5,64,62,0.66,7.6,26,0,0
Nick Chubb,HOU,RB,0.7,66,68,0,5.9,30,0,0
Ollie Gordon,MIA,RB,2.9,58,53,0.92,3.2,22,2.41,0.01
Omarion Hampton,LAC,RB,15.3,10,9,4.48,15.1,22,15.47,0.13
Quinshon Judkins,CLE,RB,14.3,12,13,3.48,12.1,22,18,0.08
Rachaad White,WAS,RB,10,32,40,1.48,8.4,27,9.47,0.09
Ray Davis,BUF,RB,3.9,54,54,0.91,3.4,26,1.94,0.02
Rhamondre Stevenson,NE,RB,10.3,31,30,1.95,13,28,10.59,0.09
Rico Dowdle,PIT,RB,10.7,28,32,1.93,12.8,27,13.06,0.07
RJ Harvey,DEN,RB,10.9,27,18,2.81,12.2,25,7.18,0.11
Samaje Perine,CIN,RB,6.9,46,65,0.27,5.3,30,5.88,0.05
Saquon Barkley,PHI,RB,15.6,9,7,4.65,14.6,29,18.29,0.12
Sean Tucker,TB,RB,2.3,60,58,0.72,5.4,24,2.06,0
Tank Bigsby,PHI,RB,3.6,56,56,0.8,3.4,23,4.41,0.01
Tony Pollard,TEN,RB,9.9,33,35,1.88,11.1,28,14.65,0.08
