FPOE Rank,Player,2025 FP/G
1,Puka Nacua LAR,23.4
2,Jaxon Smith-Njigba SEA,21.2
3,Jameson Williams DET,12.9
4,Kayshon Boutte NE,8.9
5,Jalen Coker CAR,8.2
6,Zay Flowers BAL,14.3
6,Tee Higgins CIN,14.1
8,Stefon Diggs NE,12.4
8,Quentin Johnston LAC,13.2
10,George Pickens DAL,17.2
11,Khalil Shakir BUF,10.4
12,Michael Pittman IND,11.9
13,Isaac TeSlaa DET,5.4
14,Jaylen Waddle MIA,12.1
15,Amon-Ra St. Brown DET,19.1
16,Kendrick Bourne SF,6.6
16,Ryan Flournoy DAL,7.6
16,Tez Johnson TB,6.2
19,Drake London ATL,16.8
19,Jauan Jennings SF,11.6
21,Rashee Rice KC,18.8
22,DJ Moore CHI,10.1
23,Alec Pierce IND,12.2
24,Jayden Higgins HOU,7.6
25,Jordan Addison MIN,9.7
26,Tre Harris LAC,4.3
27,Marquise Brown KC,8.6
28,A.J. Brown PHI,14.7
29,Tetairoa McMillan CAR,12.6
29,DK Metcalf PIT,12.5
31,Mack Hollins NE,8.1
32,Pat Bryant DEN,5.8
32,JuJu Smith-Schuster KC,4.3
34,Jakobi Meyers JAX,11.0
35,Parker Washington JAX,11.5
35,Deebo Samuel WAS,11.8
37,Cooper Kupp SEA,7.3
38,Josh Downs IND,8.7
38,Keon Coleman BUF,8.5
40,Ja'Marr Chase CIN,19.6
41,Jalen Nailor MIN,5.9
41,Marvin Mims DEN,6.3
41,Malik Washington MIA,6.9
41,Brandin Cooks BUF,4.0
41,Rashod Bateman BAL,4.3
46,Romeo Doubs GB,10.3
46,Tre Tucker LV,9.5
46,Calvin Austin PIT,6.2
49,Xavier Hutchinson HOU,6.1
50,Nico Collins HOU,15.1
51,Courtland Sutton DEN,12.9
52,Wan'Dale Robinson NYG,13.6
52,Michael Wilson ARI,13.0
54,Ladd McConkey LAC,11.3
55,Jahan Dotson PHI,3.4
55,David Sills ATL,4.1
57,DeVonta Smith PHI,11.9
57,Rashid Shaheed SEA,8.7
59,Jalen Tolbert DAL,3.9
60,Chris Olave NO,16.8
60,Andrei Iosivas CIN,6.0
62,Van Jefferson TEN,5.0
63,Cedric Tillman CLE,5.0
64,Olamide Zaccheaus CHI,6.1
65,Sterling Shepard TB,6.3
66,Keenan Allen LAC,10.8
67,Troy Franklin DEN,10.4
67,Marvin Harrison ARI,10.7
69,Tyler Lockett LV,4.0
70,Darius Slayton NYG,7.1
71,Davante Adams LAR,15.9
72,Xavier Legette CAR,6.0
73,Isaiah Bond CLE,3.6
74,Christian Kirk HOU,5.3
75,Chimere Dike TEN,7.5
76,Brian Thomas JAX,9.9
77,Elic Ayomanor TEN,7.3
78,CeeDee Lamb DAL,15.4
79,Emeka Egbuka TB,11.5
80,Adonai Mitchell NYJ,5.5
81,Xavier Worthy KC,7.8
82,Rome Odunze CHI,12.2
83,Ricky Pearsall SF,9.8
84,Justin Jefferson MIN,11.8
85,Darnell Mooney ATL,5.5
86,Jerry Jeudy CLE,7.1
