teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage
11,Detroit,Lions,MIN,NFC,NFC North,Open,Open,Cover 0,17,139,No,Yes,Yes,615,139,No,15,No,85,0.6115,23,0.226,73,9,4,0.5252,1333,311,105,1963,5,4,4,4,0.0548,0.0216,0.0576,0.4029,0.518,93,0.6691,14.1223,73.8,2.1675,9.5899,-0.0618,0.0288,18.2603,4.2603,1.4384,64,26,1,,
13,Houston,Texans,TEN,AFC,AFC South,Closed,Closed,Cover 1,17,120,No,No,Yes,540,120,No,16,Yes,76,0.6333,8,0.2222,59,4,3,0.4917,1085,284,129,1717,8,4,6,8,0.1356,0.0167,0.0417,0.3333,0.6083,96,0.8,14.3083,89.1,2.0093,9.0417,-0.7588,0.05,18.3898,4.8136,2.1864,55,13,,,
5,Carolina,Panthers,ATL,NFC,NFC South,Open,Open,Cover 4,17,133,No,No,No,605,133,No,21,Yes,95,0.7143,19,0.2198,76,8,2,0.5714,1293,265,131,1898,13,11,7,8,0.1053,0.0376,0.0902,0.2857,0.5865,103,0.7744,14.2707,113.4,2.1372,9.7218,0.0101,0.0526,17.0132,3.4868,1.7237,72,22,,,
6,Chicago,Bears,GB,NFC,NFC North,Closed,Closed,Prevent,17,113,No,No,No,508,113,No,13,Yes,76,0.6726,14,0.2224,66,8,4,0.5841,1206,255,118,1698,5,4,2,6,0.0909,,0.1504,0.3009,0.5487,92,0.8142,15.0265,95.2,2.374,10.6726,0.5735,0.0177,18.2727,3.8636,1.7879,62,16,,,
1,Arizona,Cardinals,SF,NFC,NFC West,Open,Open,Cover 4,17,100,No,Yes,Yes,448,100,Yes,16,No,76,0.76,17,0.2232,61,9,3,0.61,1033,195,98,1414,4,3,6,4,0.0656,0.02,0.1,0.32,0.56,67,0.67,14.14,105.1,2.3058,10.33,0.619,0.06,16.9344,3.1967,1.6066,57,23,1,,
4,Buffalo,Bills,NE,AFC,AFC East,Closed,Closed,Cover 1,17,130,No,No,No,581,130,No,23,No,91,0.7,20,0.2238,75,16,3,0.5769,1152,158,56,1874,10,9,8,2,0.0267,0.0077,0.0308,0.4077,0.5538,100,0.7692,14.4154,99.9,1.9828,8.8615,-1.0316,0.0615,15.36,2.1067,0.7467,70,25,,,
24,New York,Giants,PHI,NFC,NFC East,Closed,Closed,Cover 3,17,99,Yes,No,No,440,99,No,13,Yes,66,0.6667,14,0.225,52,4,1,0.5253,872,181,57,1384,7,5,6,7,0.1346,0.0202,0.0606,0.2727,0.6465,86,0.8687,13.9798,106.1,1.9818,8.8081,-0.825,0.0606,16.7692,3.4808,1.0962,51,17,,,
27,Pittsburgh,Steelers,CIN,AFC,AFC North,Open,Open,Cover 6,17,135,No,No,No,610,135,No,17,Yes,90,0.6667,22,0.2213,76,12,4,0.563,1282,264,124,1937,12,10,6,4,0.0526,0.0074,0.0519,0.3185,0.6222,91,0.6741,14.3481,93.5,2.1016,9.4963,-0.3631,0.0444,16.8684,3.4737,1.6316,71,29,1,,
16,Kansas City,Chiefs,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,116,Yes,No,No,507,116,No,25,Yes,81,0.6983,26,0.2288,65,17,5,0.5603,1017,169,69,1610,10,9,8,3,0.0462,0.0086,0.0517,0.4483,0.4914,81,0.6983,13.8793,103.3,2.0059,8.7672,-0.8226,0.069,15.6462,2.6,1.0615,62,29,,,
29,San Francisco,49ers,ARZ,NFC,NFC West,Open,Open,Cover 4,17,106,No,Yes,Yes,482,106,Yes,24,No,76,0.717,21,0.2199,54,11,4,0.5094,889,186,70,1489,8,8,8,4,0.0741,0.0094,0.1038,0.3113,0.5755,85,0.8019,14.0472,81.1,1.8444,8.3868,-1.2325,0.0755,16.463,3.4444,1.2963,52,24,,,
26,Philadelphia,Eagles,NYG,NFC,NFC East,Closed,Closed,Cover 3,17,111,Yes,No,No,505,111,No,16,Yes,82,0.7387,14,0.2198,63,5,4,0.5676,1016,222,79,1552,10,8,6,2,0.0317,0.018,0.0541,0.3604,0.5586,81,0.7297,13.982,98.8,2.0119,9.1532,-0.5639,0.0541,16.127,3.5238,1.254,60,18,1,,
7,Cincinnati,Bengals,PIT,AFC,AFC North,Open,Open,Cover 6,17,113,No,No,No,513,114,No,16,Yes,90,0.7895,10,0.2222,77,8,,0.6754,1311,302,128,1586,10,7,4,4,0.0519,0.0088,0.1053,0.3333,0.5439,83,0.7281,13.9123,128.2,2.5556,11.5,1.7459,0.0351,17.026,3.9221,1.6623,77,13,,,
8,Cleveland,Browns,BLT,AFC,AFC North,Open,Closed,Cover 1,17,96,No,No,No,413,96,No,14,No,69,0.7188,13,0.2324,53,4,2,0.5521,856,143,70,1366,8,6,8,4,0.0755,0.0104,0.0729,0.3333,0.5833,71,0.7396,14.2292,108.7,2.0726,8.9167,-0.9112,0.0833,16.1509,2.6981,1.3208,53,17,,,
2,Atlanta,Falcons,CAR,NFC,NFC South,Open,Open,Cover 4,17,115,No,No,No,512,115,No,24,Yes,91,0.7913,18,0.2246,75,13,4,0.6522,1200,243,78,1603,13,10,4,6,0.08,0.0522,0.087,0.3217,0.5391,85,0.7391,13.9391,126.7,2.3438,10.4348,0.886,0.0348,16,3.24,1.04,67,26,1,,
32,Washington,Commanders,DAL,NFC,NFC East,Open,Open,Cover 0,17,113,No,No,Yes,495,114,Yes,20,Yes,82,0.7193,16,0.2303,65,12,3,0.5702,1106,187,83,1638,5,5,9,10,0.1538,,0.0351,0.3246,0.6228,88,0.7719,14.3684,101,2.2343,9.7018,-0.0876,0.0789,17.0154,2.8769,1.2769,61,16,,,
31,Tennessee,Titans,HST,AFC,AFC South,Closed,Closed,Cover 1,17,89,No,No,Yes,389,89,No,19,Yes,67,0.7528,12,0.2288,56,11,3,0.6292,945,209,68,1249,8,8,4,5,0.0893,0.0112,0.1011,0.2921,0.5955,66,0.7416,14.0337,114.7,2.4293,10.618,0.9069,0.0449,16.875,3.7321,1.2143,54,15,1,,
22,New England,Patriots,BUF,AFC,AFC East,Closed,Closed,Cover 1,17,117,No,No,No,503,117,No,17,No,84,0.7179,19,0.2326,65,7,2,0.5556,1002,128,62,1648,7,7,8,4,0.0615,0.0171,0.0769,0.3248,0.5812,88,0.7521,14.0855,96.9,1.992,8.5641,-1.1508,0.0684,15.4154,1.9692,0.9538,64,21,1,,
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Closed,Closed,Cover 3,17,130,No,Yes,Yes,562,131,No,21,Yes,98,0.7481,11,0.2331,71,8,3,0.542,1287,327,83,1853,7,5,12,7,0.0986,0.0153,0.0687,0.2977,0.6107,112,0.855,14.145,96.5,2.29,9.8244,0.1099,0.0916,18.1268,4.6056,1.169,68,13,1,1,0.0076
17,Los Angeles,Rams,SEA,NFC,NFC West,Open,Open,Cover 2,17,103,Yes,Yes,Yes,463,103,No,14,No,71,0.6893,11,0.2225,61,8,2,0.5922,1172,311,94,1454,8,5,3,6,0.0984,0.0291,0.1262,0.2816,0.5631,79,0.767,14.1165,116.6,2.5313,11.3786,1.6975,0.0291,19.2131,5.0984,1.541,58,16,1,,
28,Seattle,Seahawks,LA,NFC,NFC West,Open,Open,Cover 2,17,100,Yes,Yes,Yes,443,100,No,19,No,66,0.66,17,0.2257,49,10,4,0.49,837,169,50,1372,7,6,8,4,0.0816,,0.06,0.29,0.65,69,0.69,13.72,84.5,1.8894,8.37,-1.2012,0.08,17.0816,3.449,1.0204,49,20,,,
14,Indianapolis,Colts,JAX,AFC,AFC South,Open,Closed,Cover 1,17,106,No,Yes,No,482,106,Yes,13,Yes,72,0.6792,14,0.2199,61,3,5,0.5755,979,190,112,1484,10,8,3,9,0.1475,0.0189,0.0849,0.283,0.6132,80,0.7547,14,104.2,2.0311,9.2358,-0.2627,0.0283,16.0492,3.1148,1.8361,55,16,1,,
10,Denver,Broncos,KC,AFC,AFC West,Closed,Closed,Cover 3,17,133,Yes,No,No,603,133,No,19,Yes,88,0.6617,11,0.2206,76,13,3,0.5714,1303,274,63,1872,7,4,8,5,0.0658,0.0376,0.0677,0.391,0.5038,95,0.7143,14.0752,79.9,2.1609,9.797,0.1342,0.0602,17.1447,3.6053,0.8289,73,16,1,,
