teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsHero
1,Arizona,Cardinals,1,SF,NFC,NFC West,Open,Open,Cover 2,17,111,No,No,No,376,111,No,3,Yes,105,0.9459,0.2952,101,,0.9099,746,1033,238,-324,3,1,20,0.198,0.4414,0.0991,0.2432,0.2162,71,0.6396,53,0.4775,-2.9189,103.7,1.984,6.7207,1.4217,0.009,7.3861,10.2277,2.3564,36,20,
5,Carolina,Panthers,,ATL,NFC,NFC South,Closed,Open,Cover 2,17,107,Yes,No,No,332,107,No,,Yes,102,0.9533,0.3223,96,,0.8972,690,961,223,-289,2,5,17,0.1771,0.4299,0.1028,0.215,0.243,75,0.7009,60,0.5607,-2.7009,92,2.0783,6.4486,1.0436,0.0467,7.1875,10.0104,2.3229,33,20,
6,Chicago,Bears,,GB,NFC,NFC North,Closed,Closed,Cover 3,17,101,Yes,No,No,295,101,No,,Yes,95,0.9406,0.3424,91,,0.901,663,949,228,-315,1,4,13,0.1429,0.4356,0.1485,0.297,0.1188,69,0.6832,58,0.5743,-3.1188,97.3,2.2475,6.5644,1.3524,0.0396,7.2857,10.4286,2.5055,28,12,
24,New York,Giants,,PHI,NFC,NFC East,Open,Closed,Cover 3,17,92,No,Yes,No,285,92,No,,Yes,89,0.9674,0.3228,85,,0.9239,603,857,273,-272,1,4,11,0.1294,0.4239,0.0761,0.2935,0.1957,68,0.7391,49,0.5326,-2.9565,97.6,2.1158,6.5543,1.0426,0.0435,7.0941,10.0824,3.2118,32,14,
10,Denver,Broncos,1,KC,AFC,AFC West,Closed,Closed,Cover 3,17,120,Yes,No,No,423,120,No,1,Yes,111,0.925,0.2837,108,1,0.9,603,892,248,-319,1,3,24,0.2222,0.4583,0.1583,0.1833,0.1833,73,0.6083,50,0.4167,-2.6583,86.9,1.4255,5.025,-0.3893,0.025,5.5833,8.2593,2.2963,24,17,
14,Indianapolis,Colts,1,JAX,AFC,AFC South,Open,Open,Cover 2,17,118,No,Yes,No,359,118,No,1,Yes,107,0.9068,0.3287,101,,0.8559,609,928,325,-377,2,6,26,0.2574,0.4915,0.1356,0.1949,0.1695,82,0.6949,70,0.5932,-3.1949,93.8,1.6964,5.161,-0.2919,0.0508,6.0297,9.1881,3.2178,27,12,
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Closed,Cover 1,17,129,Yes,No,No,430,129,No,2,Yes,122,0.9457,0.3,115,,0.8915,852,1189,316,-367,2,5,24,0.2087,0.4574,0.124,0.3178,0.0853,89,0.6899,65,0.5039,-2.845,99.4,1.9814,6.6047,1.5739,0.0388,7.4087,10.3391,2.7478,30,14,1
17,Los Angeles,Rams,1,SEA,NFC,NFC West,Open,Closed,Cover 1,17,102,Yes,No,No,317,102,No,1,Yes,97,0.951,0.3218,97,1,0.951,658,946,262,-294,3,,28,0.2887,0.4902,0.1667,0.2549,0.0882,71,0.6961,58,0.5686,-2.8824,99.3,2.0757,6.451,0.9896,,6.7835,9.7526,2.701,28,19,2
22,New England,Patriots,1,BUF,AFC,AFC East,Closed,Closed,Cover 1,17,92,No,No,No,273,92,No,1,Yes,88,0.9565,0.337,81,,0.8804,444,683,209,-266,3,6,18,0.2222,0.2935,0.1196,0.3478,0.2283,65,0.7065,48,0.5217,-2.8913,93.1,1.6264,4.8261,-0.5805,0.0652,5.4815,8.4321,2.5802,22,12,
30,Tampa Bay,Buccaneers,1,NO,NFC,NFC South,Open,Open,Cover 2,17,107,No,No,No,359,107,No,2,Yes,97,0.9065,0.2981,92,1,0.8598,474,722,166,-287,1,4,29,0.3152,0.4299,0.1308,0.215,0.2243,69,0.6449,50,0.4673,-2.6822,88.2,1.3203,4.4299,-1.0499,0.0374,5.1522,7.8478,1.8043,17,19,
20,Miami,Dolphins,,NYJ,AFC,AFC East,Open,Open,Cover 4,17,116,No,No,No,367,116,No,2,Yes,109,0.9397,0.3161,102,1,0.8793,628,926,309,-336,5,6,29,0.2843,0.4138,0.0948,0.2931,0.1983,79,0.681,60,0.5172,-2.8966,96.4,1.7112,5.4138,0.0827,0.0517,6.1569,9.0784,3.0294,31,17,1
31,Tennessee,Titans,1,HST,AFC,AFC South,Open,Closed,Cover 1,17,121,No,No,No,350,121,No,,No,112,0.9256,0.3457,102,,0.843,648,965,309,-356,5,10,23,0.2255,0.3388,0.1322,0.3471,0.1653,89,0.7355,72,0.595,-2.9421,99.3,1.8514,5.3554,-0.0148,0.0826,6.3529,9.4608,3.0294,26,18,
3,Baltimore,Ravens,1,CLV,AFC,AFC North,Open,Closed,Cover 3,17,119,No,No,Yes,394,119,No,4,Yes,110,0.9244,0.302,102,2,0.8571,618,913,164,-338,2,5,24,0.2353,0.4874,0.1429,0.2353,0.1176,74,0.6218,57,0.479,-2.8403,93.9,1.5685,5.1933,-0.165,0.042,6.0588,8.951,1.6078,23,13,
12,Green Bay,Packers,1,CHI,NFC,NFC North,Closed,Closed,Cover 3,17,98,Yes,No,No,265,98,No,,Yes,88,0.898,0.3698,83,,0.8469,570,853,205,-311,3,2,20,0.241,0.4898,0.0612,0.3061,0.1429,76,0.7755,63,0.6429,-3.1735,101.1,2.1509,5.8163,0.4602,0.0204,6.8675,10.2771,2.4699,28,15,
25,New York,Jets,1,MIA,AFC,AFC East,Open,Open,Cover 4,17,113,No,No,No,326,113,No,3,Yes,105,0.9292,0.3466,97,1,0.8584,616,902,327,-328,2,6,22,0.2268,0.4248,0.1504,0.2478,0.177,78,0.6903,64,0.5664,-2.9027,95.3,1.8896,5.4513,0.1696,0.0531,6.3505,9.299,3.3711,22,16,1
18,Los Angeles,Chargers,,LV,AFC,AFC West,Open,Closed,Cover 3,17,104,No,No,No,330,104,No,1,Yes,97,0.9327,0.3152,93,,0.8942,488,763,261,-303,3,3,23,0.2473,0.5481,0.1346,0.1827,0.1346,64,0.6154,52,0.5,-2.9135,95.8,1.4788,4.6923,-0.7038,0.0288,5.2473,8.2043,2.8065,21,7,
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Open,Open,Cover 2,17,111,No,Yes,No,355,111,No,,Yes,109,0.982,0.3127,106,,0.955,641,960,292,-336,3,3,31,0.2925,0.4865,0.0811,0.2883,0.1351,69,0.6216,56,0.5045,-3.027,99.7,1.8056,5.7748,0.4855,0.027,6.0472,9.0566,2.7547,24,17,1
13,Houston,Texans,,TEN,AFC,AFC South,Open,Closed,Cover 1,17,109,No,No,No,308,109,No,1,No,99,0.9083,0.3539,91,1,0.8349,581,872,225,-340,2,7,18,0.1978,0.4771,0.0826,0.2661,0.1743,85,0.7798,74,0.6789,-3.1193,95,1.8864,5.3303,-0.0919,0.0642,6.3846,9.5824,2.4725,30,13,
11,Detroit,Lions,1,MIN,NFC,NFC North,Open,Open,Cover 2,17,93,No,No,No,296,93,No,1,Yes,87,0.9355,0.3142,84,,0.9032,444,689,242,-272,3,2,20,0.2381,0.3871,0.1075,0.2688,0.2043,67,0.7204,51,0.5484,-2.9247,88.4,1.5,4.7742,-0.4568,0.0215,5.2857,8.2024,2.881,21,13,
23,New Orleans,Saints,,TB,NFC,NFC South,Open,Open,Cover 2,17,105,No,No,No,330,105,No,4,Yes,96,0.9143,0.3182,90,2,0.8571,562,843,266,-319,2,4,24,0.2667,0.3905,0.1048,0.3048,0.1905,68,0.6476,58,0.5524,-3.0381,91.3,1.703,5.3524,-0.0482,0.0381,6.2444,9.3667,2.9556,24,12,
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Cover 2,17,129,No,No,No,381,129,No,2,Yes,123,0.9535,0.3386,113,2,0.876,686,993,314,-371,4,9,19,0.1681,0.3798,0.093,0.2636,0.2636,83,0.6434,72,0.5581,-2.876,95.9,1.8005,5.3178,0.0615,0.0698,6.0708,8.7876,2.7788,31,17,
9,Dallas,Cowboys,1,WAS,NFC,NFC East,Open,Open,Cover 2,17,99,No,No,No,273,99,No,1,Yes,96,0.9697,0.3626,92,,0.9293,628,911,260,-304,3,4,21,0.2283,0.4242,0.0808,0.2424,0.2424,82,0.8283,69,0.697,-3.0707,94.8,2.3004,6.3434,0.8932,0.0404,6.8261,9.9022,2.8261,24,16,
