Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentInlineRoutesPercentage,TargetsContestedTotal,TouchdownsTotal,playerStatsInside20ReceivingTargetsTotal,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,ReceptionsHero
DeVonta Smith,PHI,WR,21,No,No,No,8,No,Yes,0.75,0.25,13,5,5,1,0.625,5,1,10,21,3,-11,,,,5,5,1,-2.2,79.2,1.25,2,-3.4099,2,4.2,0.6,1,7.6026,7.6026,0.2381,1,6,3.5,6,6,6,3.5,6,6,6,3.5,6,6,,,,1,,,,
Jalen McMillan,TB,WR,47,No,No,No,15,No,Yes,0.4,0.6,13,7,7,1,0.4667,7,1,50,56,10,-6,1,0.1429,,7,7,1,-0.8571,136,3.3333,7.1429,1.6141,7.1429,8,1.4286,4,11.1987,11.1987,0.1489,11,18,14.5,18,18,18,14.5,18,18,18,14.5,18,18,,,1,1,,,,
Aaron Jones,MIN,RB,41,No,No,No,26,No,Yes,0.0769,0.1538,17,26,26,1,1,26,1,173,294,58,-121,6,0.2308,0.7692,26,26,1,-4.6538,94.4,6.6538,6.6538,1.2015,6.6538,11.3077,2.2308,9,43.558,43.558,0.6341,16.3,42.3,29.3,55.3,42.3,45.3,31.3,41.3,41.3,41.3,28.3,42.3,41.3,,,,9,,,,
Luke Farrell,JAX,TE,16,Yes,No,No,2,No,No,,,17,1,1,1,0.5,1,1,5,8,8,-3,1,1,,1,1,1,-3,87.5,2.5,5,-0.8652,5,8,8,,1.858,1.858,0.0625,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,1,,,,,,,
Christian Kirk,JAX,WR,21,No,No,No,10,No,Yes,0.6,0.4,8,4,4,1,0.4,4,1,27,37,5,-10,,,,4,4,1,-2.5,94.8,2.7,6.75,1.4763,6.75,9.25,1.25,2,5.5077,5.5077,0.1905,2.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,,,,,,,,
Puka Nacua,LA,WR,25,No,No,No,22,No,Yes,0.2273,0.7727,11,19,19,1,0.8636,19,1,195,234,60,-39,6,0.3158,,19,19,1,-2.0526,144.5,8.8636,10.2632,4.8304,10.2632,12.3158,3.1579,8,30.5022,30.5022,0.76,31.5,50.5,41,50.5,50.5,53.5,44,50.5,50.5,50.5,41,50.5,50.5,,,2,5,,,,
Joe Mixon,HST,RB,35,No,No,No,18,No,No,0.0556,,14,14,13,0.9286,0.7778,12,0.8571,115,170,50,-60,5,0.4167,0.9444,14,14,1,-4.2857,100.9,6.3889,8.2143,2.6218,9.5833,14.1667,4.1667,5,21.867,21.867,0.4,11.5,23.5,17.5,29.5,23.5,26.5,20.5,23.5,23.5,23.5,17.5,23.5,23.5,,,,,1,0.0714,,
Kristian Wilkerson,LV,WR,3,No,No,Yes,1,No,Yes,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Proche,CLV,WR,2,No,No,Yes,1,No,Yes,,,9,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaelon Darden,SEA,WR,3,Yes,No,No,3,No,Yes,,1,11,1,1,1,0.3333,1,1,6,8,1,-2,,,,1,1,1,-2,91.7,2,6,0.5009,6,8,1,1,1.5102,1.5102,0.3333,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,
Skyy Moore,KC,WR,8,No,No,Yes,2,No,Yes,0.5,0.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Conley,SF,WR,10,No,No,No,3,No,Yes,0.3333,0.6667,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Homer,CHI,RB,6,Yes,No,No,3,No,Yes,,,9,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Heath,GB,WR,6,No,No,No,2,No,Yes,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mecole Hardman,KC,WR,17,Yes,No,No,13,No,Yes,0.5385,0.2308,12,8,8,1,0.6154,8,1,46,67,9,-21,1,0.125,0.2308,8,8,1,-2.625,90.6,3.5385,5.75,0.5742,5.75,8.375,1.125,3,13.3849,13.3849,0.5,4.6,12.6,8.6,12.6,12.6,12.6,8.6,12.6,12.6,12.6,8.6,12.6,12.6,,,,4,,,,
Shane Zylstra,DET,TE,6,No,No,No,1,No,Yes,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Stoll,MIA,TE,5,No,No,No,1,No,Yes,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Luke Schoonmaker,DAL,TE,15,No,No,No,2,No,Yes,0.5,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
Nate Adkins,DEN,TE,23,Yes,No,No,1,No,Yes,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Kendre Miller,NO,RB,7,No,No,Yes,4,No,Yes,,,6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diontae Johnson,HST,WR,13,No,No,No,8,No,No,0.375,0.625,12,5,4,0.8,0.625,4,0.8,12,19,6,-11,,,,5,5,1,-2.2,79.2,1.5,2.4,-3.0529,3,4.75,1.5,,7.7533,7.7533,0.3846,1.2,5.2,3.2,5.2,5.2,5.2,3.2,5.2,5.2,5.2,3.2,5.2,5.2,,,,,,,,
Erick All,CIN,TE,9,Yes,No,No,2,No,Yes,,,9,1,1,1,0.5,1,1,-1,,,-1,,,,1,1,1,-1,79.2,-0.5,-1,-5.9014,-1,,,,1.6739,1.6739,0.1111,-0.1,0.9,0.4,0.9,1.4,0.9,0.4,0.9,0.9,0.9,0.4,1.4,0.9,1,,,,,,,
DK Metcalf,SEA,WR,54,Yes,No,No,18,No,Yes,0.0556,0.9444,15,4,4,1,0.2222,4,1,21,24,8,-3,,,,4,4,1,-0.75,88.5,1.1667,5.25,-0.3176,5.25,6,2,,9.1112,9.1112,0.0741,2.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,,,,1,,,,
Parker Washington,JAX,WR,38,Yes,No,No,13,No,No,0.0769,0.9231,17,3,3,1,0.2308,2,0.6667,9,14,4,-9,1,0.5,,3,3,1,-3,70.1,0.6923,3,-1.975,4.5,7,2,,4.4623,4.4623,0.0789,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,,,,1,0.3333,,
Mark Andrews,BLT,TE,33,No,No,Yes,8,No,Yes,0.625,0.25,17,1,1,1,0.125,1,1,2,3,,-1,,,,1,1,1,-1,79.2,0.25,2,-2.9014,2,3,,,1.4477,1.4477,0.0303,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,0.125,,,,,,,
MyCole Pruitt,PIT,TE,12,Yes,No,No,2,No,Yes,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,1.935,1.935,,,,,,,,,,,,,,,1,,,,,,,
Allen Robinson,DET,WR,4,No,No,No,2,No,No,0.5,0.5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,47,Yes,No,No,27,No,Yes,0.1852,,16,18,16,0.8889,0.6667,16,0.8889,91,153,36,-67,2,0.125,0.8148,18,18,1,-3.7222,87.7,3.3704,5.0556,-0.8669,5.6875,9.5625,2.25,4,31.877,31.877,0.383,8.1,24.1,16.1,32.1,24.1,24.1,15.1,23.1,23.1,23.1,15.1,24.1,23.1,,,,,,,,
Trent Sherfield,MIN,WR,9,No,No,No,1,No,Yes,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jha'Quan Jackson,TEN,WR,2,Yes,No,Yes,1,No,Yes,,,12,,,,,,,,,,,,,1,,,,,,,,,,,,,1.6815,1.6815,,,,,,,,,,,,,,,,,,,,,,
Tyquan Thornton,NE,WR,8,No,No,Yes,6,No,Yes,0.1667,0.8333,5,1,1,1,0.1667,1,1,6,8,3,-2,,,,1,1,1,-2,91.7,1,6,0.5009,6,8,3,,1.5102,1.5102,0.125,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,
Rakim Jarrett,TB,WR,22,No,No,No,6,No,Yes,0.3333,0.6667,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Hill,MIA,TE,36,Yes,No,No,4,No,Yes,,,16,1,1,1,0.25,1,1,4,7,-1,-3,,,,1,1,1,-3,83.3,1,4,-1.8652,4,7,-1,,2.2389,2.2389,0.0278,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,1,,,1,,,,
Dameon Pierce,HST,RB,4,No,No,No,2,No,No,,,11,1,,,0.5,,,,,,-4,,,1,1,1,1,-4,39.6,,,-5.5699,,,,,1.7135,1.7135,0.25,,,,,,,,,,,,,,,,,1,,,,
Blake Corum,LA,RB,3,Yes,No,No,1,No,Yes,,,15,1,1,1,1,1,1,8,14,5,-6,1,1,1,1,1,1,-6,100,8,8,2.9107,8,14,5,,1.3775,1.3775,0.3333,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,
Pierre Strong,CLV,RB,15,No,No,No,11,No,Yes,0.1818,0.1818,13,7,7,1,0.6364,7,1,72,97,36,-25,2,0.2857,0.5455,7,7,1,-3.5714,109.5,6.5455,10.2857,4.3829,10.2857,13.8571,5.1429,3,10.4737,10.4737,0.4667,7.2,14.2,10.7,17.7,14.2,14.2,10.7,14.2,14.2,14.2,10.7,14.2,14.2,0.0909,,,1,,,,
Taysom Hill,NO,TE,13,Yes,No,No,9,No,Yes,,0.4444,8,4,4,1,0.4444,4,1,31,44,9,-13,1,0.25,0.3333,4,4,1,-3.25,99,3.4444,7.75,2.5113,7.75,11,2.25,1,6.0743,6.0743,0.3077,3.22,7.22,5.22,7.22,9.22,7.22,5.22,7.22,7.22,7.22,5.22,9.25,7.25,0.2222,,,,,,,
Gus Edwards,LAC,RB,4,Yes,No,No,2,No,Yes,,,11,1,,,0.5,,,,,,-5,,,1,1,1,1,-5,39.6,,,-5.8711,,,,,1.72,1.72,0.25,,,,,,,,,,,,,,,,,,,,,
Malik Nabers,NYG,WR,53,Yes,No,No,30,No,Yes,0.4333,0.5667,15,19,19,1,0.6333,15,0.7895,89,139,42,-65,3,0.2,,19,19,1,-3.4211,103.7,2.9667,4.6842,-0.0946,5.9333,9.2667,2.8,4,31.4696,31.4696,0.3585,14.9,29.9,22.4,29.9,29.9,29.9,22.4,29.9,29.9,29.9,22.4,29.9,29.9,,,1,1,4,0.2105,,
Tank Dell,HST,WR,43,Yes,No,No,16,No,Yes,0.375,0.625,14,6,6,1,0.375,6,1,23,47,16,-24,,,,6,6,1,-4,82.6,1.4375,3.8333,-0.7123,3.8333,7.8333,2.6667,1,9.2339,9.2339,0.1429,2.3,8.3,5.3,8.3,8.3,8.3,5.3,8.3,8.3,8.3,5.3,8.3,8.3,,,,,,,,
Alexander Mattison,LV,RB,23,Yes,No,Yes,11,No,Yes,,0.1818,14,6,6,1,0.5455,4,0.6667,61,73,24,-22,3,0.75,0.8182,6,6,1,-3.6667,100,5.5455,10.1667,4.3891,15.25,18.25,6,3,8.8478,8.8478,0.2609,6.1,10.1,8.1,12.1,10.1,10.1,8.1,10.1,10.1,10.1,8.1,10.1,10.1,,1,,,1,0.1667,,
Cade Otton,TB,TE,70,No,No,No,16,No,Yes,0.25,0.1875,14,12,11,0.9167,0.75,10,0.8333,58,78,24,-26,2,0.2,,12,12,1,-2.1667,86.8,3.625,4.8333,-0.4085,5.8,7.8,2.4,2,18.4393,18.4393,0.1714,5.8,15.8,10.8,15.8,20.8,15.8,10.8,15.8,15.8,15.8,10.8,20.8,15.8,0.5625,,,3,1,0.0833,,
Ray-Ray McCloud,ATL,WR,48,No,No,No,18,No,Yes,0.2778,0.7222,17,18,17,0.9444,1,16,0.8889,92,146,42,-62,3,0.1875,,18,18,1,-3.4444,88,5.1111,5.1111,0.3448,5.75,9.125,2.625,3,27.9884,27.9884,0.375,9.2,25.2,17.2,25.2,25.2,25.2,17.2,25.2,25.2,25.2,17.2,25.2,25.2,,,,1,1,0.0556,,
Demario Douglas,NE,WR,49,Yes,No,No,36,No,Yes,0.6667,0.3056,17,20,20,1,0.5556,20,1,92,159,32,-67,4,0.2,0.0278,20,20,1,-3.35,85.8,2.5556,4.6,-0.1362,4.6,7.95,1.6,3,34.9405,34.9405,0.4082,9.2,29.2,19.2,29.2,29.2,29.2,19.2,29.2,29.2,29.2,19.2,29.2,29.2,,,,1,,,,
Eric Saubert,SF,TE,6,No,No,No,2,No,Yes,1,,17,1,1,1,0.5,1,1,-1,,,-1,,,,1,1,1,-1,79.2,-0.5,-1,-5.9014,-1,,,,2.0818,2.0818,0.1667,-0.1,0.9,0.4,0.9,1.4,0.9,0.4,0.9,0.9,0.9,0.4,1.4,0.9,,,,1,,,,
Xavier Weaver,ARZ,WR,3,No,No,No,2,No,Yes,0.5,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Robinson,WAS,RB,39,No,No,No,15,No,Yes,0.2667,,14,9,9,1,0.6,8,0.8889,43,80,12,-42,1,0.125,0.7333,9,9,1,-4.6667,47,2.8667,4.7778,-0.707,5.375,10,1.5,1,15.1051,15.1051,0.2308,4.3,12.3,8.3,16.3,12.3,12.3,8.3,12.3,12.3,12.3,8.3,12.3,12.3,,1,,2,1,0.1111,,
Alvin Kamara,NO,RB,34,No,No,No,26,No,No,0.1538,0.2308,14,25,23,0.92,0.9615,22,0.88,214,295,54,-91,2,0.0909,0.6154,25,25,1,-3.64,115.7,8.2308,8.56,2.7134,9.7273,13.4091,2.4545,5,38.6502,38.6502,0.7353,27.4,49.4,38.4,60.4,49.4,52.4,41.4,49.4,49.4,49.4,38.4,49.4,49.4,,,1,4,1,0.04,,
Josh Reynolds,JAX,WR,18,Yes,No,No,2,No,No,1,,9,1,1,1,0.5,1,1,3,7,3,-4,,,,1,1,1,-4,79.2,1.5,3,-1.4851,3,7,3,,1.4911,1.4911,0.0556,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,,,
Noah Gray,KC,TE,44,Yes,No,No,12,No,Yes,0.1667,0.25,17,4,4,1,0.3333,4,1,39,49,8,-10,1,0.25,0.0833,4,4,1,-2.5,107.3,3.25,9.75,4.2615,9.75,12.25,2,3,9.7239,9.7239,0.0909,3.9,7.9,5.9,7.9,9.9,7.9,5.9,7.9,7.9,7.9,5.9,9.9,7.9,0.5,,,2,,,,
Brian Thomas,JAX,WR,43,Yes,No,No,24,No,No,0.4583,0.5417,17,16,16,1,0.6667,16,1,129,165,38,-36,3,0.1875,,16,16,1,-2.25,100.3,5.375,8.0625,2.6825,8.0625,10.3125,2.375,7,27.3811,27.3811,0.3721,12.9,28.9,20.9,28.9,28.9,31.9,23.9,28.9,28.9,28.9,20.9,28.9,28.9,,,,,,,,1
DeAndre Hopkins,KC,WR,20,No,No,No,5,No,Yes,0.2,0.8,16,1,1,1,0.2,1,1,1,2,1,-1,,,,1,1,1,-1,79.2,0.2,1,-5.1699,1,2,1,,1.5766,1.5766,0.05,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,,,,,,,
Tim Patrick,DET,WR,42,No,No,No,14,No,Yes,0.2143,0.7857,16,2,2,1,0.1429,2,1,10,13,3,-3,,,,2,2,1,-1.5,87.5,0.7143,5,-0.8345,5,6.5,1.5,,3.9048,3.9048,0.0476,1,3,2,3,3,3,2,3,3,3,2,3,3,,,,1,,,,
Ezekiel Elliott,DAL,RB,9,No,No,No,5,No,Yes,0.2,,15,3,3,1,0.6,3,1,13,19,10,-6,1,0.3333,0.8,3,3,1,-2,84.7,2.6,4.3333,-1.8647,4.3333,6.3333,3.3333,1,4.8167,4.8167,0.3333,1.3,4.3,2.8,5.8,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,,,,1,,,,
Stone Smartt,LAC,TE,10,Yes,No,Yes,2,No,Yes,0.5,,14,1,1,1,0.5,1,1,6,9,3,-3,,,,1,1,1,-3,91.7,3,6,0.1348,6,9,3,,1.6455,1.6455,0.1,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,0.5,,,,,,,
T.J. Hockenson,MIN,TE,26,No,No,No,3,No,Yes,0.6667,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,
Xavier Hutchinson,HST,WR,28,No,No,No,8,No,No,0.375,0.625,16,2,2,1,0.25,2,1,8,17,9,-9,1,0.5,,2,2,1,-4.5,83.3,1,4,-0.3223,4,8.5,4.5,,2.7648,2.7648,0.0714,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,,,,,,,,
Simi Fehoko,LAC,WR,11,No,No,No,3,No,Yes,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,37,No,No,No,12,No,Yes,0.4167,0.5833,16,2,2,1,0.1667,2,1,5,10,3,-5,,,,2,2,1,-2.5,79.2,0.4167,2.5,-2.72,2.5,5,1.5,,4.6542,4.6542,0.0541,0.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,,,,1,,,,
Ian Thomas,CAR,TE,4,No,No,Yes,1,No,Yes,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Zay Flowers,BLT,WR,49,No,No,Yes,36,No,Yes,0.6944,0.3056,17,21,20,0.9524,0.5833,18,0.8571,152,208,39,-63,3,0.1667,,21,21,1,-3,96.8,4.2222,7.2381,2.2173,8.4444,11.5556,2.1667,5,36.2426,36.2426,0.4286,15.2,33.2,24.2,33.2,33.2,36.2,27.2,33.2,33.2,33.2,24.2,33.2,33.2,,,,,2,0.0952,,
Jahmyr Gibbs,DET,RB,47,No,No,No,27,No,Yes,0.1481,0.0741,17,21,20,0.9524,0.7778,20,0.9524,164,266,49,-107,6,0.3,0.7778,21,21,1,-5.0952,99.2,6.0741,7.8095,2.2502,8.2,13.3,2.45,7,33.2164,33.2164,0.4468,15.4,35.4,25.4,45.4,35.4,38.4,27.4,34.4,34.4,34.4,24.4,35.4,34.4,,1,,6,,,1,
Cody White,SEA,WR,2,No,No,Yes,1,No,Yes,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Turner,LV,WR,16,Yes,No,No,5,No,Yes,0.8,0.2,12,2,2,1,0.4,2,1,12,17,8,-5,1,0.5,,2,2,1,-2.5,91.7,2.4,6,0.78,6,8.5,4,,3.1431,3.1431,0.125,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,,,,,,,
Dalton Kincaid,BUF,TE,30,No,No,Yes,12,No,Yes,0.5833,0.0833,13,12,12,1,1,12,1,62,97,44,-35,2,0.1667,,12,12,1,-2.9167,88.2,5.1667,5.1667,-0.6105,5.1667,8.0833,3.6667,1,18.9609,18.9609,0.4,6.2,18.2,12.2,18.2,24.2,18.2,12.2,18.2,18.2,18.2,12.2,24.2,18.2,0.3333,,,2,,,,
Jakobi Meyers,LV,WR,34,Yes,No,Yes,13,No,Yes,0.2308,0.7692,15,7,7,1,0.5385,7,1,25,40,12,-15,,,,7,7,1,-2.1429,81.5,1.9231,3.5714,-1.8123,3.5714,5.7143,1.7143,1,13.2677,13.2677,0.2059,2.5,9.5,6,9.5,9.5,9.5,6,9.5,9.5,9.5,6,9.5,9.5,,,,,,,,
Hunter Henry,NE,TE,43,Yes,No,Yes,14,No,Yes,0.4286,0.1429,16,5,4,0.8,0.3571,4,0.8,52,67,24,-17,2,0.5,,5,5,1,-3.4,110,3.7143,10.4,5.0503,13,16.75,6,2,7.7977,7.7977,0.1163,5.2,9.2,7.2,9.2,11.2,9.2,7.2,9.2,9.2,9.2,7.2,11.2,9.2,0.4286,,,1,,,,
Nelson Agholor,BLT,WR,22,Yes,No,No,9,No,Yes,0.3333,0.6667,14,1,1,1,0.1111,1,1,-2,2,,-4,,,,1,1,1,-4,79.2,-0.2222,-2,-6.4851,-2,2,,,1.4329,1.4329,0.0455,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,,,,,,,
Audric Estime,DEN,RB,10,Yes,No,No,3,No,Yes,,,13,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Washington,PIT,TE,23,Yes,No,No,2,No,Yes,,0.5,17,2,1,0.5,1,1,0.5,4,7,1,-7,1,1,,2,2,1,-3.5,56.3,2,2,-4.1008,4,7,1,,3.1969,3.1969,0.087,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,0.5,,,,,,,
Zach Ertz,WAS,TE,55,No,No,No,9,No,Yes,0.5556,0.2222,17,2,2,1,0.2222,2,1,10,12,3,-2,,,,2,2,1,-1,87.5,1.1111,5,-0.0701,5,6,1.5,,2.8598,2.8598,0.0364,1,3,2,3,4,3,2,3,3,3,2,4,3,0.2222,,,,,,,
Davis Allen,LA,TE,10,Yes,No,No,1,No,Yes,,,14,1,,,1,,,,,,-5,,,,1,1,1,-5,39.6,,,-4.3733,,,,,1.3703,1.3703,0.1,,,,,,,,,,,,,,1,,,,,,,
Gabe Davis,JAX,WR,23,No,No,No,4,No,Yes,0.5,0.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javonte Williams,DEN,RB,36,Yes,No,No,24,No,Yes,,,17,17,17,1,0.7083,16,0.9412,91,191,45,-105,2,0.125,0.9583,17,17,1,-6.1765,89,3.7917,5.3529,0.1902,5.6875,11.9375,2.8125,4,27.469,27.469,0.4722,9.1,25.1,17.1,33.1,25.1,25.1,17.1,25.1,25.1,25.1,17.1,25.1,25.1,0.0417,,,,1,0.0588,,
River Cracraft,MIA,WR,10,Yes,No,No,1,No,Yes,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Akers,MIN,RB,21,No,No,No,11,No,Yes,,,16,6,5,0.8333,0.5455,5,0.8333,28,51,13,-24,,,0.9091,6,6,1,-4,125.7,2.5455,4.6667,-0.746,5.6,10.2,2.6,1,9.534,9.534,0.3,8.8,13.8,11.3,16.3,13.8,13.8,11.3,13.8,13.8,13.8,11.3,13.8,13.8,0.0909,,1,1,,,,
JaMycal Hasty,NE,RB,8,Yes,No,Yes,4,No,Yes,,,13,2,2,1,0.5,2,1,6,17,7,-11,1,0.5,1,2,2,1,-5.5,79.2,1.5,3,-2.0493,3,8.5,3.5,,2.7188,2.7188,0.25,0.6,2.6,1.6,3.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,,,,,,,,
Greg Dortch,ARZ,WR,31,No,No,No,13,No,Yes,0.5385,0.3077,17,10,10,1,0.7692,10,1,126,154,57,-28,7,0.7,0.1538,10,10,1,-2.8,152.1,9.6923,12.6,7.5947,12.6,15.4,5.7,4,15.505,15.505,0.3226,18.6,28.6,23.6,28.6,28.6,31.6,26.6,28.6,28.6,28.6,23.6,28.6,28.6,,,1,1,,,,
Terrell Jennings,NE,RB,2,Yes,No,No,1,No,Yes,,,2,1,,,1,,,,,,-6,,,1,1,1,1,-6,39.6,,,-5.0893,,,,,2.0857,2.0857,0.5,,,,,,,,,,,,,,,,,,,,,
Tip Reiman,ARZ,TE,21,No,No,No,3,No,Yes,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Courtland Sutton,DEN,WR,72,Yes,No,No,15,No,Yes,0.0667,0.9333,17,3,3,1,0.2,3,1,9,17,4,-8,,,,3,3,1,-2.6667,79.2,0.6,3,-2.1269,3,5.6667,1.3333,2,4.6512,4.6512,0.0417,0.9,3.9,2.4,3.9,3.9,3.9,2.4,3.9,3.9,3.9,2.4,3.9,3.9,,,,,,,,
Michael Pittman,IND,WR,37,Yes,No,No,15,No,No,0.1333,0.8667,16,12,11,0.9167,0.8,11,0.9167,61,77,19,-17,,,,12,12,1,-1.4167,87.8,4.0667,5.0833,-0.5023,5.5455,7,1.7273,2,18.7293,18.7293,0.3243,6.1,17.1,11.6,17.1,17.1,17.1,11.6,17.1,17.1,17.1,11.6,17.1,17.1,,,,2,,,,
Tyrell Shavers,BUF,WR,2,No,No,Yes,1,No,Yes,1,,3,1,1,1,1,1,1,69,71,61,-2,2,2,,1,1,1,-2,158.3,69,69,63.5009,69,71,61,1,1.5102,1.5102,0.5,12.9,13.9,13.4,13.9,13.9,13.9,13.4,13.9,13.9,13.9,13.4,13.9,13.9,,,1,,,,,
Malik Washington,MIA,WR,44,Yes,No,No,18,No,Yes,0.4444,0.5556,14,10,10,1,0.5556,9,0.9,58,87,34,-30,1,0.1111,,10,10,1,-3,90.8,3.2222,5.8,0.804,6.4444,9.6667,3.7778,3,15.3527,15.3527,0.2273,5.8,14.8,10.3,14.8,14.8,14.8,10.3,14.8,14.8,14.8,10.3,14.8,14.8,,1,,2,,,,
