Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentInlineRoutesPercentage,TargetsContestedTotal,TouchdownsTotal,playerStatsInside20ReceivingTargetsTotal,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,ReceptionsHero
Bucky Irving,TB,RB,45,No,No,No,35,No,Yes,0.3143,0.1143,17,24,23,0.9583,0.6857,21,0.875,173,272,84,-118,6,0.2857,0.5714,24,24,1,-4.9167,96.7,4.9429,7.2083,1.7473,8.2381,12.9524,4,7,37.4562,37.4562,0.5333,17.3,38.3,27.8,48.8,38.3,41.3,30.8,38.3,38.3,38.3,27.8,38.3,38.3,,2,,4,1,0.0417,1,
D.J. Moore,CHI,WR,93,No,No,No,66,No,Yes,0.2576,0.7121,17,41,40,0.9756,0.6212,40,0.9756,250,348,111,-100,10,0.25,0.0303,41,41,1,-2.439,108.3,3.7879,6.0976,0.9869,6.25,8.7,2.775,10,67.9237,67.9237,0.4409,37,77,57,77,77,80,60,77,77,77,57,77,77,,,2,10,,,,
Keaton Mitchell,BLT,RB,1,No,No,Yes,1,No,Yes,,,4,1,1,1,1,1,1,28,33,5,-5,,,1,1,1,1,-5,118.8,28,28,22.1289,28,33,5,1,1.306,1.306,1,2.8,3.8,3.3,4.3,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,,,,,,,,
Tyjae Spears,TEN,RB,16,No,No,No,11,No,Yes,0.0909,0.1818,12,7,7,1,0.6364,6,0.8571,31,61,10,-36,1,0.1667,0.7273,7,7,1,-5.1429,85.1,2.8182,4.4286,-0.9882,5.1667,10.1667,1.6667,2,10.3177,10.3177,0.4375,3.1,9.1,6.1,12.1,9.1,9.1,6.1,9.1,9.1,9.1,6.1,9.1,9.1,,,,,1,0.1429,,
Laviska Shenault,LAC,WR,6,No,No,No,5,No,Yes,0.2,0.4,12,3,3,1,0.6,3,1,24,33,15,-9,1,0.3333,0.4,3,3,1,-3,100,4.8,8,2.9099,8,11,5,1,4.4635,4.4635,0.5,2.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,,,,,,,,
Josh Oliver,MIN,TE,24,No,No,No,4,No,Yes,,,15,1,1,1,0.25,1,1,8,11,2,-3,,,,1,1,1,-3,100,2,8,2.1348,8,11,2,,2.9193,2.9193,0.0417,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,1,,,,,,,
Nick Chubb,CLV,RB,7,Yes,No,No,5,No,Yes,,,8,3,2,0.6667,0.6,1,0.3333,19,21,2,-8,,,1,3,3,1,-2.6667,16.7,3.8,6.3333,0.1879,19,21,2,1,4.3154,4.3154,0.4286,1.9,2.9,2.4,3.4,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,,,,,,,
Michael Carter,ARZ,RB,8,No,No,No,3,No,Yes,,0.3333,3,,,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,7,Yes,No,No,4,No,Yes,,0.5,13,3,3,1,0.75,3,1,12,22,3,-10,,,0.5,3,3,1,-3.3333,122.9,3,4,-1.7534,4,7.3333,1,1,6.7435,6.7435,0.4286,7.2,10.2,8.7,11.7,10.2,10.2,8.7,10.2,10.2,10.2,8.7,10.2,10.2,,,1,1,,,,
Colby Parkinson,LA,TE,30,Yes,No,No,6,No,Yes,0.1667,,17,2,2,1,0.3333,1,0.5,9,14,2,-11,,,,2,2,1,-5.5,62.5,1.5,4.5,-1.2451,9,14,2,1,4.4533,4.4533,0.0667,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,0.8333,,,,1,0.5,,
