Name,Team,POS,ATT,Y/A,ANY/A,DB,SCRM,YDS,CMP,TD
Jake Browning,CIN,QB,18,5.06,-0.4,21,1,91,8,
Josh Johnson,WAS,QB,12,7.92,4.17,13,1,95,9,
Philip Rivers,IND,QB,14,6.93,4.67,15,,97,12,1
Kyler Murray,ARZ,QB,19,7.53,4.96,26,3,143,14,
Tanner McKee,PHI,QB,6,3.83,2.29,7,,23,2,
Brandon Allen,TEN,QB,5,0.4,0.4,5,,2,4,
Cam Ward,TEN,QB,68,6.16,4.44,73,2,419,42,
Jared Goff,DET,QB,49,8.31,8.14,52,1,407,38,1
C.J. Stroud,HST,QB,43,8.02,5.82,48,3,345,30,1
Jacoby Brissett,ARZ,QB,40,7.03,6.44,50,5,281,26,2
Kyle Allen,DET,QB,1,,,1,,,,
Joe Flacco,CIN,QB,44,7.59,7.18,45,,334,34,2
Daniel Jones,IND,QB,45,6.82,6,52,5,307,29,2
Brock Purdy,SF,QB,38,6.39,5.28,40,1,243,26,1
Justin Fields,NYJ,QB,18,6.94,6.94,20,2,125,13,
Dillon Gabriel,CLV,QB,9,4.56,2.45,12,1,41,5,
Zach Wilson,MIA,QB,2,,,2,,,1,
Teddy Bridgewater,TB,QB,3,0.67,-1.75,4,,2,1,
Caleb Williams,CHI,QB,57,8.05,6.13,66,6,459,35,1
Gardner Minshew,KC,QB,2,5.5,5.5,2,,11,1,
Tua Tagovailoa,MIA,QB,35,8.17,5.43,37,,286,24,1
Tyler Huntley,BLT,QB,10,5.4,4.45,11,,54,8,
Kedon Slovis,ARZ,QB,1,-2,-2,1,,-2,1,
Marcus Mariota,WAS,QB,10,14.9,16.9,11,1,149,6,1
Patrick Mahomes,KC,QB,56,8.8,5.85,63,4,493,38,
J.J. McCarthy,MIN,QB,26,6.88,3.86,33,4,179,14,
Matthew Stafford,LA,QB,50,11.54,10.92,54,2,577,36,
Drake Maye,NE,QB,33,7.39,5.79,44,6,244,22,2
Geno Smith,LV,QB,36,6.5,3.85,42,1,234,28,
Justin Herbert,LAC,QB,45,5.36,3.36,65,10,241,24,
Mitchell Trubisky,BUF,QB,1,4,4,1,,4,1,
Bryce Young,CAR,QB,28,6.61,4.48,33,4,185,22,
Jordan Love,GB,QB,49,6.51,5.13,56,4,319,32,1
Jaxson Dart,NYG,QB,30,4.77,4.03,36,4,143,19,
Brady Cook,NYJ,QB,16,5.44,4.61,22,4,87,8,
Carson Wentz,MIN,QB,22,11.18,7.4,25,,246,17,
Dak Prescott,DAL,QB,76,6.55,6.32,81,2,498,53,1
Spencer Rattler,NO,QB,8,4.12,1.9,10,,33,6,
Joe Milton,DAL,QB,1,12,12,1,,12,1,
Aaron Rodgers,PIT,QB,62,8.71,7.62,65,,540,47,3
Baker Mayfield,TB,QB,37,12.16,8.33,44,1,450,27,2
Mason Rudolph,PIT,QB,1,,,1,,,,
Quinn Ewers,MIA,QB,2,2.5,2.5,2,,5,2,
Tyrod Taylor,NYJ,QB,12,6,2.25,17,5,72,7,
Michael Penix,ATL,QB,28,8.57,7.03,32,1,240,17,
Max Brosmer,MIN,QB,5,6,1.71,7,,30,4,
Josh Allen,BUF,QB,31,10.68,11,39,7,331,23,2
Shedeur Sanders,CLV,QB,14,9,6.73,17,2,126,8,1
Jameis Winston,NYG,QB,6,5.17,5.17,6,,31,3,
Clayton Tune,GB,QB,3,2.33,1,4,,7,2,
Tyler Shough,NO,QB,29,9.28,7.5,38,4,269,21,1
Trey Lance,LAC,QB,3,4.67,4.67,3,,14,2,
Davis Mills,HST,QB,30,7.87,6.91,33,1,236,23,
Riley Leonard,IND,QB,11,6.09,4.83,12,,67,8,
Malik Willis,GB,QB,4,8,8,5,1,32,4,
Jalen Hurts,PHI,QB,28,9.68,7.58,36,3,271,23,
Cooper Rush,BLT,QB,5,6,6,5,,30,3,
Lamar Jackson,BLT,QB,17,8.29,8.67,21,3,141,14,1
Chris Oladokun,KC,QB,6,3.83,3.83,6,,23,3,
Kenny Pickett,LV,QB,3,3.33,0.5,4,,10,2,
Russell Wilson,NYG,QB,11,1.91,-2.33,13,1,21,5,
Joe Burrow,CIN,QB,26,8.85,7.96,28,,230,22,
Mac Jones,SF,QB,28,5.39,1.76,29,,151,18,
Kirk Cousins,ATL,QB,19,7.16,7.16,20,1,136,11,
Jayden Daniels,WAS,QB,20,6.05,3.05,29,7,121,13,
Sam Darnold,SEA,QB,48,6.31,4.84,52,2,303,32,
Andy Dalton,CAR,QB,3,1.67,-11,4,,5,1,
Trevor Lawrence,JAX,QB,37,6.32,5.74,48,5,234,22,2
Bo Nix,DEN,QB,70,5.87,5.33,76,3,411,50,
