Name,Team,POS,ATT,Y/A,ANY/A,DB,YDS,TD,CMP,SCRM
Joe Flacco,CIN,QB,46,5.22,4.15,48,240,1,28,
Daniel Jones,IND,QB,78,7.83,6.54,88,611,1,58,4
Jacoby Brissett,ARZ,QB,106,6.76,6.61,112,717,7,68,
C.J. Stroud,HST,QB,64,8,7.04,68,512,1,41,1
Jared Goff,DET,QB,82,8.74,9.29,85,717,4,60,1
Cam Ward,TEN,QB,73,5.86,3.85,86,428,1,48,4
Kyler Murray,ARZ,QB,43,7.14,5.32,50,307,1,33,3
Tanner McKee,PHI,QB,13,7.54,4.4,17,98,1,8,2
Jake Browning,CIN,QB,19,9.05,10.11,20,172,1,16,1
Josh Johnson,WAS,QB,11,4,-0.09,12,44,,6,1
Tua Tagovailoa,MIA,QB,53,8.15,6.28,60,432,2,40,3
Gardner Minshew,KC,QB,6,2.5,2.5,6,15,,3,
Caleb Williams,CHI,QB,76,7.96,9.01,81,605,4,47,5
Teddy Bridgewater,TB,QB,4,0.75,-1.8,5,3,,1,
Justin Fields,NYJ,QB,20,4.95,4.71,22,99,,11,1
Dillon Gabriel,CLV,QB,19,5.74,3.48,25,109,,12,2
Brock Purdy,SF,QB,45,7.47,5.04,52,336,,36,6
Justin Herbert,LAC,QB,77,7.83,5.08,93,603,2,60,5
Drake Maye,NE,QB,60,8.9,7.78,70,534,2,48,5
Geno Smith,LV,QB,77,5.78,3.76,94,445,4,45,4
Aidan O'Connell,LV,QB,1,3,3,1,3,,1,
Matthew Stafford,LA,QB,106,6.59,5.95,113,699,2,64,2
J.J. McCarthy,MIN,QB,39,4.97,2.46,42,194,,24,1
Patrick Mahomes,KC,QB,81,6.57,6.1,99,532,1,56,13
Marcus Mariota,WAS,QB,28,5.79,2.03,36,162,1,18,4
Tyler Huntley,BLT,QB,6,4.5,4.5,6,27,,6,
Mason Rudolph,PIT,QB,8,4.75,-0.88,8,38,,6,
Aaron Rodgers,PIT,QB,74,6.47,6.3,79,479,1,54,2
Baker Mayfield,TB,QB,89,8.43,8.54,96,750,4,59,5
Quinn Ewers,MIA,QB,13,7.46,5.73,15,97,,9,
Joe Milton,DAL,QB,5,5.2,5.2,5,26,,3,
Carson Wentz,MIN,QB,22,4.41,4.41,22,97,,15,
Dak Prescott,DAL,QB,90,7.31,4.6,105,658,2,61,7
Spencer Rattler,NO,QB,53,7.51,7.09,59,398,2,38,2
Jaxson Dart,NYG,QB,47,5.62,4.87,58,264,1,31,5
Brady Cook,NYJ,QB,26,4.42,-0.03,29,115,,16,
Jordan Love,GB,QB,66,8.76,7.96,72,578,2,48,3
Mitchell Trubisky,BUF,QB,1,,,1,,,,
Bryce Young,CAR,QB,103,6.38,5.62,114,657,4,73,6
Shane Buechele,KC,QB,3,18.67,18.67,3,56,,2,
Clayton Tune,GB,QB,2,4,-0.67,3,8,,1,
Jameis Winston,NYG,QB,5,9.6,9.6,5,48,,4,
Josh Allen,BUF,QB,51,7.25,6.53,59,370,4,36,6
Max Brosmer,MIN,QB,6,5,5,6,30,,6,
Michael Penix,ATL,QB,32,6.28,6.28,33,201,,25,1
Tyrod Taylor,NYJ,QB,19,7.95,3.68,27,151,1,13,2
Shedeur Sanders,CLV,QB,40,5.53,3,46,221,1,22,3
Jalen Hurts,PHI,QB,73,5.96,4.18,87,435,,48,10
Cooper Rush,BLT,QB,11,5.55,,12,61,,9,
Malik Willis,GB,QB,3,14,9,6,42,,2,2
Riley Leonard,IND,QB,9,10.11,7.33,9,91,1,5,
Davis Mills,HST,QB,17,2.47,1.35,21,42,,7,1
Trey Lance,LAC,QB,13,7,4.69,16,91,,9,
Tyler Shough,NO,QB,96,7.59,6.06,106,729,3,65,5
Kenny Pickett,LV,QB,6,3.33,1.71,8,20,,4,1
Chris Oladokun,KC,QB,10,6.2,4.82,12,62,,9,1
Lamar Jackson,BLT,QB,27,7.26,3.93,35,196,,16,5
Bo Nix,DEN,QB,106,6.08,6.72,116,645,5,66,8
Trevor Lawrence,JAX,QB,91,7.53,5.77,102,685,1,58,7
Andy Dalton,CAR,QB,3,4,1.25,4,12,,2,
Sam Darnold,SEA,QB,95,9.79,8.58,101,930,2,70,1
Jayden Daniels,WAS,QB,15,9.73,8.41,21,146,,12,4
Brandon Allen,TEN,QB,6,0.83,-6.71,7,5,,1,
Kirk Cousins,ATL,QB,41,6.66,5.18,44,273,1,29,
Mac Jones,SF,QB,70,6.21,5.46,75,435,1,45,3
Philip Rivers,IND,QB,11,6.82,8.64,11,75,1,7,
Joe Burrow,CIN,QB,22,8.18,7.26,25,180,2,15,2
Russell Wilson,NYG,QB,15,10.47,12,18,157,2,11,2
