Name,Team,POS,ATT,Y/A,ANY/A,DB,SCRM,YDS,CMP,TD
Jacoby Brissett,ARZ,QB,58,8.36,6.58,64,2,485,45,
Joe Burrow,CIN,QB,56,5.68,4.39,67,3,318,37,1
Russell Wilson,NYG,QB,36,8.44,8.62,39,2,304,25,1
Mac Jones,SF,QB,40,9.53,7.41,42,1,381,32,1
Kirk Cousins,ATL,QB,47,6.66,4.35,49,,313,35,
Brett Rypien,CIN,QB,,,-2,1,,,,
Joshua Dobbs,NE,QB,1,2,2,2,1,2,1,
Andy Dalton,CAR,QB,3,8.33,3.4,6,1,25,2,
Sam Darnold,SEA,QB,45,7.2,3.44,50,2,324,34,
Jayden Daniels,WAS,QB,26,7.23,5.81,34,7,188,20,1
Bo Nix,DEN,QB,96,6.21,5.39,103,4,596,64,2
Trevor Lawrence,JAX,QB,71,8.41,7.95,80,3,597,48,2
Philip Rivers,IND,QB,6,4.67,4.67,6,,28,5,
Lamar Jackson,BLT,QB,62,7.4,5.51,76,6,459,41,3
Brandon Allen,TEN,QB,3,2.33,2.33,3,,7,3,
Chris Oladokun,KC,QB,8,3.5,1.89,9,,28,6,
Kenny Pickett,LV,QB,4,2.5,-8.75,4,,10,2,
Trey Lance,LAC,QB,10,2.1,-3.27,13,2,21,4,
Tyler Shough,NO,QB,39,7.26,6.63,43,2,283,29,
Malik Willis,GB,QB,4,24,29,4,,96,3,1
Riley Leonard,IND,QB,10,2.9,-1.6,10,,29,5,
Davis Mills,HST,QB,21,2.14,2.14,22,1,45,10,
Jalen Hurts,PHI,QB,80,7.2,6.96,89,4,576,59,2
Cooper Rush,BLT,QB,5,6.2,6.2,5,,31,4,
Michael Penix,ATL,QB,42,7.98,7.39,45,1,335,28,
Tyrod Taylor,NYJ,QB,14,4.79,3.38,20,4,67,8,
Shedeur Sanders,CLV,QB,32,5.84,2.64,41,5,187,23,1
Josh Allen,BUF,QB,52,8.27,7.71,58,2,430,41,1
Max Brosmer,MIN,QB,18,3.11,0.11,19,,56,10,
Jameis Winston,NYG,QB,4,8.75,-2.5,4,,35,2,
Clayton Tune,GB,QB,2,4,-1.67,3,,8,1,
Bryce Young,CAR,QB,70,7.36,7.69,75,4,515,49,2
Jordan Love,GB,QB,47,8.94,6.78,53,2,420,39,
Mitchell Trubisky,BUF,QB,5,5.2,5.2,5,,26,3,
Jaxson Dart,NYG,QB,50,5.4,4.54,58,6,270,33,1
Brady Cook,NYJ,QB,30,6.77,3.42,36,,203,19,
Quinn Ewers,MIA,QB,14,13.64,5.65,18,1,191,9,1
Joe Milton,DAL,QB,4,1.5,-9.75,5,1,6,2,
Carson Wentz,MIN,QB,19,9.21,7.86,25,3,175,15,1
Dak Prescott,DAL,QB,99,8.84,7.64,110,6,875,69,2
Spencer Rattler,NO,QB,48,6.23,5.19,53,1,299,33,2
Mason Rudolph,PIT,QB,9,7.33,6.2,10,,66,8,
Baker Mayfield,TB,QB,78,7.4,5.75,88,5,577,54,1
Aaron Rodgers,PIT,QB,68,9.12,8.33,75,,620,55,2
Shane Buechele,KC,QB,2,1,-2.5,5,1,2,1,
Tyler Huntley,BLT,QB,10,5.3,2.69,14,1,53,9,
Marcus Mariota,WAS,QB,30,10.3,8.8,36,6,309,21,
Aidan O'Connell,LV,QB,4,5.5,3.4,5,,22,2,
Matthew Stafford,LA,QB,51,8.98,8.24,54,,458,36,2
J.J. McCarthy,MIN,QB,41,8.07,5.81,50,3,331,29,1
Patrick Mahomes,KC,QB,35,11.49,11.7,39,2,402,32,2
Tyson Bagent,CHI,QB,2,12.5,12.5,2,,25,2,
Justin Herbert,LAC,QB,61,9.49,8.3,73,7,579,49,2
Drake Maye,NE,QB,77,8.36,7.13,97,13,644,56,1
Geno Smith,LV,QB,67,6.06,-0.08,75,1,406,46,
Justin Fields,NYJ,QB,45,6.2,2.8,63,8,279,32,
Dillon Gabriel,CLV,QB,36,5.44,3.5,39,1,196,25,
Brock Purdy,SF,QB,22,10.32,8.74,29,6,227,17,1
Teddy Bridgewater,TB,QB,1,,,1,,,,
Nick Mullens,JAX,QB,1,8,8,1,,8,1,
Zach Wilson,MIA,QB,2,3,3,3,1,6,1,
Caleb Williams,CHI,QB,73,5.21,4.37,83,7,380,41,1
Tua Tagovailoa,MIA,QB,74,6.28,4.89,86,2,465,57,
Jake Browning,CIN,QB,30,5.97,3.33,33,,179,22,
Josh Johnson,WAS,QB,7,5.71,5.71,7,,40,6,
Jared Goff,DET,QB,98,8.87,6.8,106,1,869,78,1
Cam Ward,TEN,QB,87,6.25,4.92,99,6,544,53,
Kyler Murray,ARZ,QB,21,4.9,4.17,24,1,103,14,
Tanner McKee,PHI,QB,1,4,4,1,,4,1,
C.J. Stroud,HST,QB,57,6.91,5.09,61,3,394,41,
Joe Flacco,CIN,QB,82,6.27,6.36,83,,514,55,1
Daniel Jones,IND,QB,50,8.64,7.92,54,2,432,40,2
