Name,Team,POS,ATT,Y/A,ANY/A,DB,SCRM,YDS,TD,CMP
Jaxson Dart,NYG,QB,110,8.93,8.44,129,11,982,7,80
Brady Cook,NYJ,QB,51,4.57,3.72,60,3,233,1,34
Bryce Young,CAR,QB,156,6.67,4.89,180,11,1041,3,101
Jordan Love,GB,QB,126,7.74,7.26,138,7,975,3,85
Aaron Rodgers,PIT,QB,128,5.99,4.79,138,4,767,3,87
Baker Mayfield,TB,QB,181,6.51,5.7,205,13,1178,4,119
Mitchell Trubisky,BUF,QB,17,12.59,13.76,18,1,214,1,13
Mason Rudolph,PIT,QB,16,5.19,1.76,18,1,83,,12
Carson Wentz,MIN,QB,50,9.2,6.46,54,2,460,1,34
Quinn Ewers,MIA,QB,39,6.54,5,41,1,255,,25
Joe Milton,DAL,QB,7,9.29,5.71,7,,65,1,3
Dak Prescott,DAL,QB,147,8.03,8.24,155,4,1180,9,109
Spencer Rattler,NO,QB,84,6.7,4.43,98,7,563,,61
Marcus Mariota,WAS,QB,80,8.65,6.07,93,4,692,2,57
Kedon Slovis,ARZ,QB,1,,,1,,,,
Tyler Huntley,BLT,QB,23,6.3,5.52,29,4,145,,15
Shane Buechele,KC,QB,4,4.5,4.5,4,,18,,2
Drake Maye,NE,QB,173,9.2,7.77,207,18,1591,6,129
Geno Smith,LV,QB,134,8.01,6.27,153,6,1074,2,105
Justin Herbert,LAC,QB,138,8.37,6.86,161,14,1155,6,99
J.J. McCarthy,MIN,QB,62,7.37,4.9,71,4,457,1,37
Patrick Mahomes,KC,QB,137,9,7.55,163,15,1233,3,92
Aidan O'Connell,LV,QB,8,5.62,5.62,8,,45,,4
Matthew Stafford,LA,QB,194,8.89,8.93,202,1,1724,11,139
Tyson Bagent,CHI,QB,1,,,1,,,,
Zach Wilson,MIA,QB,6,4.33,4.33,6,,26,,4
Teddy Bridgewater,TB,QB,3,13,13,3,,39,,3
Brock Purdy,SF,QB,90,9.42,6.98,100,4,848,3,61
Justin Fields,NYJ,QB,65,6.52,5.72,82,13,424,,40
Dillon Gabriel,CLV,QB,47,4.79,3.98,53,3,225,2,27
Tua Tagovailoa,MIA,QB,138,7.5,4.07,150,3,1035,4,89
Gardner Minshew,KC,QB,2,,,3,1,,,
Caleb Williams,CHI,QB,217,7.51,6.83,239,10,1630,8,130
Kyler Murray,ARZ,QB,49,6.27,5.75,59,8,307,,34
Jared Goff,DET,QB,182,7.75,6.26,199,1,1411,8,125
Cam Ward,TEN,QB,186,5.96,4.8,210,5,1109,3,115
Jake Browning,CIN,QB,27,5,-2.86,29,,135,1,16
Tanner McKee,PHI,QB,9,9.44,9.44,9,,85,,5
Josh Johnson,WAS,QB,11,6.55,5.5,13,1,72,,7
Jacoby Brissett,ARZ,QB,161,6.98,5.68,182,10,1123,4,109
Joe Flacco,CIN,QB,94,5.96,4.93,99,,560,,61
Daniel Jones,IND,QB,112,9.71,7.91,122,4,1088,3,81
C.J. Stroud,HST,QB,126,7.89,6.57,144,9,994,3,87
Mac Jones,SF,QB,87,9.34,8,98,3,813,2,66
Joshua Dobbs,NE,QB,6,8.5,8.5,6,,51,,4
Russell Wilson,NYG,QB,19,9.95,6.61,25,2,189,,15
Kirk Cousins,ATL,QB,82,6.61,6.26,86,1,542,3,51
Anthony Richardson,IND,QB,1,,,1,,,,
Joe Burrow,CIN,QB,76,8.33,7.92,81,2,633,3,56
Trevor Lawrence,JAX,QB,204,6.37,5.32,229,12,1300,6,124
Bo Nix,DEN,QB,212,7.1,5.96,232,11,1505,4,137
Jayden Daniels,WAS,QB,62,6.94,5.23,85,15,430,1,41
Philip Rivers,IND,QB,30,6.63,3.85,33,,199,,21
Andy Dalton,CAR,QB,12,7.75,6.62,13,,93,,7
Sam Darnold,SEA,QB,157,9.92,9.64,170,5,1558,9,105
Brandon Allen,TEN,QB,9,3,3,9,,27,,6
Chris Oladokun,KC,QB,16,5.62,1.85,23,3,90,,11
Lamar Jackson,BLT,QB,68,10.75,7.94,90,9,731,2,52
Kenny Pickett,LV,QB,16,5.19,2.67,18,,83,1,11
Tyler Shough,NO,QB,106,6.3,4.39,121,4,668,2,72
Trey Lance,LAC,QB,13,3.31,2.5,18,4,43,,7
Jalen Hurts,PHI,QB,137,7.84,6.84,161,12,1074,5,89
Cooper Rush,BLT,QB,18,3.33,-1.67,18,,60,,8
Davis Mills,HST,QB,40,7.9,8.4,43,3,316,1,27
Malik Willis,GB,QB,13,11.77,9.6,18,3,153,,11
Riley Leonard,IND,QB,22,8.95,8.22,24,1,197,,14
Josh Allen,BUF,QB,161,8.56,6.8,201,19,1378,7,116
Drew Lock,SEA,QB,3,5,5,3,,15,,2
Max Brosmer,MIN,QB,28,5.64,-0.29,35,1,158,,19
Michael Penix,ATL,QB,98,8.63,7.92,105,4,846,3,65
Tyrod Taylor,NYJ,QB,53,6.66,4.54,66,7,353,2,35
Shedeur Sanders,CLV,QB,74,5.96,2.49,83,3,441,2,43
Clayton Tune,GB,QB,6,3.17,-5.5,10,2,19,,3
Jameis Winston,NYG,QB,23,9.96,8.87,23,,229,1,15
