Name,Team,POS,ATT,Y/A,ANY/A,DB,SCRM,YDS,TD,CMP
Jalen Hurts,PHI,QB,31,6.81,7.03,37,5,211,1,21
Cooper Rush,DAL,QB,40,7.05,5.88,44,1,282,,32
Will Levis,TEN,QB,32,9.16,8.71,35,,293,1,24
Desmond Ridder,LV,QB,12,3.33,-0.54,13,,40,,8
Trey Lance,DAL,QB,3,7.33,5.25,4,,22,,2
Jameis Winston,CLV,QB,15,11,7.78,19,1,165,,10
Michael Penix,ATL,QB,14,6.79,8.21,14,,95,1,9
Tyrod Taylor,NYJ,QB,3,3.67,3.67,4,1,11,,2
Josh Allen,BUF,QB,34,9.62,9.34,39,4,327,,28
Jake Haener,NO,QB,,,-9,1,,,,
Skylar Thompson,MIA,QB,2,11,11,2,,22,,2
Drew Lock,NYG,QB,30,5.7,2.91,35,,171,1,21
Jayden Daniels,WAS,QB,31,7.32,5.03,37,3,227,,25
Brandon Allen,SF,QB,6,6,6,6,,36,,4
Andy Dalton,CAR,QB,19,5.11,2.74,21,2,97,,12
Sam Darnold,MIN,QB,61,7.36,5.26,69,4,449,1,39
Trevor Lawrence,JAX,QB,25,8.4,6.85,26,,210,1,14
Bo Nix,DEN,QB,65,5.8,5.65,71,3,377,1,49
Russell Wilson,PIT,QB,30,6.63,5.14,38,3,199,1,24
Anthony Richardson,IND,QB,27,9.44,6.85,28,1,255,1,16
Joe Burrow,CIN,QB,52,7.52,6.22,57,2,391,,38
Kirk Cousins,ATL,QB,29,8.86,5.52,32,1,257,1,21
Mac Jones,JAX,QB,24,8.33,8.33,26,2,200,,18
Joshua Dobbs,SF,QB,2,10.5,10.5,2,,21,,1
Jimmy Garoppolo,LA,QB,3,8.67,4.5,5,1,26,,2
Dorian Thompson-Robinson,CLV,QB,12,2.67,-1.08,13,1,32,,6
Lamar Jackson,BLT,QB,32,10.12,10.03,38,5,324,1,24
Chris Oladokun,KC,QB,,,,1,1,,,
Caleb Williams,CHI,QB,30,6.17,5.12,38,5,185,,18
Tua Tagovailoa,MIA,QB,29,7.14,7,31,,207,1,23
Gardner Minshew,LV,QB,32,6.44,2.97,43,4,206,,22
Brock Purdy,SF,QB,33,11.12,10.89,37,2,367,1,24
Justin Fields,PIT,QB,5,12.4,7.29,8,1,62,,5
C.J. Stroud,HST,QB,47,7.85,5.88,51,2,369,1,28
Jacoby Brissett,NE,QB,9,4.78,1.33,12,,43,,8
Daniel Jones,NYG,QB,34,7.06,6.74,37,2,240,,27
Joe Flacco,IND,QB,15,3.73,0.73,15,,56,,9
Kyler Murray,ARZ,QB,51,7.29,4.87,61,7,372,,42
Jared Goff,DET,QB,27,8.3,4.14,31,2,224,,18
Deshaun Watson,CLV,QB,21,7.81,6.22,24,1,164,,16
Dak Prescott,DAL,QB,28,6.75,5.39,31,,189,,24
Aaron Rodgers,NYJ,QB,48,8.23,7.22,51,,395,,35
Baker Mayfield,TB,QB,53,10.04,9.94,57,4,532,2,41
Spencer Rattler,NO,QB,14,11.14,7.94,17,,156,,12
Mason Rudolph,TEN,QB,19,5.79,2.9,20,,110,,15
Tim Boyle,NYG,QB,3,5.33,5.33,3,,16,,2
Bryce Young,CAR,QB,32,7.31,6.56,37,3,234,,23
Derek Carr,NO,QB,27,8.81,9.56,28,1,238,1,22
Mitchell Trubisky,BUF,QB,2,-0.5,-0.5,2,,-1,,1
Jordan Love,GB,QB,19,5.89,1.15,21,1,112,1,12
Joe Milton,NE,QB,1,19,19,1,,19,,1
Patrick Mahomes,KC,QB,37,10.16,10.42,39,1,376,2,29
Aidan O'Connell,LV,QB,15,8.93,10.27,15,,134,1,9
Matthew Stafford,LA,QB,28,7.39,6.27,31,1,207,,23
Geno Smith,SEA,QB,61,7.95,4.38,71,2,485,,46
Drake Maye,NE,QB,31,10.48,9.22,39,7,325,1,27
Justin Herbert,LAC,QB,38,6.66,5.55,43,3,253,1,23
Tyler Huntley,MIA,QB,8,4.25,3.11,9,,34,,5
Marcus Mariota,WAS,QB,2,17,17,3,1,34,,2
