Name,Team,POS,ATT,DB,Y/A,ANY/A,SCRM,YDS,CMP,TD
Hendon Hooker,DET,QB,1,1,,,,,,
Malik Willis,GB,QB,4,7,12.25,9.8,2,49,4,
Davis Mills,HST,QB,5,5,9.2,9.2,,46,4,
Taylor Heinicke,LAC,QB,1,1,,,,,,
Jalen Hurts,PHI,QB,65,78,6.92,4.71,5,450,47,
Cooper Rush,DAL,QB,41,42,7.71,8.2,1,316,32,1
Desmond Ridder,LV,QB,5,7,4.6,2.71,,23,3,
Will Levis,TEN,QB,51,60,6.59,5.07,6,336,39,2
Trey Lance,DAL,QB,5,5,4.4,4.4,,22,2,
Jameis Winston,CLV,QB,52,57,6.1,3.74,,317,34,1
Sam Howell,SEA,QB,8,12,0.62,-5.09,1,5,1,
Tyrod Taylor,NYJ,QB,7,7,3.43,3.43,,24,5,
Michael Penix,ATL,QB,13,14,5.54,1.93,,72,8,
Skylar Thompson,MIA,QB,6,6,7,7,,42,5,
Jake Haener,NO,QB,8,10,3.5,2.11,1,28,3,
Josh Allen,BUF,QB,45,51,8.64,7.3,5,389,30,
Sam Darnold,MIN,QB,92,103,9.16,7.25,3,843,69,1
Andy Dalton,CAR,QB,22,24,5.23,5,1,115,17,
Brandon Allen,SF,QB,9,11,8.56,3,1,77,6,
Jayden Daniels,WAS,QB,44,54,5.84,4.91,7,257,31,2
Bo Nix,DEN,QB,76,81,8,5.62,3,608,57,2
Drew Lock,NYG,QB,34,36,7.03,5.8,1,239,21,1
Bailey Zappe,CLV,QB,7,7,3,-3.43,,21,3,
Trevor Lawrence,JAX,QB,33,37,5.24,3.97,1,173,18,2
Joe Burrow,CIN,QB,97,104,8.67,7.49,1,841,80,
Anthony Richardson,IND,QB,29,33,7.38,2.23,2,214,15,
Russell Wilson,PIT,QB,66,75,5.8,5.36,5,383,45,1
Joshua Dobbs,SF,QB,7,8,8.14,5.12,,57,6,
Kirk Cousins,ATL,QB,66,75,6.76,1.04,,446,48,1
Mac Jones,JAX,QB,46,54,6.98,4.62,4,321,34,1
Jimmy Garoppolo,LA,QB,8,8,4.25,-1.38,,34,4,
Mike White,BUF,QB,1,1,14,14,,14,1,
Kenny Pickett,PHI,QB,4,5,5,5,1,20,2,
Lamar Jackson,BLT,QB,58,66,10.38,10.48,6,602,43,2
Dorian Thompson-Robinson,CLV,QB,21,27,4.29,-1.16,2,90,13,
Caleb Williams,CHI,QB,103,123,6.18,4.77,8,637,68,2
Gardner Minshew,LV,QB,44,47,6.55,3.71,2,288,30,1
Tua Tagovailoa,MIA,QB,104,115,7.87,5.8,1,818,87,1
Justin Fields,PIT,QB,22,23,8.59,8.59,1,189,15,
Brock Purdy,SF,QB,57,64,8.93,7.63,5,509,40,
Nick Mullens,MIN,QB,1,1,14,14,,14,1,
C.J. Stroud,HST,QB,107,122,6.34,3.26,6,678,76,
Daniel Jones,NYG,QB,49,56,5.98,3.28,3,293,28,
Jacoby Brissett,NE,QB,18,19,5.39,2.89,1,97,10,
Joe Flacco,IND,QB,58,60,7.02,5.59,1,407,44,1
Jared Goff,DET,QB,93,102,8.17,7.28,3,760,72,2
Kyler Murray,ARZ,QB,74,83,8.09,6.81,5,599,59,
Tanner McKee,PHI,QB,2,2,9.5,9.5,,19,1,
Dak Prescott,DAL,QB,26,28,8.38,7.89,1,218,22,
Deshaun Watson,CLV,QB,49,56,5.57,5.32,6,273,34,
Spencer Rattler,NO,QB,40,46,6.25,4.43,4,250,25,
Carson Wentz,KC,QB,2,3,15.5,8,,31,2,
Mason Rudolph,TEN,QB,35,41,6.4,2.89,5,224,24,1
Joe Milton,NE,QB,2,2,26,36,,52,2,1
Aaron Rodgers,NYJ,QB,91,99,8.33,7.18,4,758,70,2
Baker Mayfield,TB,QB,86,99,8.74,8.08,8,752,67,5
Jordan Love,GB,QB,61,64,7.8,6.21,1,476,44,1
Bryce Young,CAR,QB,50,56,7.14,4.48,2,357,36,
Tim Boyle,NYG,QB,15,16,5.87,2.87,1,88,11,
Derek Carr,NO,QB,38,39,6.32,5.13,1,240,25,
Mitchell Trubisky,BUF,QB,2,2,4.5,4.5,,9,2,
Tommy DeVito,NYG,QB,12,13,8.25,8.25,1,99,11,
Matthew Stafford,LA,QB,81,84,6.68,5.61,,541,65,
Aidan O'Connell,LV,QB,50,53,4.84,4.28,,242,35,
Patrick Mahomes,KC,QB,81,99,6.75,4.84,10,547,62,1
Tyson Bagent,CHI,QB,1,1,5,5,,5,1,
Justin Herbert,LAC,QB,71,85,9.41,9.22,9,668,57,3
Geno Smith,SEA,QB,82,96,8.48,7.22,5,695,66,1
Drake Maye,NE,QB,49,54,9,8.61,3,441,37,1
Tyler Huntley,MIA,QB,33,40,6.64,4.91,6,219,23,
Marcus Mariota,WAS,QB,4,4,3.75,3.75,,15,2,
