Name,Team,POS,ATT,Y/A,ANY/A,DB,SCRM,YDS,CMP,TD
Patrick Mahomes,KC,QB,6,2.5,2.5,7,1,15,1,
Matthew Stafford,LA,QB,5,13.4,13.4,5,,67,4,
Aidan O'Connell,LV,QB,6,7.67,7.67,6,,46,5,
Geno Smith,SEA,QB,11,9.18,8.73,13,2,101,6,2
Drake Maye,NE,QB,8,5.12,5.12,8,,41,5,
Justin Herbert,LAC,QB,6,4,2.57,7,,24,3,
Tyler Huntley,MIA,QB,2,15.5,9,3,,31,2,
Dak Prescott,DAL,QB,6,19.17,22.5,6,,115,4,1
Deshaun Watson,CLV,QB,1,11,11,1,,11,1,
Spencer Rattler,NO,QB,8,6.88,5.67,9,,55,5,
Aaron Rodgers,NYJ,QB,26,4.92,2.23,31,5,128,7,1
Mason Rudolph,TEN,QB,13,6.38,6.38,15,2,83,7,
Baker Mayfield,TB,QB,5,11,8.5,8,2,55,4,
Tim Boyle,NYG,QB,2,15,15,2,,30,1,
Derek Carr,NO,QB,4,6.25,3.4,5,,25,4,
Jordan Love,GB,QB,5,2.6,2.6,5,,13,1,
C.J. Stroud,HST,QB,7,4.86,-1.57,7,,34,4,
Daniel Jones,NYG,QB,6,13,7.25,8,,78,4,
Joe Flacco,IND,QB,12,7.92,4.77,13,,95,9,1
Kyler Murray,ARZ,QB,4,7.25,4.2,8,3,29,2,
Jared Goff,DET,QB,8,12.25,14.75,8,,98,6,1
Caleb Williams,CHI,QB,5,5.6,9.6,10,5,28,3,1
Gardner Minshew,LV,QB,5,11,11,5,,55,5,
Tua Tagovailoa,MIA,QB,17,5.47,5.17,20,2,93,9,
Brock Purdy,SF,QB,12,4.83,1.08,13,1,58,8,
Dorian Thompson-Robinson,CLV,QB,1,,,1,,,,
Lamar Jackson,BLT,QB,1,6,6,1,,6,1,
Jayden Daniels,WAS,QB,5,6,6,5,,30,2,
Sam Darnold,MIN,QB,14,9.79,11.21,16,2,137,11,1
Andy Dalton,CAR,QB,7,11.71,11.71,7,,82,4,
Trevor Lawrence,JAX,QB,2,2.5,-0.33,3,,5,1,
Bo Nix,DEN,QB,5,5.8,5.8,5,,29,2,
Anthony Richardson,IND,QB,3,,,3,,,,
Russell Wilson,PIT,QB,5,0.4,-8.6,7,2,2,1,
Joe Burrow,CIN,QB,26,7.58,6.75,31,3,197,14,
Kirk Cousins,ATL,QB,13,8.62,8.62,13,,112,8,
Jameis Winston,CLV,QB,18,3.61,0.8,22,2,65,7,
Mac Jones,JAX,QB,5,4.2,4.2,5,,21,3,
Jimmy Garoppolo,LA,QB,6,5.33,5.33,6,,32,4,
Michael Penix,ATL,QB,4,3.5,-7.17,6,,14,1,
Jake Haener,NO,QB,3,5,2.5,4,,15,1,
Josh Allen,BUF,QB,2,,,3,,,,
Drew Lock,NYG,QB,6,3.17,3.17,6,,19,3,
Skylar Thompson,MIA,QB,1,,,2,1,,,
Jalen Hurts,PHI,QB,,,,1,1,,,
Cooper Rush,DAL,QB,6,8.33,8.33,6,,50,3,
Will Levis,TEN,QB,7,0.29,-6.14,7,,2,3,
Desmond Ridder,LV,QB,2,4.5,4.5,2,,9,1,
