Name,Team,POS,ATT,Y/A,ANY/A,DB,YDS,CMP,SCRM,TD
Dorian Thompson-Robinson,CLV,QB,14,6.36,6.36,14,89,11,,
Lamar Jackson,BLT,QB,62,8.34,9.52,71,517,44,7,5
Kenny Pickett,PHI,QB,6,9,1.5,8,54,4,2,
Mike White,BUF,QB,2,,,2,,,,
Joshua Dobbs,SF,QB,7,5.29,-1.14,9,37,3,2,
Mac Jones,JAX,QB,31,6.06,1.41,35,188,24,3,
Anthony Richardson,IND,QB,54,5.63,5.39,62,304,23,6,1
Kirk Cousins,ATL,QB,82,7.85,7.9,83,644,62,,1
Joe Burrow,CIN,QB,103,8.46,7.69,111,871,80,1,3
Russell Wilson,PIT,QB,46,8.17,6.65,49,376,30,,1
Jimmy Garoppolo,LA,QB,5,11.4,9.5,6,57,4,,
Trevor Lawrence,JAX,QB,41,7.39,4.52,48,303,29,4,1
Bo Nix,DEN,QB,72,5.35,3.7,82,385,46,5,1
Bailey Zappe,CLV,QB,1,,-45,1,,,,
Brandon Allen,SF,QB,2,8.5,8.5,2,17,2,,
Jayden Daniels,WAS,QB,92,7.07,6.16,111,650,69,14,1
Sam Darnold,MIN,QB,84,5.92,5.06,95,497,54,5,3
Andy Dalton,CAR,QB,14,6.07,1.07,14,85,7,,1
Jake Haener,NO,QB,10,4,4,11,40,4,1,
Josh Allen,BUF,QB,70,6.46,5.7,78,452,44,4,
Drew Lock,NYG,QB,22,7.73,8,26,170,14,3,1
Skylar Thompson,MIA,QB,8,9,5.7,10,72,7,,
Tyrod Taylor,NYJ,QB,6,7.67,7.67,6,46,6,,
Michael Penix,ATL,QB,12,7.42,10.75,13,89,9,1,2
Jameis Winston,CLV,QB,52,8.23,5.89,59,428,33,2,1
Sam Howell,SEA,QB,1,4,4,1,4,1,,
Kyle Trask,TB,QB,1,5,5,1,5,1,,
Will Levis,TEN,QB,52,7.75,5.32,63,403,33,3,3
Desmond Ridder,LV,QB,19,6.47,6.75,22,123,14,2,1
Trey Lance,DAL,QB,7,6.29,6.29,7,44,5,,
Jalen Hurts,PHI,QB,39,8.79,7.12,52,343,27,9,2
Cooper Rush,DAL,QB,56,4,2.65,61,224,31,1,
Davis Mills,HST,QB,1,9,9,1,9,1,,
Malik Willis,GB,QB,5,6.6,5.33,6,33,5,,
Hendon Hooker,DET,QB,1,2,2,1,2,1,,
Marcus Mariota,WAS,QB,2,9.5,9.5,2,19,2,,
Tyler Huntley,MIA,QB,19,5.68,5.68,20,108,13,1,
Geno Smith,SEA,QB,98,7.55,6.35,114,740,74,5,4
Drake Maye,NE,QB,44,5.55,3.76,57,244,29,7,1
Justin Herbert,LAC,QB,67,7.58,6.19,76,508,46,3,1
Patrick Mahomes,KC,QB,78,6.31,4.62,89,492,56,5,1
Matthew Stafford,LA,QB,54,8.06,7.88,57,435,38,1,1
Aidan O'Connell,LV,QB,39,6.97,5.53,41,272,25,1,
Tommy DeVito,NYG,QB,3,1.33,-1,5,4,2,1,
Tim Boyle,NYG,QB,6,3.17,1.43,8,19,2,1,
Mitchell Trubisky,BUF,QB,1,,,1,,,,
Derek Carr,NO,QB,49,6.57,6.45,52,322,37,1,1
Bryce Young,CAR,QB,48,5.69,3.55,58,273,31,5,2
Aaron Rodgers,NYJ,QB,79,6.47,5.63,85,511,47,3,1
Mason Rudolph,TEN,QB,27,7.96,5.96,30,215,20,2,
Baker Mayfield,TB,QB,62,7.27,5.03,71,451,48,6,2
Jordan Love,GB,QB,73,8.7,7.99,80,635,49,3,3
Dak Prescott,DAL,QB,50,5.12,5.09,55,256,29,1,2
Deshaun Watson,CLV,QB,21,4.9,1.52,29,103,12,4,
Kyler Murray,ARZ,QB,89,7.37,6.34,99,656,62,5,1
Spencer Rattler,NO,QB,33,4.67,3.72,37,154,17,1,
Carson Wentz,KC,QB,5,3.2,3.2,5,16,2,,
Jared Goff,DET,QB,62,7.58,6.46,70,470,43,3,2
Josh Johnson,BLT,QB,1,,,1,,,,
Tanner McKee,PHI,QB,2,2.5,2.5,2,5,1,,
Joe Milton,NE,QB,4,5.75,5.75,6,23,4,2,
Jacoby Brissett,NE,QB,18,10.67,7.17,24,192,14,1,
Daniel Jones,NYG,QB,39,6.03,4.28,44,235,28,1,1
Joe Flacco,IND,QB,36,7.28,7.89,37,262,22,,2
C.J. Stroud,HST,QB,78,7.33,6.55,96,572,48,9,3
Brock Purdy,SF,QB,71,7.87,6.05,84,559,48,8,1
Justin Fields,PIT,QB,26,6.46,4.46,30,168,17,2,1
Gardner Minshew,LV,QB,46,6.87,6.44,48,316,37,,
Tua Tagovailoa,MIA,QB,43,7.65,7.64,45,329,33,1,1
Caleb Williams,CHI,QB,72,6.94,7.51,77,500,49,3,4
