Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsInEndzone,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsContestedTotal
Keaton Mitchell,BLT,RB,2,Yes,No,Yes,2,No,No,0.5,0.5,13,,,,,,,,,,,,,,,,,,
DJ Moore,CHI,WR,25,No,No,No,25,No,No,,,17,6,1,0.24,80,0.48,0.52,3,13.3333,2,39.6,-8.8127,12.4224,12.4224,0.24,1,,,
Bucky Irving,TB,RB,4,Yes,No,No,3,No,No,1,,10,1,,0.3333,6,,,,6,,39.6,-7.7086,1.5154,1.5154,0.25,,,,
Josh Oliver,MIN,TE,7,No,No,No,6,No,No,,0.6667,15,1,,0.1667,-3,0.3333,,1,-3,,39.6,-5.8652,1.587,1.587,0.1429,,,,
Nick Chubb,HST,RB,12,No,No,No,8,No,No,0.875,,15,1,,0.125,5,,0.125,1,5,,39.6,-7.233,1.4355,1.4355,0.0833,,,,
Michael Carter,ARZ,RB,9,No,Yes,No,8,No,No,0.625,,13,2,,0.25,38,0.125,0.25,1,19,1,39.6,-3.1973,4.8324,4.8324,0.2222,,,,
Tyjae Spears,TEN,RB,11,No,Yes,No,8,No,No,1,,13,,,,,,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,10,No,Yes,No,6,No,No,1,,16,2,,0.3333,6,,,1,3,,39.6,-6.4812,2.7002,2.7002,0.2,,,,
Colby Parkinson,LA,TE,7,No,Yes,No,5,No,No,,0.4,15,1,1,0.2,20,0.4,0.2,1,20,1,39.6,-11.7623,1.9348,1.9348,0.1429,1,,,
Isaiah Bond,CLV,WR,16,No,No,Yes,15,No,No,,,16,3,,0.2,65,0.4,0.6,3,21.6667,1,39.6,-11.2712,6.664,6.664,0.1875,,,,
Rome Odunze,CHI,WR,21,No,No,No,21,No,No,,,12,7,1,0.3333,101,0.2381,0.7619,3,14.4286,1,39.6,-9.4579,12.5576,12.5576,0.3333,1,,,
Brenden Bates,CLV,TE,1,No,No,Yes,1,No,No,,1,9,,,,,,,,,,,,,,,,,,
Jacory Croskey-Merritt,WAS,RB,2,No,Yes,No,1,No,No,1,,17,,,,,,,,,,,,,,,,,,
Josh Downs,IND,WR,11,Yes,Yes,No,11,No,No,,,16,7,,0.6364,120,0.9091,0.0909,7,17.1429,3,39.6,-9.7812,12.928,12.928,0.6364,,1,0.1429,
Tetairoa McMillan,CAR,WR,12,Yes,No,No,12,No,No,,,17,4,,0.3333,45,0.5,0.5,4,11.25,1,,-8.301,9.0878,9.0878,0.3333,,,,
Khalil Herbert,NYJ,RB,2,No,Yes,Yes,2,No,No,1,,5,1,,0.5,-4,,,,-4,,39.6,-5.5699,1.7054,1.7054,0.5,,,,
Quinshon Judkins,CLV,RB,9,No,No,No,6,No,No,0.6667,0.3333,14,1,,0.1667,-5,,,1,-5,,39.6,-5.8711,1.3848,1.3848,0.1111,,1,1,
Devaughn Vele,NO,WR,8,No,No,No,6,Yes,No,,,13,1,,0.1667,25,0.5,0.5,,25,1,39.6,-11.4887,1.4136,1.4136,0.125,,,,
Tyler Allgeier,ATL,RB,4,No,Yes,No,4,No,No,1,,17,,,,,,,,,,,,,,,,,,
KeAndre Lambert-Smith,LAC,WR,2,No,No,No,2,No,No,,,10,,,,,,1,,,,,,,,,,,,
Foster Moreau,NO,TE,3,Yes,No,No,1,No,No,,1,11,1,,1,3,,,1,3,,39.6,-6.3218,1.5011,1.5011,0.3333,,,,
Trayveon Williams,CLV,RB,2,No,No,Yes,2,No,No,0.5,0.5,6,,,,,,,,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,6,Yes,No,No,6,No,No,,,7,2,,0.3333,17,0.1667,0.8333,2,8.5,,39.6,-7.6322,4.5012,4.5012,0.3333,2,,,
Devin Singletary,NYG,RB,4,Yes,No,No,4,No,No,1,,17,,,,,,,,,,,,,,,,,,
Gage Larvadain,CLV,WR,4,No,No,Yes,4,No,No,,,13,,,,,0.25,0.75,,,,,,,,,,,,
David Sills,ATL,WR,17,No,Yes,No,17,No,No,,0.0588,17,6,1,0.3529,95,0.3529,0.5882,5,15.8333,1,39.6,-9.7133,10.8095,10.8095,0.3529,2,,,
Zamir White,LV,RB,1,No,No,No,1,No,No,1,,5,1,,1,-5,,,,-5,,39.6,-5.8711,1.176,1.176,1,,,,
Jauan Jennings,SF,WR,10,Yes,Yes,No,10,No,No,,,15,3,,0.3,22,0.2,0.8,3,7.3333,,39.6,-6.9758,6.6175,6.6175,0.3,1,,,
Teagan Quitoriano,ATL,TE,2,No,Yes,No,1,No,No,,1,15,,,,,,,,,,,,,,,,,,
Tanner Conner,MIA,TE,2,No,Yes,No,1,No,No,,,9,,,,,,1,,,,,,,,,,,,
Quintin Morris,JAX,TE,3,No,Yes,No,2,No,No,,0.5,13,,,,,0.5,,,,,,,3.5059,3.5059,,,,,
Ashton Dulin,IND,WR,3,Yes,Yes,No,3,No,No,,,12,3,,1,67,,1,2,22.3333,1,39.6,-11.1368,4.4515,4.4515,1,,,,
Ja'Tavion Sanders,CAR,TE,4,Yes,Yes,Yes,4,No,No,,,13,,,,,0.5,0.5,,,,,,,,,,,,
Jahdae Walker,CHI,WR,3,No,No,No,3,No,No,,,7,1,,0.3333,10,0.6667,0.3333,,10,,39.6,-7.5,1.6556,1.6556,0.3333,,,,
Moliki Matavao,NO,TE,1,No,Yes,No,1,No,No,,,6,,,,,1,,,,,,,,,,,,,
Tahj Washington,MIA,WR,2,Yes,Yes,Yes,2,No,No,,,6,,,,,,1,,,,,,,,,,,,
Mack Hollins,NE,WR,6,No,Yes,Yes,6,No,No,,,15,3,,0.5,30,,1,3,10,,39.6,-8.185,4.3757,4.3757,0.5,,,,
Juwan Johnson,NO,TE,13,No,Yes,No,13,No,No,,0.2308,17,5,,0.3846,44,0.5385,0.2308,4,8.8,,39.6,-8.1346,7.5882,7.5882,0.3846,,,,
David Montgomery,DET,RB,7,No,No,No,2,No,No,1,,17,,,,,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,2,No,Yes,No,1,No,No,,,15,,,,,,1,,,,,,,,,,,,
Jaylen Warren,PIT,RB,8,Yes,No,Yes,6,No,No,0.8333,,16,1,,0.1667,3,,0.1667,,3,,39.6,-6.5094,1.5685,1.5685,0.125,1,,,
Kendrick Bourne,SF,WR,11,Yes,Yes,No,11,No,No,,,16,1,,0.0909,11,0.2727,0.7273,1,11,,39.6,-8.3152,1.4027,1.4027,0.0909,,,,
Hassan Haskins,LAC,RB,1,No,No,No,1,No,No,1,,11,,,,,,,,,,,,,,,,,,
Jack Bech,LV,WR,4,No,No,No,4,No,No,,,16,1,,0.25,17,0.5,0.5,1,17,,39.6,-11.6653,2.1769,2.1769,0.25,,,,
Kevin Austin,NO,WR,7,No,Yes,No,7,No,No,,,8,1,,0.1429,13,0.1429,0.8571,,13,,39.6,-8.9145,2.076,2.076,0.1429,,,,
Tyler Badie,DEN,RB,5,No,No,No,3,No,No,1,,16,,,,,,,,,,,,,,,,,,
Jalen Brooks,ARZ,WR,3,No,Yes,No,3,No,No,,,6,,,,,0.3333,0.6667,,,,,,,,,,,,
