Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,TargetsContestedTotal,ReceptionsContested,DropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,ReceptionsHero
Malik Turner,SF,WR,3,No,No,No,2,,No,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Dee Eskridge,MIA,WR,11,Yes,No,No,8,2,No,Yes,2,1,,0.25,2,1,17,1,1,16,,,0.375,0.625,1,8,,102.1,2.125,8.5,1.2408,8.5,0.5,0.5,1,3.3308,3.3308,0.1818,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,,13,,,,,,,,,,,
Brittain Brown,CHI,RB,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.5,,,,,,,,
AJ Dillon,PHI,RB,6,No,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,,,,,,
Ross Dwelley,DET,TE,14,No,Yes,No,8,1,No,Yes,1,1,,0.125,1,1,4,4,2,,,,0.25,0.125,1,,,83.3,0.5,4,-1.289,4,4,2,,2.1931,2.1931,0.0714,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,1,10,,,,0.625,,,,,,,
Jaxon Smith-Njigba,SEA,WR,155,Yes,No,No,153,53,No,Yes,53,1,1,0.3464,52,0.9811,510,194,81,335,1,1,0.2614,0.719,42,6.3208,,113.1,3.3333,9.6226,2.498,9.8077,3.7308,1.5577,25,81.8494,81.8494,0.3419,57,109,83,109,109,112,86,109,109,109,83,109,109,1,17,7,0.1346,0.0065,0.0131,5,4,1,12,0.2264,0.0189,
Sam LaPorta,DET,TE,95,No,No,No,74,18,No,Yes,18,1,,0.2432,17,0.9444,168,76,21,102,1,,0.3649,0.2432,14,5.6667,,124.1,2.2703,9.3333,2.3333,9.8824,4.4706,1.2353,10,27.1041,27.1041,0.1895,22.8,39.8,31.3,39.8,48.3,42.8,34.3,39.8,39.8,39.8,31.3,48.3,39.8,2,9,1,0.0588,0.0135,0.3784,4,3,,2,0.1111,,
Phil Mafah,DAL,RB,1,No,No,No,1,1,No,Yes,1,1,,1,1,1,1,6,3,-5,,,,,1,-5,,79.2,1,1,-4.8711,1,6,3,,1.3472,1.3472,1,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,1,,,1,,,,,1,1,,
Jackson Hawes,BUF,TE,33,No,No,No,17,8,No,Yes,8,1,1,0.4706,7,0.875,93,40,18,59,2,1,0.2941,0.0588,1,7.375,1,154.7,5.4706,11.625,4.8129,13.2857,5.7143,2.5714,6,16.121,16.121,0.2424,21.3,28.3,24.8,28.3,31.8,28.3,24.8,28.3,28.3,28.3,24.8,31.8,28.3,3,17,1,0.1429,,0.6471,1,1,1,,,0.125,
Chris Blair,ATL,WR,4,No,No,No,3,,No,Yes,,,,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Mitchell Tinsley,CIN,WR,45,No,Yes,No,35,2,Yes,Yes,2,1,,0.0571,2,1,24,8,1,16,,,0.2286,0.7714,1,8,,116.7,0.6857,12,3.0824,12,4,0.5,1,3.1183,3.1183,0.0444,2.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,,17,,,,,,,,,,,
Christian McCaffrey,SF,RB,166,Yes,No,No,150,60,No,Yes,60,1,2,0.4,57,0.95,498,448,150,46,3,2,0.1733,0.0267,33,0.7667,,117.9,3.32,8.3,2.025,8.7368,7.8596,2.6316,24,99.4068,99.4068,0.3614,67.8,124.8,96.3,153.3,124.8,127.8,99.3,124.8,124.8,124.8,96.3,124.8,124.8,11,17,13,0.2281,0.7867,0.0133,1,1,3,17,0.2833,0.05,
Brycen Tremayne,CAR,WR,32,No,No,No,29,8,No,Yes,8,1,,0.2759,8,1,91,33,10,58,,,0.2759,0.7241,6,7.25,1,114.1,3.1379,11.375,4.095,11.375,4.125,1.25,3,12.554,12.554,0.25,9.1,17.1,13.1,17.1,17.1,17.1,13.1,17.1,17.1,17.1,13.1,17.1,17.1,,16,1,0.125,,,1,1,,,,,
Tez Johnson,TB,WR,78,No,No,No,63,7,No,Yes,7,1,,0.1111,5,0.7143,27,31,3,17,,,0.4603,0.5238,5,2.4286,,77.7,0.4286,3.8571,-2.0565,5.4,6.2,0.6,,11.6015,11.6015,0.0897,2.7,7.7,5.2,7.7,7.7,7.7,5.2,7.7,7.7,7.7,5.2,7.7,7.7,2,16,1,0.2,0.0159,,2,,,2,0.2857,,
