Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsHero,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TouchdownsTotal,TouchdownsInEndzone
Ronnie Rivers,LA,RB,1,No,Yes,No,1,Yes,Yes,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Arroyo,SEA,TE,6,Yes,No,Yes,6,No,Yes,0.3333,13,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Slayton,NYG,WR,18,Yes,No,No,17,No,Yes,0.1765,14,,3,2,3,1,0.1765,1,1,1,0.3333,31,7,2,43,1,0.8235,3,14.3333,1,72.9,1.8235,10.3333,1.1278,0.3333,31,7,2,1,4.8459,4.8459,0.1667,3.1,4.1,3.6,4.1,4.1,4.1,3.6,4.1,4.1,4.1,3.6,4.1,4.1,,,,,,,,,
Nico Collins,HST,WR,15,Yes,Yes,No,12,Yes,Yes,,15,,6,2,6,1,0.5,6,2,,1,87,7,8,80,,1,6,13.3333,1,118.8,7.25,14.5,5.8228,,14.5,1.1667,1.3333,5,9.2683,9.2683,0.4,8.7,14.7,11.7,14.7,14.7,14.7,11.7,14.7,14.7,14.7,11.7,14.7,14.7,,,,,,,,,
Jake Ferguson,DAL,TE,19,Yes,No,No,17,No,Yes,0.8235,17,0.1765,2,1,2,1,0.1176,1,,,0.5,6,6,2,21,,,2,10.5,1,56.3,0.3529,3,-6.1262,,6,6,2,,3.3473,3.3473,0.1053,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,,,,,,,,,
Davante Adams,LA,WR,18,No,Yes,No,17,No,Yes,0.1765,14,,7,3,7,1,0.4118,4,,,0.5714,63,5,1,125,,0.8235,6,17.8571,3,87.2,3.7059,9,-1.3439,,15.75,1.25,0.25,4,14.6925,14.6925,0.3889,6.3,10.3,8.3,10.3,10.3,10.3,8.3,10.3,10.3,10.3,8.3,10.3,10.3,1,1,,,,,,,
Jerry Jeudy,CLV,WR,26,No,Yes,No,24,No,Yes,0.0833,17,,4,1,4,1,0.1667,3,,,0.75,24,6,2,24,,0.9167,4,6,,89.6,1,6,-0.8336,,8,2,0.6667,1,6.0862,6.0862,0.1538,2.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,,1,,,,,,,
J.K. Dobbins,DEN,RB,6,No,No,No,3,No,No,,10,,1,,1,1,0.3333,1,,,1,4,7,2,-3,,,,-3,,83.3,1.3333,4,-2.1191,,4,7,2,,1.5137,1.5137,0.1667,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,1,1,1,,,,
Emari Demercado,ARZ,RB,4,No,Yes,No,3,Yes,Yes,0.3333,13,,1,,1,1,0.3333,,,,,,,,-5,1,,1,-5,,39.6,,,-5.8711,1,,,,,1.41,1.41,0.25,,,,,,,,,,,,,,,,,,0.6667,1,1,,
Efton Chism,NE,WR,2,No,No,Yes,2,No,Yes,0.5,8,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
