Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsContestedTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Jacory Croskey-Merritt,WAS,RB,5,No,No,No,3,1,No,No,0.3333,-7,1,1,1,1,-7,39.6,-4.5287,1.2116,1.2116,0.2,17,,,,,,,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,13,No,Yes,Yes,13,8,No,No,0.6154,154,,4,1,0.125,19.25,,-9.8978,16.753,16.753,0.6154,12,3,0.3077,0.6923,2,,,,,,,,,,,,,,,,
Brenden Bates,CLV,TE,4,No,No,No,2,,No,No,,,,,,,,,,,,,9,,,,,1,,,,,,,,,,,,,,,
Isaiah Bond,CLV,WR,15,No,No,No,15,2,No,No,0.1333,65,,1,,,32.5,,-11.9573,5.1099,5.1099,0.1333,16,,0.4,0.6,1,,1,1,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,8,No,No,Yes,6,,No,No,,,0.8333,,,,,,,,,,16,,0.1667,,,,,,,,,,,,,,,,,,
Colby Parkinson,LA,TE,12,No,No,No,9,1,No,No,0.1111,-3,,1,1,1,-3,,-5.8652,4.9081,4.9081,0.0833,15,,0.2222,0.3333,,0.4444,,1,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,13,No,No,No,10,,No,No,,,0.9,,,,,,,,,,13,,,0.1,,,,,,,,,,,,,,,,,
Josh Oliver,MIN,TE,1,Yes,Yes,Yes,1,,No,No,,,,,,,,,,,,,15,,,,,1,,,,,,,,,,,,,,,
Nick Chubb,HST,RB,2,No,No,No,2,1,No,No,0.5,2,1,,,,2,39.6,-6.3947,1.3816,1.3816,0.5,15,,,,,,,,,,,,,,,,,,,,
Michael Carter,ARZ,RB,10,No,No,No,8,,No,No,,,1,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
Bucky Irving,TB,RB,8,No,No,No,4,,No,No,,,1,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
