Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAirTotal,AverageDepthOfTarget,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,ReceptionsHero,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TouchdownsTotal,TouchdownsInEndzone
Tucker Kraft,GB,TE,7,No,No,No,4,No,Yes,,8,1,1,1,0.25,1,1,24,3,,0.75,0.25,1,,,118.8,6,24,11.0365,24,3,,1.1632,1.1632,0.1429,2.4,3.4,2.9,3.4,3.9,3.4,2.9,3.4,3.4,3.4,2.9,3.9,3.4,21,21,1,,,,,,1,,,,,,,
Jalen Coker,CAR,WR,6,Yes,No,Yes,6,No,Yes,0.1667,11,,,,,,,,,,,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raheem Mostert,LV,RB,3,No,No,No,2,No,Yes,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Arian Smith,NYJ,WR,3,Yes,No,No,3,Yes,Yes,0.3333,16,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,8,No,No,No,7,No,Yes,0.8571,15,1,1,1,0.1429,1,1,5,,,,0.1429,,,,87.5,0.7143,5,-1.3628,5,,,1.532,1.532,0.125,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,5,5,,,,1,1,,,,,,,,,
Dallas Goedert,PHI,TE,10,Yes,No,No,9,No,Yes,0.1111,15,1,1,1,0.1111,1,1,5,2,1,0.5556,0.3333,,,,87.5,0.5556,5,-1.3218,5,2,1,1.3214,1.3214,0.1,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,3,3,,,,,,,,,,,,,,
Cedric Tillman,CLV,WR,10,Yes,No,No,8,No,Yes,0.5,13,1,1,1,0.125,1,1,10,,,,0.5,1,,,108.3,1.25,10,2.5,10,,,1.6152,1.6152,0.1,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,10,10,1,,,,,,,,,,,,,
Calvin Ridley,TEN,WR,3,No,No,No,3,No,Yes,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin,CLV,TE,9,No,No,No,8,No,No,0.375,16,3,3,1,0.375,1,0.3333,12,,,,0.625,3,,,46.5,1.5,4,-3.2087,12,,,5.7701,5.7701,0.3333,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,22,7.3333,1,,,2,,,,,,,,,,
Terry McLaurin,WAS,WR,5,Yes,Yes,No,5,Yes,Yes,0.6,10,1,1,1,0.2,1,1,13,,,,0.4,1,,,118.8,2.6,13,4.0855,13,,,1.5545,1.5545,0.2,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,13,13,1,,,,,,,1,,,,,,
