Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAirTotal,AverageDepthOfTarget,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,ReceptionsHero,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TouchdownsTotal,TouchdownsInEndzone
Josh Jacobs,GB,RB,9,Yes,No,Yes,7,No,Yes,,15,,,,,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571,,,,
Tee Higgins,CIN,WR,15,Yes,No,No,13,No,Yes,1,15,4,4,1,0.3077,2,0.5,20,,,,,4,,,64.6,1.5385,5,-3.3935,10,,,6.459,6.459,0.2667,2,4,3,4,4,4,3,4,4,4,3,4,4,46,11.5,1,,,1,,,,1,,,,,,
Scott Miller,PIT,WR,1,No,No,No,1,No,No,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle,MIA,WR,9,No,No,Yes,9,Yes,Yes,0.5556,16,2,2,1,0.2222,2,1,18,1,,,0.4444,1,,,104.2,2,9,1.3684,9,0.5,,3.2709,3.2709,0.2222,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,17,8.5,1,,,,,,,1,,,,,,
Jeremy McNichols,WAS,RB,4,Yes,Yes,No,3,Yes,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Jerome Ford,CLV,RB,6,No,No,No,3,No,Yes,,13,1,1,1,0.3333,,,,,,,,1,1,1,39.6,,,-6.1191,,,,1.5333,1.5333,0.1667,,,,,,,,,,,,,,-3,-3,,1,1,,,,,,,1,,,,
George Pickens,DAL,WR,17,No,No,No,16,No,Yes,0.8125,17,,,,,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Dowdle,CAR,RB,9,Yes,No,Yes,8,No,Yes,,17,1,1,1,0.125,1,1,1,,,,0.125,,,,79.2,0.125,1,-4.7294,1,,,1.4556,1.4556,0.1111,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1,1,,,,,,,,,,0.875,,,,
Ricky Pearsall,SF,WR,12,Yes,No,Yes,12,No,Yes,0.75,9,4,4,1,0.3333,3,0.75,63,2,,,0.25,3,1,0.25,116.7,5.25,15.75,7.0771,21,0.6667,,6.5484,6.5484,0.3333,6.3,9.3,7.8,9.3,9.3,9.3,7.8,9.3,9.3,9.3,7.8,9.3,9.3,53,13.25,3,1,0.25,1,1,,1,,1,,,,,
Chris Olave,NO,WR,31,No,No,No,31,No,Yes,0.6452,16,8,8,1,0.2581,7,0.875,77,4,1,,0.3548,6,,,106.8,2.4839,9.625,1.5507,11,0.5714,0.1429,17.0821,17.0821,0.2581,7.7,14.7,11.2,14.7,14.7,14.7,11.2,14.7,14.7,14.7,11.2,14.7,14.7,78,9.75,3,,,1,,,,,1,,,,,
Ben Skowronek,PIT,WR,4,No,No,No,4,No,No,1,16,1,1,1,0.25,1,1,13,,,,,,,,118.8,3.25,13,4.0855,13,,,1.6179,1.6179,0.25,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,13,13,1,,,,,,,,,,,,,
Beaux Collins,NYG,WR,3,No,No,No,3,No,Yes,0.6667,9,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Tonges,SF,TE,9,Yes,No,Yes,9,No,Yes,0.1111,16,4,4,1,0.4444,3,0.75,33,5,,0.4444,0.4444,3,,,99,3.6667,8.25,0.0596,11,1.6667,,6.232,6.232,0.4444,3.3,6.3,4.8,6.3,7.8,6.3,4.8,6.3,6.3,6.3,4.8,7.8,6.3,39,9.75,3,,,2,1,,,1,,,,,,
Roman Wilson,PIT,WR,3,No,No,No,3,No,No,0.6667,13,,,,,,,,,,,0.3333,,,,,,,,,,,1.192,1.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Chestnut,TEN,RB,1,No,Yes,No,1,No,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Wan'Dale Robinson,NYG,WR,17,No,No,No,17,No,Yes,0.1176,16,2,2,1,0.1176,2,1,16,,,,0.8824,1,,,100,0.9412,8,0.661,8,,,2.8932,2.8932,0.1176,1.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,16,8,,,,,,,,,,,,,,
Ryan Flournoy,DAL,WR,13,No,No,No,13,No,Yes,0.8462,15,3,3,1,0.2308,3,1,33,3,3,,0.1538,3,1,0.3333,112.5,2.5385,11,1.9507,11,1,1,4.4811,4.4811,0.2308,3.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,6.3,4.8,6.3,6.3,30,10,2,,,,,,,,,,1,0.3333,,
Deebo Samuel,WAS,WR,14,Yes,Yes,No,14,Yes,Yes,0.3571,16,7,7,1,0.5,6,0.8571,35,25,8,,0.5714,4,3,0.4286,47.9,2.5,5,-0.9342,5.8333,4.1667,1.3333,11.5844,11.5844,0.5,3.5,9.5,6.5,9.5,9.5,9.5,6.5,9.5,9.5,9.5,6.5,9.5,9.5,9,1.2857,1,,,1,,,,,,0.0714,1,0.1667,,
Devin Duvernay,CHI,WR,3,Yes,No,No,3,No,Yes,0.3333,17,1,1,1,0.3333,1,1,2,,,,0.6667,1,,,79.2,0.6667,2,-3.3344,2,,,3.4838,3.4838,0.3333,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,2,2,,,,1,1,,,1,,,,,,
Mike Gesicki,CIN,TE,6,Yes,No,No,6,No,Yes,0.3333,13,1,1,1,0.1667,1,1,15,-1,,,0.6667,1,,,118.8,2.5,15,4.809,15,-1,,2.0364,2.0364,0.1667,1.5,2.5,2,2.5,3,2.5,2,2.5,2.5,2.5,2,3,2.5,16,16,1,,,,,,,,,,,,,
Tyreek Hill,MIA,WR,2,No,Yes,No,2,No,Yes,0.5,4,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demarcus Robinson,SF,WR,3,No,No,No,3,No,Yes,0.6667,14,1,1,1,0.3333,1,1,1,1,1,,0.3333,,,,79.2,0.3333,1,-5.0386,1,1,1,1.5284,1.5284,0.3333,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,,,,,,,,,,,,,,,
Tory Horton,SEA,WR,4,Yes,No,No,4,No,Yes,1,8,1,1,1,0.25,1,1,21,,,,,1,,,158.3,5.25,21,9.7607,21,,,2.1,2.1,0.25,8.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,21,21,1,,,,,1,1,,,,,,1,1
Travis Kelce,KC,TE,13,No,No,No,12,No,Yes,0.0833,17,4,4,1,0.3333,3,0.75,45,23,10,0.3333,0.5833,1,,,71.9,3.75,11.25,4.3444,15,7.6667,3.3333,7.4406,7.4406,0.3077,4.5,7.5,6,7.5,9,7.5,6,7.5,7.5,7.5,6,9,7.5,26,6.5,3,1,0.25,1,1,,,1,,,,,,
Cole Kmet,CHI,TE,10,Yes,No,No,10,No,Yes,0.1,16,2,2,1,0.2,2,1,14,14,1,0.7,0.1,1,,,95.8,1.4,7,0.7984,7,7,0.5,3.3037,3.3037,0.2,1.4,3.4,2.4,3.4,4.4,3.4,2.4,3.4,3.4,3.4,2.4,4.4,3.4,,,1,,,,,,,,,0.1,,,,
Rhamondre Stevenson,NE,RB,11,Yes,No,Yes,9,No,Yes,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Kaleb Johnson,PIT,RB,1,No,No,No,1,No,Yes,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Brenton Strange,JAX,TE,8,No,Yes,No,8,No,Yes,0.125,12,3,3,1,0.375,2,0.6667,18,11,3,0.75,0.125,3,,,82.6,2.25,6,-0.3062,9,5.5,1.5,4.2268,4.2268,0.375,1.8,3.8,2.8,3.8,4.8,3.8,2.8,3.8,3.8,3.8,2.8,4.8,3.8,10,3.3333,2,1,0.3333,1,1,,,,,,,,,
Derius Davis,LAC,WR,1,No,No,No,1,No,Yes,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kylen Granson,PHI,TE,4,Yes,Yes,No,2,Yes,Yes,,17,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konata Mumpfield,LA,WR,5,No,No,No,3,No,Yes,1,17,1,1,1,0.3333,,,,,,,,,,,39.6,,,-10.8991,,,,1.9527,1.9527,0.2,,,,,,,,,,,,,,18,18,,1,1,,,,,,,,,,,
Kimani Vidal,LAC,RB,6,No,No,No,4,No,Yes,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
RJ Harvey,DEN,RB,9,No,No,No,7,No,Yes,,17,1,1,1,0.1429,,,,,,,,,,,39.6,,,-5.819,,,,2.8054,2.8054,0.1111,,,,,,,,,,,,,,-1,-1,,1,1,,,,,,,1,,,,
Mason Tipton,NO,WR,12,No,No,Yes,12,No,Yes,0.75,13,3,3,1,0.25,3,1,20,2,,,0.25,2,,,94.4,1.6667,6.6667,0.2291,6.6667,0.6667,,4.237,4.237,0.25,2,5,3.5,5,5,5,3.5,5,5,5,3.5,5,5,18,6,1,,,,,,,,,,,,,
Savion Williams,GB,WR,2,No,No,No,2,No,Yes,0.5,12,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalin Hyatt,NYG,WR,7,No,No,No,6,No,No,0.8333,8,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Njoku,CLV,TE,10,No,No,No,8,No,Yes,0.125,12,1,1,1,0.125,1,1,12,12,6,0.375,0.5,1,1,1,116.7,1.5,12,6.711,12,12,6,1.4231,1.4231,0.1,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,,,,,,,,,,,,,,,
Terrance Ferguson,LA,TE,8,No,No,No,5,Yes,Yes,0.2,13,,,,,,,,,,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Bowers,LV,TE,17,No,No,No,15,No,Yes,0.0667,12,3,3,1,0.2,3,1,12,9,4,0.6667,0.2,3,,,83.3,0.8,4,-1.5401,4,3,1.3333,4.2216,4.2216,0.1765,1.2,4.2,2.7,4.2,5.7,4.2,2.7,4.2,4.2,4.2,2.7,5.7,4.2,3,1,1,,,1,1,,,,,0.0667,,,,
Brandin Cooks,BUF,WR,16,Yes,No,No,16,No,Yes,0.5,15,1,1,1,0.0625,1,1,21,1,1,,0.5,,,,118.8,1.3125,21,10.1348,21,1,1,1.35,1.35,0.0625,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,20,20,1,,,,,,1,,,,,,,
A.J. Brown,PHI,WR,12,Yes,No,No,11,No,Yes,0.8182,15,2,2,1,0.1818,1,0.5,11,,,,0.1818,2,,,66.7,1,5.5,-3.1806,11,,,3.0359,3.0359,0.1667,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,23,11.5,1,,,1,,,,,,,,,,
Luke McCaffrey,WAS,WR,3,Yes,No,No,3,No,Yes,0.6667,9,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Wright,DET,TE,6,No,No,No,5,No,No,0.2,11,1,1,1,0.2,1,1,8,9,,0.8,,1,,,100,1.6,8,3.0986,8,9,,1.519,1.519,0.1667,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,-1,-1,,,,,,,,,,,,,,
Gunnar Helm,TEN,TE,6,No,No,No,6,No,Yes,,16,3,3,1,0.5,3,1,25,11,5,0.5,0.5,2,,,101.4,4.1667,8.3333,1.9245,8.3333,3.6667,1.6667,4.1596,4.1596,0.5,2.5,5.5,4,5.5,7,5.5,4,5.5,5.5,5.5,4,7,5.5,14,4.6667,1,,,,,,,,,,1,0.3333,,
Justin Jefferson,MIN,WR,16,No,Yes,No,15,No,Yes,0.6,17,4,4,1,0.2667,2,0.5,17,12,2,,0.4,4,1,0.25,61.5,1.1333,4.25,-2.8193,8.5,6,1,5.9767,5.9767,0.25,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,24,6,1,2,0.5,,,,,1,,,,,,
Rashid Shaheed,SEA,WR,20,No,No,No,20,No,Yes,0.6,18,7,7,1,0.35,6,0.8571,61,,30,,0.4,4,,,103,3.05,8.7143,0.921,10.1667,,5,11.4056,11.4056,0.35,6.1,12.1,9.1,12.1,12.1,12.1,9.1,12.1,12.1,12.1,9.1,12.1,12.1,63,9,3,,,1,,,,,,,,,,
Greg Dulcich,MIA,TE,2,Yes,No,Yes,2,No,Yes,,10,1,1,1,0.5,1,1,3,,1,1,,1,,,79.2,1.5,3,-3.3218,3,,1,1.4364,1.4364,0.5,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,3,3,,,,,,,,,,,,,,
Johnny Mundt,JAX,TE,4,No,Yes,No,3,No,Yes,,16,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durham Smythe,CHI,TE,4,Yes,No,No,2,No,Yes,,17,1,1,1,0.5,1,1,4,,,0.5,,,,,83.3,2,4,-2.0667,4,,,1.44,1.44,0.25,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,4,4,,,,,,,,,,0.5,,,,
Xavier Legette,CAR,WR,11,Yes,No,Yes,10,No,Yes,0.8,15,3,3,1,0.3,2,0.6667,8,-1,-2,,0.2,2,,,70.1,0.8,2.6667,-5.4482,4,-0.5,-1,6.2896,6.2896,0.2727,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,28,9.3333,1,1,0.3333,1,1,,,1,,,,,,
Alex Bachman,LV,WR,1,No,No,No,1,No,Yes,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Trammell,JAX,WR,2,No,No,Yes,1,No,Yes,,6,1,1,1,1,1,1,15,,,,1,1,,,118.8,15,15,4.5903,15,,,1.4825,1.4825,0.5,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,15,15,,,,1,1,,,,,,,,,
Tony Pollard,TEN,RB,14,No,Yes,No,10,No,Yes,0.1,17,2,2,1,0.2,2,1,8,11,4,,,1,1,0.5,83.3,0.8,4,-2.1329,4,5.5,2,2.9943,2.9943,0.1429,0.8,2.8,1.8,3.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,-3,-1.5,1,,,,,,,,,0.9,,,,
Ray Davis,BUF,RB,2,Yes,No,No,1,Yes,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
DeeJay Dallas,JAX,RB,1,No,Yes,No,1,No,Yes,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey,LAC,WR,14,No,Yes,No,13,No,Yes,0.4615,16,5,5,1,0.3846,4,0.8,54,8,3,,0.5385,3,,,151.3,4.1538,10.8,1.3105,13.5,2,0.75,9.8221,9.8221,0.3571,11.4,15.4,13.4,15.4,15.4,15.4,13.4,15.4,15.4,15.4,13.4,15.4,15.4,68,13.6,3,,,1,,1,,1,,,,,1,1
JuJu Smith-Schuster,KC,WR,7,No,No,No,7,No,Yes,0.8571,17,1,1,1,0.1429,1,1,5,-2,,,0.1429,1,,,87.5,0.7143,5,-2.0645,5,-2,,1.4205,1.4205,0.1429,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,7,7,,,,,,,,,,,,,,
Romeo Doubs,GB,WR,13,Yes,No,Yes,12,No,Yes,1,16,3,3,1,0.25,2,0.6667,18,,,,,3,,,82.6,1.5,6,-2.9809,9,,,5.1283,5.1283,0.2308,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,35,11.6667,2,1,0.3333,,,,,,,,,,,
Chig Okonkwo,TEN,TE,16,No,Yes,No,15,No,Yes,0.2,17,7,7,1,0.4667,7,1,67,18,3,0.5333,0.2667,2,1,0.1429,106.5,4.4667,9.5714,1.9376,9.5714,2.5714,0.4286,11.8221,11.8221,0.4375,6.7,13.7,10.2,13.7,17.2,13.7,10.2,13.7,13.7,13.7,10.2,17.2,13.7,49,7,4,,,1,1,,,,,,1,0.1429,,
Tyler Johnson,NYJ,WR,3,Yes,Yes,No,3,Yes,Yes,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Cook,BUF,RB,3,Yes,No,No,1,Yes,Yes,,17,1,1,1,1,,,,,,,,1,,,39.6,,,-5.8271,,,,1.4028,1.4028,0.3333,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,
Treylon Burks,WAS,WR,4,Yes,Yes,No,4,Yes,Yes,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Likely,BLT,TE,8,No,No,No,7,No,No,0.1429,14,,,,,,,,,,0.1429,0.7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Holiday,KC,WR,1,No,No,No,1,No,Yes,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton Schultz,HST,TE,9,Yes,No,No,9,No,Yes,0.3333,17,3,3,1,0.3333,3,1,35,20,6,0.5556,0.1111,1,,,115.3,3.8889,11.6667,5.1616,11.6667,6.6667,2,4.239,4.239,0.3333,3.5,6.5,5,6.5,8,6.5,5,6.5,6.5,6.5,5,8,6.5,15,5,2,,,,,,,,,,1,0.3333,,
Anthony Gould,IND,WR,2,No,No,Yes,2,No,Yes,,11,1,1,1,0.5,1,1,3,,,,1,1,,,79.2,1.5,3,-2.4499,3,,,1.3216,1.3216,0.5,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,3,3,,,,,,,,,,,,,,
George Kittle,SF,TE,3,No,No,No,3,No,Yes,,11,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keenan Allen,LAC,WR,15,No,No,No,14,No,Yes,0.5714,17,5,5,1,0.3571,4,0.8,21,1,,,0.4286,3,,,123.8,1.5,4.2,-3.4701,5.25,0.25,,9.3441,9.3441,0.3333,8.1,12.1,10.1,12.1,12.1,12.1,10.1,12.1,12.1,12.1,10.1,12.1,12.1,44,8.8,3,1,0.2,1,1,1,1,1,,,,,1,1
CeeDee Lamb,DAL,WR,10,No,No,No,10,No,Yes,0.4,14,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Fant,CIN,TE,9,Yes,No,No,8,No,Yes,,15,2,2,1,0.25,2,1,14,5,2,0.75,0.25,1,,,95.8,1.75,7,0.7257,7,2.5,1,2.771,2.771,0.2222,0.4,2.4,1.4,2.4,3.4,2.4,0.4,1.4,1.4,1.4,0.4,3.4,1.4,9,4.5,,,,1,1,,,,,,,,,
Kene Nwangwu,NYJ,RB,3,Yes,No,No,3,Yes,Yes,,10,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,
Rome Odunze,CHI,WR,11,No,No,No,11,No,Yes,0.6364,12,2,2,1,0.1818,1,0.5,17,,,,0.3636,,,,79.2,1.5455,8.5,-3.2987,17,,,4.2266,4.2266,0.1818,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,36,18,1,,,,,,,,,,,,,
Jacory Croskey-Merritt,WAS,RB,9,Yes,Yes,No,4,Yes,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Isaiah Davis,NYJ,RB,6,Yes,Yes,No,3,Yes,Yes,,16,1,1,1,0.3333,1,1,12,12,2,,0.6667,,,,116.7,4,12,6.1729,12,12,2,1.5191,1.5191,0.1667,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,,1,,,,,,,,,0.3333,,,,
Colby Parkinson,LA,TE,10,No,No,No,4,No,Yes,0.25,15,1,1,1,0.25,,,,,,0.5,0.25,1,1,1,39.6,,,-4.8511,,,,2.2636,2.2636,0.1,,,,,,,,,,,,,,-2,-2,,1,1,1,,,,1,,,,,,
Isaiah Bond,CLV,WR,6,Yes,No,No,6,No,Yes,0.5,16,1,1,1,0.1667,,,,,,,0.5,,,,39.6,,,-4.9408,,,,1.454,1.454,0.1667,,,,,,,,,,,,,,-3,-3,,1,1,,,,,,,,,,,
Josh Oliver,MIN,TE,4,No,Yes,No,2,No,Yes,,15,1,1,1,0.5,1,1,7,4,1,1,,,,,95.8,3.5,7,0.6782,7,4,1,1.4333,1.4333,0.25,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,3,3,1,,,,,,,,,,,,,
Nick Chubb,HST,RB,2,No,Yes,No,2,No,Yes,,15,1,1,1,0.5,,,,,,,,,,,39.6,,,-6.5094,,,,1.4364,1.4364,0.5,,,,,,,,,,,,,,3,3,,1,1,,,,,,,1,,,,
Michael Carter,ARZ,RB,9,No,No,No,8,No,Yes,0.125,13,1,1,1,0.125,1,1,2,,,,,,,,79.2,0.25,2,-4.3947,2,,,1.4443,1.4443,0.1111,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,2,2,,,,,,,,,,0.875,,,,
Tyjae Spears,TEN,RB,7,No,Yes,No,3,No,Yes,,13,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,
DJ Moore,CHI,WR,11,Yes,No,No,10,No,Yes,0.5,17,2,2,1,0.2,2,1,32,5,3,,0.5,1,,,118.8,3.2,16,6.2721,16,2.5,1.5,3.8131,3.8131,0.1818,3.2,5.2,4.2,5.2,5.2,5.2,4.2,5.2,5.2,5.2,4.2,5.2,5.2,27,13.5,1,,,,,,,,,,,,,
Keaton Mitchell,BLT,RB,4,No,No,No,3,No,No,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Bucky Irving,TB,RB,7,Yes,No,Yes,6,No,Yes,0.1667,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8333,,,,
Zamir White,LV,RB,2,No,No,No,1,No,Yes,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Ameer Abdullah,IND,RB,1,Yes,No,No,1,No,Yes,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
David Sills,ATL,WR,7,No,No,No,7,No,No,0.5714,17,2,2,1,0.2857,2,1,13,11,9,,0.4286,1,1,0.5,133.3,1.8571,6.5,0.6901,6.5,5.5,4.5,3.859,3.859,0.2857,7.3,9.3,8.3,9.3,9.3,9.3,8.3,9.3,9.3,9.3,8.3,9.3,9.3,2,1,1,,,1,1,,,1,,,2,1,1,
Trayveon Williams,CLV,RB,2,Yes,No,No,2,No,Yes,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Devin Singletary,NYG,RB,8,No,No,No,7,No,Yes,0.1429,17,2,2,1,0.2857,2,1,33,16,6,,,1,,,118.8,4.7143,16.5,7.8627,16.5,8,3,3.0308,3.0308,0.25,3.3,5.3,4.3,6.3,5.3,5.3,4.3,5.3,5.3,5.3,4.3,5.3,5.3,17,8.5,1,,,1,1,,1,,1,0.8571,,,,
Gage Larvadain,CLV,WR,1,Yes,No,No,1,No,Yes,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,6,No,No,No,6,No,Yes,0.8333,7,3,3,1,0.5,3,1,29,,,,0.1667,,,,106.9,4.8333,9.6667,1.6632,9.6667,,,4.2189,4.2189,0.5,2.9,5.9,4.4,5.9,5.9,5.9,4.4,5.9,5.9,5.9,4.4,5.9,5.9,29,9.6667,2,,,1,1,,,,,,,,,
Tyler Allgeier,ATL,RB,6,No,No,No,5,No,No,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
KeAndre Lambert-Smith,LAC,WR,1,No,No,No,1,No,Yes,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foster Moreau,NO,TE,5,No,No,Yes,5,No,Yes,,11,1,1,1,0.2,,,,,,0.6,0.4,,,,39.6,,,-4.9014,,,,1.5442,1.5442,0.2,,,,,,,,,,,,,,-1,-1,,1,1,,,,,,,,,,,
