Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,TouchdownsTotal,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAfterContactTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerReceptionYardsAfterContact,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,TouchdownsInEndzone,ReceptionsHero
Michael Carter,ARZ,RB,25,No,No,No,17,Yes,Yes,,,,13,1,6,,6,1,0.3529,5,,0.8333,49,41,11,,1,1,1.8333,,100.7,2.8824,8.1667,1.9392,0.1667,9.8,8.2,2,8.2266,8.2266,0.24,4.9,9.9,7.4,12.4,9.9,9.9,7.4,9.9,9.9,9.9,7.4,9.9,9.9,11,,,,,2.2,,1,,
Bucky Irving,TB,RB,11,No,No,No,8,No,Yes,,,0.25,10,0.75,1,,1,1,0.125,,,,,,3,,1,,3,,39.6,,,-6.5094,1,,,,2.8256,2.8256,0.0909,,,,,,,,,,,,,,,,,,,,,,,
Keaton Mitchell,BLT,RB,5,No,Yes,Yes,5,Yes,Yes,0.2,,,13,0.8,1,,1,1,0.2,,,,,,-1,,1,1,-1,,,,,-5.819,1,,,,1.4826,1.4826,0.2,,,,,,,,,,,,,,,,,1,1,,,,,
DJ Moore,CHI,WR,21,No,Yes,No,21,Yes,Yes,,0.381,0.619,17,,4,2,4,1,0.1905,3,1,0.75,53,2,70,1,1,2,17.5,1,156.3,2.5238,13.25,3.8169,0.25,17.6667,0.6667,3,6.7004,6.7004,0.1905,11.3,14.3,12.8,14.3,14.3,14.3,12.8,14.3,14.3,14.3,12.8,14.3,14.3,,,,,,,1,,1,
David Sills,ATL,WR,14,No,No,No,12,Yes,Yes,,0.6667,0.3333,17,,4,1,4,1,0.3333,4,1,1,60,7,53,,,2,13.25,,118.8,5,15,5.2966,,15,1.75,3,7.019,7.019,0.2857,6,10,8,10,10,10,8,10,10,10,8,10,10,,,,,,,,,,
Zamir White,LV,RB,1,No,No,No,1,No,Yes,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameer Abdullah,IND,RB,1,No,No,Yes,1,No,Yes,,1,,13,,1,,1,1,1,1,,1,3,6,-3,,,,-3,,79.2,3,3,-3.1191,,3,6,,1.488,1.488,1,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1,,,,,1,,,,
Isaiah Hodgins,NYG,WR,12,No,No,No,9,No,Yes,0.1111,0.3333,0.5556,7,,1,,1,1,0.1111,1,,1,12,,21,1,,1,21,1,156.3,1.3333,12,0.7607,,12,,1,1.4138,1.4138,0.0833,7.2,8.2,7.7,8.2,8.2,8.2,7.7,8.2,8.2,8.2,7.7,8.2,8.2,,,,,,,1,1,1,1
Devin Singletary,NYG,RB,5,No,No,No,3,No,Yes,,0.3333,0.3333,17,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,1.2489,1.2489,,,,,,,,,,,,,,,,,,,,,,,,
Gage Larvadain,CLV,WR,7,Yes,No,No,7,No,Yes,,0.4286,0.5714,13,,1,,1,1,0.1429,1,,1,10,2,8,,,1,8,,108.3,1.4286,10,2.4894,,10,2,1,1.4595,1.4595,0.1429,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,,,,,,,,,,
Trayveon Williams,CLV,RB,4,Yes,No,No,4,No,Yes,,,,6,1,1,,1,1,0.25,1,,1,18,22,-4,,,1,-4,,118.8,4.5,18,12.4301,,18,22,1,1.6256,1.6256,0.25,1.8,2.8,2.3,3.3,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,4,,,1,1,4,,,,
Foster Moreau,NO,TE,4,No,No,No,3,No,Yes,0.3333,0.6667,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Allgeier,ATL,RB,10,No,No,No,4,Yes,Yes,,0.25,,17,0.75,1,,1,1,0.25,,,,,,-4,,1,,-4,,39.6,,,-5.5699,1,,,,1.4987,1.4987,0.1,,,,,,,,,,,,,,,,,,,,,,,
KeAndre Lambert-Smith,LAC,WR,2,No,No,No,2,No,No,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Herbert,NYJ,RB,1,No,No,No,1,No,Yes,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinshon Judkins,CLV,RB,10,No,No,No,9,Yes,Yes,,,,14,1,2,,2,1,0.2222,2,,1,25,19,6,,,,3,,118.8,2.7778,12.5,5.9906,,12.5,9.5,2,3.9904,3.9904,0.2,2.5,4.5,3.5,5.5,4.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,14,,,,,7,,1,,
Devaughn Vele,NO,WR,9,No,No,No,9,No,Yes,,,1,13,,3,2,3,1,0.3333,3,2,1,43,,43,,,2,14.3333,,118.8,4.7778,14.3333,4.5019,,14.3333,,2,4.756,4.756,0.3333,4.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,-1,,,,,-0.3333,,,,1
Josh Downs,IND,WR,22,No,No,Yes,22,No,Yes,,0.7727,0.1818,16,0.0455,6,1,6,1,0.2727,4,,0.6667,56,3,64,1,2,6,10.6667,1,136.1,2.5455,9.3333,1.3663,0.3333,14,0.75,3,10.0296,10.0296,0.2727,11.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,2,,,,,0.5,1,3,1,
Tetairoa McMillan,CAR,WR,32,No,No,No,32,No,Yes,,0.1562,0.8438,17,,10,3,10,1,0.3125,7,2,0.7,109,47,91,,1,9,9.1,1,105.8,3.4062,10.9,2.2136,0.1,15.5714,6.7143,7,18.501,18.501,0.3125,9.9,16.9,13.4,16.9,16.9,19.9,15.4,15.9,15.9,15.9,12.4,16.9,15.9,10,1,0.1429,,,1.4286,1,2,,
Jack Bech,LV,WR,5,No,No,No,5,No,Yes,,0.4,0.6,16,,2,1,2,1,0.4,1,,0.5,17,,36,,,1,18,,79.2,3.4,8.5,-3.2987,,17,,1,3.07,3.07,0.4,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,,,,,,,,,
Andrew Ogletree,IND,TE,7,Yes,No,No,4,No,Yes,0.75,,0.25,15,,1,,1,1,0.25,1,,1,4,1,3,,,1,3,,83.3,1,4,-2.3218,,4,1,,1.3777,1.3777,0.1429,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,,,,,,,,,
Jaylen Warren,PIT,RB,10,No,Yes,Yes,7,Yes,Yes,0.1429,0.1429,,16,0.7143,1,,1,1,0.1429,1,,1,7,9,-2,,,1,-2,,95.8,1,7,0.802,,7,9,,1.3205,1.3205,0.1,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,4,1,1,,,4,,,,
Mack Hollins,NE,WR,21,No,Yes,Yes,21,No,Yes,,0.3333,0.6667,15,,7,1,7,1,0.3333,5,,0.7143,66,-1,126,,1,5,18,1,61.3,3.1429,9.4286,-0.4252,0.1429,13.2,-0.2,4,13.9798,13.9798,0.3333,6.6,11.6,9.1,11.6,11.6,11.6,9.1,11.6,11.6,11.6,9.1,11.6,11.6,-1,,,,,-0.2,,,,
