Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,AlignmentBackfieldRoutesPercentage,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsInEndzone,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,TargetsContestedTotal
Bucky Irving,TB,RB,2,No,No,No,2,1,No,No,0.5,1,39.6,-5.8271,1.4453,1.4453,0.5,10,,,,,,,,,,,,
DJ Moore,CHI,WR,9,No,Yes,No,9,1,No,No,0.1111,,39.6,-10.4097,4.0645,4.0645,0.1111,17,1,15,0.2222,0.7778,1,15,1,,,,,
Tyjae Spears,TEN,RB,2,No,Yes,No,2,1,No,No,0.5,1,39.6,-6.3947,1.4958,1.4958,0.5,13,,2,,,,2,,,,,,
Josh Oliver,MIN,TE,2,No,No,No,2,,No,No,,,,,,,,15,,,0.5,,,,,0.5,,,,
Nick Chubb,HST,RB,5,No,No,No,4,2,No,No,0.5,1,39.6,-6.3537,2.8977,2.8977,0.4,15,,1,,,,0.5,,,,,,
Michael Carter,ARZ,RB,6,No,No,No,6,1,No,No,0.1667,1,39.6,-6.3947,1.3058,1.3058,0.1667,13,,2,,,,2,,,,,,
Isaiah Bond,CLV,WR,5,No,Yes,No,5,3,No,No,0.6,,39.6,-7.3868,4.5469,4.5469,0.6,16,,23,0.4,0.6,3,7.6667,,,,,,
Isaiah Davis,NYJ,RB,2,No,No,No,2,,No,No,,1,,,,,,16,,,,,,,,,,,,
Colby Parkinson,LA,TE,5,No,No,No,3,,No,No,,,,,,,,15,,,0.3333,,,,,0.6667,,,,
Jacory Croskey-Merritt,WAS,RB,3,No,No,Yes,3,2,No,No,0.6667,1,39.6,-6.1329,2.7518,2.7518,0.6667,17,,-3,,,1,-1.5,,,1,0.5,,
Rome Odunze,CHI,WR,7,No,No,Yes,6,2,No,No,0.3333,,39.6,-6.7137,3.171,3.171,0.2857,12,,12,0.5,0.5,1,6,,,,,,
Brenden Bates,CLV,TE,1,No,Yes,No,1,,No,No,,,,,,,,9,,,,,,,,1,,,,
Quinshon Judkins,CLV,RB,2,No,No,No,1,,No,No,,1,,,,,,14,,,,,,,,,,,,
Devaughn Vele,NO,WR,3,No,No,No,3,1,No,No,0.3333,,39.6,-6.9491,1.3721,1.3721,0.3333,13,,6,0.6667,0.3333,1,6,,,,,,
Josh Downs,IND,WR,5,No,No,No,5,1,No,No,0.2,,39.6,-6.3628,1.9316,1.9316,0.2,16,,5,0.8,0.2,1,5,1,,,,,
Tetairoa McMillan,CAR,WR,8,No,No,No,8,5,No,No,0.625,,39.6,-7.9137,8.7438,8.7438,0.625,17,,58,0.125,0.875,4,11.6,,,,,1,
Foster Moreau,NO,TE,1,No,No,No,1,,No,No,,,,,,,,11,,,,,,,,1,,,,
Isaiah Hodgins,NYG,WR,4,No,Yes,No,4,1,No,No,0.25,,39.6,-6.3628,1.4109,1.4109,0.25,7,,5,0.5,0.5,1,5,,,,,,
Gage Larvadain,CLV,WR,4,No,Yes,No,4,,No,No,,,,,,,,13,,,,1,,,,,,,,
David Sills,ATL,WR,4,No,No,No,4,2,No,No,0.5,,39.6,-8.1802,3.1521,3.1521,0.5,17,,22,0.5,0.5,1,11,,,,,1,
Zamir White,LV,RB,1,No,Yes,No,1,1,No,No,1,1,39.6,-5.7294,1.1731,1.1731,1,5,,1,,,,1,,,,,,
Ameer Abdullah,IND,RB,1,No,No,No,1,,No,No,,1,,,,,,13,,,,,,,,,,,,
Jauan Jennings,SF,WR,4,No,No,No,4,2,No,No,0.5,,39.6,-9.6621,4.2445,4.2445,0.5,15,,28,0.75,0.25,2,14,,,,,,
Ja'Tavion Sanders,CAR,TE,4,No,No,No,4,,No,No,,,,,1.7115,1.7115,,13,,,0.75,,,,,0.25,,,,
Jahdae Walker,CHI,WR,1,No,Yes,No,1,,No,No,,,,,,,,7,,,,1,,,,,,,,
Mack Hollins,NE,WR,7,No,Yes,No,7,2,No,No,0.2857,,39.6,-9.4297,3.5391,3.5391,0.2857,15,,26,,1,2,13,,,,,,
Juwan Johnson,NO,TE,6,No,No,No,6,,No,No,,,,,,,,17,,,0.5,0.1667,,,,0.3333,,,,
David Montgomery,DET,RB,3,No,Yes,No,2,1,No,No,0.5,1,39.6,-8.5126,1.8472,1.8472,0.5,17,,8,,,1,8,1,,,,,
Hassan Haskins,LAC,RB,1,No,Yes,Yes,1,,No,No,,1,,,,,,11,,,,,,,,,,,,
Jack Bech,LV,WR,4,No,Yes,No,4,,No,No,,,,,,,,16,,,0.25,0.75,,,,,,,,
Andrew Ogletree,IND,TE,1,No,Yes,Yes,1,,No,No,,,,,,,,15,,,,,,,,1,,,,
Jaylen Warren,PIT,RB,4,No,No,No,3,1,No,No,0.3333,0.3333,39.6,-6.3947,1.4126,1.4126,0.25,16,,2,0.3333,0.3333,,2,,,,,,
Kendrick Bourne,SF,WR,5,No,No,No,5,,No,No,,,,,,,,16,,,0.4,0.6,,,,,,,,
Tyler Badie,DEN,RB,3,No,Yes,Yes,3,3,No,No,1,1,39.6,-6.282,3.913,3.913,1,16,,6,,,1,2,,,,,,
Jalen Brooks,ARZ,WR,3,No,No,No,3,1,No,No,0.3333,,39.6,-11.2393,1.3651,1.3651,0.3333,6,,21,0.3333,0.6667,,21,,,,,1,
Kenneth Gainwell,PIT,RB,5,No,No,No,5,,No,No,,0.4,,,1.6487,1.6487,,17,,,,0.4,,,,0.2,,,,
Marquise Brown,KC,WR,8,No,Yes,No,8,2,No,No,0.25,,39.6,-7.9318,2.7314,2.7314,0.25,16,,19,0.375,0.625,1,9.5,,,,,,
John Metchie,NYJ,WR,10,No,No,No,9,,No,No,,,,,,,,16,,,0.2222,0.7778,,,,,,,,
Jalen Nailor,MIN,WR,11,No,No,No,10,6,No,No,0.6,,39.6,-9.9539,10.0601,10.0601,0.5455,17,,93,0.8,0.2,4,15.5,1,,,,2,
KaVontae Turpin,DAL,WR,1,No,Yes,No,1,,No,No,,,,,2.0795,2.0795,,15,,,1,,,,,,,,,
Jake Ferguson,DAL,TE,1,No,Yes,No,1,,No,No,,,,,,,,17,,,1,,,,,,,,,
Davante Adams,LA,WR,4,No,No,No,3,1,No,No,0.3333,,39.6,-10.0952,1.9169,1.9169,0.25,14,,16,0.3333,0.6667,,16,,,,,,
Dare Ogunbowale,HST,RB,2,No,No,No,2,,No,No,,1,,,,,,17,,,,,,,,,,,,
Jerry Jeudy,CLV,WR,11,No,Yes,No,10,3,No,No,0.3,,39.6,-8.2279,4.6362,4.6362,0.2727,17,,33,0.1,0.9,3,11,,,,,,
Nico Collins,HST,WR,11,No,No,No,11,2,No,No,0.1818,,39.6,-10.2524,5.7021,5.7021,0.1818,15,1,31,0.1818,0.8182,2,15.5,1,,,,,
Elijah Arroyo,SEA,TE,1,No,No,No,1,,No,No,,,,,,,,13,,,,1,,,,,,,,
Darius Slayton,NYG,WR,6,No,Yes,No,6,1,No,No,0.1667,,39.6,-10.8991,3.69,3.69,0.1667,14,1,18,,1,1,18,1,,,,,
Bam Knight,ARZ,RB,2,No,No,No,2,1,Yes,No,0.5,1,39.6,-6.5094,4.9714,4.9714,0.5,12,1,3,,,,3,1,,,,,
Jaret Patterson,LAC,RB,1,No,Yes,Yes,1,,No,No,,1,,,,,,6,,,,,,,,,,,,
Samaje Perine,CIN,RB,6,No,Yes,No,4,1,No,No,0.25,1,39.6,-5.8271,1.3488,1.3488,0.1667,15,,,,,,,,,,,,
Travis Etienne,JAX,RB,3,No,Yes,No,1,1,No,No,1,1,39.6,-5.8271,1.2956,1.2956,0.3333,17,,,,,1,,,,1,1,,
Josh Whyle,GB,TE,1,No,No,No,1,,No,No,,,,,,,,8,,,1,,,,,,,,,
Jordan Whittington,LA,WR,3,No,No,No,2,,No,No,,,,,,,,17,,,,1,,,,,,,,
Emari Demercado,ARZ,RB,3,No,No,No,3,2,No,No,0.6667,1,39.6,-6.8945,3.118,3.118,0.6667,13,,11,,,,5.5,,,,,,
Rasheen Ali,BLT,RB,1,No,No,No,1,,No,No,,1,,,,,,15,,,,,,,,,,,,
