Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,YardsAfterCatchPercentage,TowThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,AttemptsInEndzoneTotal,TouchdownsTotal,InterceptionsTotal,RunPassOptionPercentage,HeroThrowPercentage
Brock Purdy,SF,QB,146,146,146,0.8562,109,0.7466,0.8082,0.0972,146,1310,8.9726,7.8425,1309,No,No,42,0.2877,57.4493,-0.1058,No,0.1438,18,0.1233,0.7603,2.8562,2.5595,8.9658,103.4,Yes,Yes,82,91.4,91.4,91.4,91.4,91.4,94.4,94.4,82.4,82.4,82.4,82.4,104.5,95.5,9,50,0.0616,0.3198,0.0479,0.6438,12,12,9,0.0068,0.0274
Justin Herbert,LAC,QB,245,245,245,0.8367,167,0.6816,0.7727,0.037,245,1813,7.4,7.8898,1904,No,Yes,78,0.3184,83.4223,-0.0221,No,0.151,13,0.0531,0.7347,2.549,2.3474,7.8367,103.3,No,Yes,102,128.52,128.52,128.52,128.52,128.52,131.52,131.52,124.52,124.52,124.52,124.52,146.65,142.65,16,155,0.0816,0.385,0.0245,0.6204,28,15,4,0.0122,0.0286
Drake Maye,NE,QB,204,204,204,0.8284,157,0.7696,0.8128,0.0792,204,1909,9.3578,9.9706,1612,Yes,Yes,57,0.2794,75.0867,-0.0887,Yes,0.1471,10,0.049,0.7843,2.7088,2.5,7.9461,120.3,No,Yes,104,125.56,126.56,126.06,126.56,126.56,129.56,129.06,123.56,123.56,123.56,123.06,145.65,142.65,17,69,0.0392,0.4254,0.0392,0.6029,13,13,3,,0.0245
Geno Smith,LV,QB,179,179,179,0.7989,129,0.7207,0.7654,0.0042,179,1331,7.4358,6.2067,1239,No,No,43,0.2402,62.0072,-0.1062,No,0.2011,8,0.0447,0.8101,2.5832,2.4395,6.9218,87.5,No,No,69,73.24,73.24,73.24,73.24,73.24,76.24,76.24,65.24,65.24,65.24,65.24,86.55,78.55,15,56,0.0447,0.4869,0.0615,0.6313,8,7,8,0.0056,
Matthew Stafford,LA,QB,296,296,296,0.8108,201,0.6791,0.7568,0.0414,296,2467,8.3345,9.5507,2619,Yes,No,69,0.2331,101.4436,-0.1096,No,0.1622,21,0.0709,0.7736,2.5618,2.5058,8.848,118.2,No,Yes,140,202.68,202.68,202.68,202.68,202.68,205.68,205.68,198.68,198.68,198.68,198.68,227.35,223.35,17,193,0.0777,0.3778,0.027,0.5811,27,27,4,0.0236,0.0405
Patrick Mahomes,KC,QB,199,199,199,0.8241,140,0.7035,0.7638,0.0102,199,1657,8.3266,8.402,1423,No,Yes,71,0.3568,67.6822,0.0167,No,0.1658,10,0.0503,0.7186,2.5467,2.6028,7.1508,105,Yes,Yes,88,109.28,109.28,109.28,109.28,109.28,112.28,112.28,104.28,104.28,104.28,104.28,125.85,120.85,14,91,0.0603,0.4731,0.0251,0.608,11,12,5,0.0854,0.0201
J.J. McCarthy,MIN,QB,111,111,111,0.7658,68,0.6126,0.7364,0.0309,111,772,6.955,5.8288,1045,Yes,Yes,29,0.2613,45.8965,-0.1522,No,0.2162,6,0.0541,0.8108,2.9721,2.5724,9.5586,78.4,Yes,Yes,42,45.88,45.88,45.88,45.88,45.88,48.88,48.88,40.88,40.88,40.88,40.88,53.6,48.6,10,103,0.1171,0.2824,0.045,0.5045,7,5,5,,0.0541
Tyson Bagent,CHI,QB,3,3,3,0.6667,2,0.6667,0.6667,0.0029,3,27,9,9,35,No,No,,,1.2031,-0.401,No,0.3333,1,0.3333,1,2.9,,11.6667,95.1,No,No,1,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.35,1.35,3,,,0.5185,,0.6667,,,,,
Marcus Mariota,WAS,QB,91,91,91,0.7912,60,0.6593,0.7253,0.0429,91,717,7.8791,7.7692,924,No,Yes,23,0.2527,33.2871,-0.113,Yes,0.1868,7,0.0769,0.7033,2.6956,2.5739,10.1538,95.4,Yes,Yes,41,42.68,42.68,42.68,42.68,42.68,45.68,45.68,40.68,40.68,40.68,40.68,49.85,47.85,11,54,0.0659,0.2538,0.033,0.5934,8,4,2,0.033,0.022
Aidan O'Connell,LV,QB,7,7,7,0.5714,3,0.4286,0.4286,-0.3664,7,19,2.7143,2.7143,35,No,No,2,0.2857,2.2726,-0.0389,No,0.4286,,,0.7143,2.4571,2.3,5,50.3,No,No,1,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.95,0.95,1,,,0.5789,,0.4286,,,,,
Kedon Slovis,ARZ,QB,2,2,2,1,1,0.5,1,0.1226,2,-2,-1,-1,3,No,Yes,1,0.5,0.4743,0.2628,No,,,,1,1.95,2.5,1.5,56.3,Yes,Yes,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.1,-0.1,2,5,0.5,,,,,,,,
Tyler Huntley,BLT,QB,28,28,28,0.9643,25,0.8929,0.9643,0.1643,28,180,6.4286,7.8571,138,No,Yes,4,0.1429,7.9691,-0.1418,Yes,0.0357,,,0.9286,2.225,2.35,4.9286,117.3,No,Yes,9,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,17,17,5,3,0.0714,0.2889,,0.5,,2,,,
Mason Rudolph,PIT,QB,19,19,19,0.8421,16,0.8421,0.8421,0.0818,19,139,7.3158,7.0526,130,Yes,No,2,0.1053,6.4987,-0.2368,No,0.1053,,,0.8421,2.5579,3.05,6.8421,110.3,No,No,10,12.56,12.56,12.56,12.56,12.56,12.56,12.56,11.56,11.56,11.56,11.56,13.95,12.95,5,,,0.4245,0.1053,0.6842,1,2,1,,0.0526
Baker Mayfield,TB,QB,229,229,229,0.7773,141,0.6157,0.6943,-0.0206,229,1494,6.524,6.4148,2029,Yes,No,66,0.2882,82.4392,-0.0718,Yes,0.2052,10,0.0437,0.7118,2.662,2.4909,8.8603,86,No,Yes,83,94.76,94.76,94.76,94.76,94.76,97.76,97.76,89.76,89.76,89.76,89.76,109.7,104.7,17,145,0.0786,0.3112,0.0437,0.5371,16,10,5,0.0087,0.0262
Dak Prescott,DAL,QB,277,277,277,0.8592,195,0.704,0.7834,0.0354,277,2137,7.7148,7.4982,2012,No,Yes,87,0.3141,96.6181,-0.0347,No,0.1227,12,0.0433,0.7473,2.5971,2.4425,7.2635,98.9,No,No,122,137.48,137.48,137.48,137.48,137.48,140.48,140.48,129.48,129.48,129.48,129.48,158.85,150.85,17,187,0.0794,0.4216,0.0469,0.6498,20,15,8,0.0108,0.0289
Joe Milton,DAL,QB,9,9,9,0.7778,7,0.7778,0.7778,0.0899,9,103,11.4444,11.4444,97,No,No,2,0.2222,3.23,-0.1367,No,0.2222,1,0.1111,0.8889,2.6556,2.15,10.7778,114.4,No,No,6,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,5.15,5.15,4,,,0.4369,,0.6667,,,,,
Aaron Rodgers,PIT,QB,185,185,185,0.8216,126,0.6811,0.7568,-0.0114,185,1337,7.227,7.8216,1183,No,No,32,0.173,60.101,-0.1519,No,0.173,8,0.0432,0.8108,2.4584,2.65,6.3946,102.5,No,Yes,62,91.48,91.48,91.48,91.48,91.48,94.48,94.48,89.48,89.48,89.48,89.48,104.85,102.85,16,95,0.0757,0.5385,0.0216,0.627,9,10,2,0.0432,0.0162
Carson Wentz,MIN,QB,68,68,68,0.8088,49,0.7206,0.791,0.0527,68,500,7.3529,6.9118,519,No,Yes,15,0.2206,21.4236,-0.0945,No,0.1912,6,0.0882,0.8235,2.4015,2.3533,7.7059,95.2,No,No,31,30,30,30,30,30,33,33,28,28,28,28,35,33,5,24,0.0588,0.344,0.0441,0.5441,5,3,2,0.0588,
Spencer Rattler,NO,QB,105,105,105,0.8381,76,0.7238,0.7905,0.0541,105,655,6.2381,5.7143,846,No,No,29,0.2762,32.3813,-0.0322,No,0.1524,9,0.0857,0.8571,2.3629,2.3276,8.0571,89.2,No,No,41,39.2,39.2,39.2,39.2,39.2,42.2,42.2,36.2,36.2,36.2,36.2,45.75,42.75,9,55,0.0667,0.255,0.0571,0.6476,7,4,3,0.0381,0.019
Quinn Ewers,MIA,QB,44,44,44,0.75,28,0.6364,0.6591,-0.0571,44,292,6.6364,5.0455,398,No,No,12,0.2727,15.6624,-0.0832,No,0.25,2,0.0455,0.8182,2.6386,2.6417,9.0455,71.4,No,Yes,16,13.68,13.68,13.68,13.68,13.68,13.68,13.68,11.68,11.68,11.68,11.68,16.6,14.6,4,15,0.0227,0.4144,0.0455,0.5227,4,1,2,0.0227,0.0227
Brady Cook,NYJ,QB,68,68,68,0.7353,37,0.5441,0.6618,-0.1021,68,345,5.0735,2.7206,451,Yes,No,8,0.1176,22.9416,-0.2197,No,0.2647,2,0.0294,0.8235,2.5309,2.6625,6.6324,49,No,Yes,18,13.8,13.8,13.8,13.8,13.8,16.8,16.8,9.8,9.8,9.8,9.8,17.25,13.25,5,21,0.1176,0.4261,0.0735,0.4706,3,1,4,,
Jaxson Dart,NYG,QB,126,125,125,0.808,84,0.672,0.744,-0.002,125,1028,8.224,7.424,950,Yes,No,40,0.32,45.905,-0.0472,Yes,0.184,6,0.048,0.744,2.704,2.6175,7.6,89.7,No,Yes,53,53.12,53.12,53.12,53.12,53.12,56.12,56.12,49.12,49.12,49.12,49.12,63.4,59.4,14,49,0.072,0.4465,0.048,0.576,5,4,4,0.04,0.04
Mitchell Trubisky,BUF,QB,21,21,21,0.8095,16,0.7619,0.8095,0.0954,21,211,10.0476,12.9048,180,Yes,No,1,0.0476,7.6458,-0.3165,No,0.1905,,,0.8095,2.6857,2.7,8.5714,147,No,Yes,13,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44,22.55,22.55,4,14,0.0476,0.4123,0.0476,0.5714,2,3,,0.0476,0.0476
Bryce Young,CAR,QB,189,189,189,0.836,137,0.7249,0.7831,0.0412,189,1505,7.963,7.2487,1426,No,No,58,0.3069,64.9999,-0.037,No,0.1376,10,0.0529,0.7354,2.5688,2.4345,7.545,96.1,No,Yes,83,89.2,89.2,89.2,89.2,89.2,92.2,92.2,82.2,82.2,82.2,82.2,104.25,97.25,16,87,0.0582,0.4093,0.0423,0.5873,8,9,7,0.0106,0.0265
Jordan Love,GB,QB,194,194,194,0.8505,144,0.7423,0.7979,0.0723,194,1737,8.9536,9.4948,1674,No,No,56,0.2887,67.954,-0.0616,No,0.1443,17,0.0876,0.7423,2.6057,2.3839,8.7113,115.4,No,Yes,96,114.48,114.48,114.48,114.48,114.48,117.48,117.48,111.48,111.48,111.48,111.48,131.85,128.85,15,89,0.0515,0.388,0.0258,0.6082,9,12,3,0.0567,0.0361
