Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,YardsAfterCatchPercentage,TowThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,AttemptsInEndzoneTotal,TouchdownsTotal,InterceptionsTotal,RunPassOptionPercentage,HeroThrowPercentage
Trey Lance,LAC,QB,15,15,15,0.8667,10,0.6667,0.7333,-0.0465,15,85,5.6667,2.6667,88,No,No,4,0.2667,3.8595,0.0094,No,0.1333,,,0.9333,2.0667,2.125,5.8667,53.5,No,Yes,5,2.4,2.4,2.4,2.4,2.4,2.4,2.4,1.4,1.4,1.4,1.4,3.25,2.25,4,2,0.0667,0.3176,,0.7333,,,1,0.0667,
Tyler Shough,NO,QB,141,141,141,0.8085,102,0.7234,0.766,0.0389,141,1111,7.8794,7.8085,1185,No,No,36,0.2553,45.0596,-0.0643,No,0.1702,9,0.0638,0.8014,2.4277,2.4556,8.4043,98.7,No,Yes,56,58.44,58.44,58.44,58.44,58.44,61.44,61.44,56.44,56.44,56.44,56.44,69.55,67.55,11,4,0.0426,0.2466,0.0213,0.5177,3,4,2,0.0071,0.0426
Kenny Pickett,LV,QB,23,23,23,0.8696,16,0.6957,0.8261,0.0309,23,110,4.7826,2.8261,120,No,No,4,0.1739,7.6889,-0.1604,No,0.1304,1,0.0435,0.8261,2.513,2.425,5.2174,61.9,Yes,No,6,3.4,3.4,3.4,3.4,3.4,3.4,3.4,2.4,2.4,2.4,2.4,4.5,3.5,6,6,0.1304,0.2818,0.087,0.6087,,,1,0.0435,
Chris Oladokun,KC,QB,24,24,24,0.7917,15,0.625,0.7083,-0.0311,24,164,6.8333,6.8333,185,No,Yes,12,0.5,10.2807,0.0716,Yes,0.2083,2,0.0833,0.7083,3.0583,2.4833,7.7083,82.6,No,Yes,8,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,8.2,8.2,3,3,0.0833,0.4512,0.0417,0.5417,1,,,0.0417,
Lamar Jackson,BLT,QB,133,132,132,0.8258,95,0.7197,0.8244,0.1193,132,1307,9.9015,11.2652,1232,No,Yes,43,0.3258,50.8341,-0.0593,Yes,0.1667,10,0.0758,0.6894,2.8076,2.507,9.4167,126,Yes,Yes,62,88.28,88.28,88.28,88.28,88.28,91.28,91.28,88.28,88.28,88.28,88.28,101.35,101.35,13,113,0.0985,0.3695,0.0152,0.5682,16,9,,,0.0227
Bo Nix,DEN,QB,219,219,219,0.7991,150,0.6849,0.7626,0.0084,219,1588,7.2511,6.8174,1572,No,Yes,61,0.2785,83.8107,-0.1042,Yes,0.1781,11,0.0502,0.7169,2.7936,2.4738,7.1781,92.8,No,No,88,100.52,100.52,100.52,100.52,100.52,103.52,103.52,93.52,93.52,93.52,93.52,116.4,109.4,17,124,0.0776,0.4597,0.0502,0.6027,13,11,7,0.0548,0.0137
Trevor Lawrence,JAX,QB,259,259,259,0.834,171,0.6602,0.7558,0.0463,259,2139,8.2587,7.8726,2377,No,No,66,0.2548,88.8472,-0.0882,No,0.1506,22,0.0849,0.8069,2.5637,2.4712,9.1969,95.4,No,Yes,111,129.56,129.56,129.56,129.56,129.56,132.56,132.56,121.56,121.56,121.56,121.56,150.95,142.95,17,186,0.0927,0.3502,0.0386,0.5521,19,13,8,0.0039,0.0347
Sam Darnold,SEA,QB,212,211,211,0.8436,160,0.7583,0.7962,0.0575,211,1821,8.6303,8.7962,1619,No,Yes,47,0.2227,66.8541,-0.0941,No,0.1374,9,0.0427,0.7678,2.4118,2.3723,7.673,111.9,No,Yes,92,119.84,119.84,119.84,119.84,119.84,122.84,122.84,114.84,114.84,114.84,114.84,138.05,133.05,17,44,0.0379,0.3712,0.0379,0.6919,15,13,5,0.0095,0.0237
Andy Dalton,CAR,QB,18,18,18,0.9444,16,0.8889,0.8889,0.155,18,190,10.5556,11.6667,139,No,No,4,0.2222,5.6319,-0.0907,No,0.0556,,,0.7778,2.3889,2.55,7.7222,129.2,No,Yes,13,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,13.5,13.5,4,,,0.4158,,0.6111,1,1,,,
Brandon Allen,TEN,QB,14,14,14,0.3571,5,0.3571,0.3571,-0.3252,14,27,1.9286,-1.2857,93,No,Yes,8,0.5714,5.6837,0.1655,No,0.6429,1,0.0714,0.7143,2.9286,2.4625,6.6429,14.6,No,No,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,-0.92,-0.92,-0.92,-0.92,0.35,-0.65,1,,,0.4815,0.2857,0.2857,,,1,0.0714,
