Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,InterceptionsTotal,TowThrowPercentage,RunPassOptionPercentage
Dak Prescott,DAL,QB,15,15,15,0.5333,6,7,0.4667,0.4667,0.0441,15,234,15.6,0.0855,16.9333,436,1,No,No,5,0.3333,5.205,-0.0137,No,0.4667,12,0.8,0.3333,0.9333,0.4,2.5867,2.5,29.0667,115.3,No,No,7,13.36,13.36,13.36,13.36,13.36,13.36,13.36,13.36,13.36,13.36,13.36,15.7,15.7,17,,,,,
Spencer Rattler,NO,QB,7,6,6,0.3333,1,2,0.3333,0.3333,-0.076,6,96,16,0.1771,16,184,,No,No,3,0.5,2.4236,0.0961,No,0.6667,5,0.8333,0.3333,1,0.3333,2.9167,2.2667,30.6667,81.9,No,No,2,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,4.8,4.8,9,,,,,
Josh Allen,BUF,QB,15,15,15,0.6,,6,0.4,0.4667,0.0296,15,171,11.4,0.2339,12.4,391,3,No,No,4,0.2667,5.412,-0.0941,No,0.4,12,0.8,0.2,0.8,0.4667,2.6667,2.725,26.0667,94.7,No,No,6,17.84,17.84,17.84,17.84,17.84,17.84,17.84,16.84,16.84,16.84,16.84,19.55,18.55,17,29,0.0667,1,0.0667,
Michael Penix,ATL,QB,9,9,9,0.6667,,5,0.5556,0.5556,0.0858,9,126,14,0.1508,16.2222,214,1,No,No,3,0.3333,3.3335,-0.037,No,0.3333,5,0.5556,0.2222,0.7778,0.3333,2.7222,2.2333,23.7778,137.5,No,No,5,9.04,9.04,9.04,9.04,9.04,9.04,9.04,9.04,9.04,9.04,9.04,10.3,10.3,9,,,,,
Tyrod Taylor,NYJ,QB,2,2,2,,,,,,-0.3079,2,,,,-22.5,84,,No,No,1,0.5,0.9056,0.0472,No,1,2,1,,1,,3.2,2.3,42,,No,No,,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,6,,,1,,
Shedeur Sanders,CLV,QB,6,6,6,0.5,1,3,0.5,0.5,0.1652,6,141,23.5,0.1773,23.5,214,,No,No,4,0.6667,2.4408,0.2599,No,0.5,6,1,0.5,0.8333,0.5,2.9333,2.1,35.6667,95.8,No,No,3,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,7.05,7.05,8,,,,0.1667,
Trey Lance,LAC,QB,6,6,6,,1,,,,-0.3919,6,,,,,185,,No,No,1,0.1667,1.7335,-0.1223,No,1,6,1,,1,,2.25,1.6,30.8333,39.6,No,No,,,,,,,,,,,,,,,4,,,,,
Tyler Shough,NO,QB,18,18,18,0.2778,5,4,0.2222,0.2778,-0.0859,18,166,9.2222,0.3193,8.9444,556,2,No,Yes,10,0.5556,6.0286,0.2206,No,0.6667,18,1,0.2222,0.8889,0.2222,2.5167,2.15,30.8889,79.4,No,Yes,4,13.64,13.64,13.64,13.64,13.64,13.64,13.64,12.64,12.64,12.64,12.64,15.3,14.3,11,20,0.0556,1,,
Jalen Hurts,PHI,QB,13,13,13,0.6154,1,5,0.3846,0.4615,0.1365,13,260,20,0.3231,24.6154,461,3,No,No,2,0.1538,6.6109,-0.3547,No,0.3846,13,1,0.4615,0.6154,0.5385,3.5231,2.6,35.4615,125.8,No,No,5,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,25,25,16,37,0.0769,,,
Cooper Rush,BLT,QB,1,1,1,,,,,,-0.5704,1,,,,,16,,No,Yes,1,1,0.3838,0.6162,Yes,1,,,,1,,2.8,2.7,16,39.6,No,No,,,,,,,,,,,,,,,4,,,,,
