Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TouchdownsTotal,OffTargetThrowAttemptsPercentage,RunPassOptionPercentage,InterceptionsTotal,TowThrowPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage
Jordan Love,GB,QB,27,27,27,0.8889,24,0.8889,0.8889,-0.0468,27,,,140,5.1852,1.8,5.9259,-127,No,Yes,12,0.4444,10.2073,0.0664,No,0.2222,0.6296,0.7037,2.7667,2.4417,-4.7037,100.6,No,Yes,4,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,11,11,15,1,0.1111,,,,,
Mason Rudolph,PIT,QB,5,5,5,1,5,1,1,0.0641,5,,,36,7.2,1.7778,7.2,-28,No,No,,,1.7637,-0.3528,No,0.2,0.8,0.8,2.62,,-5.6,96.7,No,No,2,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.8,1.8,5,,,0.2,,,,
Aaron Rodgers,PIT,QB,28,28,28,1,28,1,1,0.0653,28,,,172,6.1429,1.8256,6.8571,-142,Yes,No,4,0.1429,8.3314,-0.1547,No,0.2857,0.6429,0.7857,2.3,2.325,-5.0714,104.2,No,Yes,8,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,12.6,12.6,16,1,,0.0357,,,,
Dak Prescott,DAL,QB,31,31,31,0.9355,29,0.9355,0.9355,0.0099,31,,,149,4.8065,1.745,5.4516,-119,No,No,10,0.3226,11.4665,-0.0473,No,0.0968,0.6452,0.6452,2.7194,2.31,-3.8387,97.4,No,Yes,4,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,9.96,11.45,11.45,17,1,0.0645,,,,,
Spencer Rattler,NO,QB,12,12,12,1,11,0.9167,0.9167,-0.0014,12,,,46,3.8333,1.9565,3.8333,-50,No,No,4,0.3333,3.3809,0.0516,No,0.4167,0.5,0.8333,2.2083,2.325,-4.1667,82.6,No,No,,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,2.3,2.3,9,,,,,,,
Baker Mayfield,TB,QB,28,28,28,0.9643,27,0.9643,0.9643,0.0316,28,,,130,4.6429,2.0692,4.6429,-135,Yes,No,8,0.2857,8.9007,-0.0322,No,0.3929,0.5714,0.8571,2.4179,2.55,-4.8214,86,No,Yes,4,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,6.5,6.5,17,,0.0357,0.1071,,,,
Carson Wentz,MIN,QB,5,5,5,0.8,4,0.8,0.8,-0.1356,5,,,11,2.2,3.0909,2.2,-29,Yes,No,2,0.4,1.2463,0.1507,No,0.4,0.4,0.4,2.02,1.85,-5.8,79.2,No,Yes,,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,5,,0.2,,,,,
Marcus Mariota,WAS,QB,8,8,8,0.875,7,0.875,0.875,-0.0636,8,,,40,5,1.675,5,-32,Yes,No,,,2.4494,-0.3062,Yes,0.375,0.375,0.875,2.35,,-4,87.5,No,Yes,2,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2,2,11,,0.125,,,,,
Quinn Ewers,MIA,QB,5,5,5,1,5,1,1,0.0655,5,,,34,6.8,1.7059,6.8,-24,Yes,No,3,0.6,1.6775,0.2645,No,0.4,0.6,0.8,2.52,2.5667,-4.8,95,No,Yes,2,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.7,1.7,4,,,,,,,
Shane Buechele,KC,QB,1,1,1,1,1,1,1,0.0628,1,,,5,5,2,5,-5,Yes,No,,,0.4528,-0.4528,No,,1,1,3.2,,-5,87.5,No,Yes,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,1,,,,,,,
