Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TouchdownsTotal,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToPressure,playerStatsFirstDownsPassing,InterceptionsTotal,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,DropsYardsLost,DropsPercentage,RunPassOptionPercentage,TowThrowPercentage,AttemptsInEndzoneTotal,HeroThrowPercentage
Tua Tagovailoa,MIA,QB,45,45,45,0.7778,31,0.6889,0.7111,-0.0415,45,309,6.8667,0.3851,4.8667,312,No,No,15.7185,-0.016,Yes,0.6444,2.6,6.9333,69.6,No,Yes,10.36,10.36,10.36,10.36,10.36,13.36,13.36,8.36,8.36,8.36,8.36,13.45,11.45,14,,15,0.3333,0.2222,0.6667,2.4,18,2,1,0.0222,5,0.0222,0.0222,0.0444,1,
Gardner Minshew,KC,QB,3,3,3,0.6667,2,0.6667,0.6667,-0.1202,3,23,7.6667,0.6522,7.6667,16,Yes,No,0.8754,-0.2918,No,0.6667,2.2667,5.3333,89.6,No,Yes,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.15,1.15,4,,,,0.3333,0.6667,,1,,,,,,0.3333,,,
Caleb Williams,CHI,QB,83,83,83,0.7952,58,0.6988,0.7349,0.0022,83,652,7.8554,0.3282,8.3373,693,No,No,35.5814,-0.2118,No,0.5783,3.0602,8.3494,101.1,No,Yes,34.08,34.08,34.08,34.08,34.08,37.08,37.08,34.08,34.08,34.08,34.08,40.6,40.6,17,2,18,0.2169,0.1566,0.6265,2.6778,30,,2,0.0241,41,0.0361,,0.0241,4,
Kyler Murray,ARZ,QB,27,27,27,0.8148,20,0.7407,0.7778,0.0203,27,179,6.6296,0.3352,6.6296,181,No,No,8.4306,-0.0159,No,0.7407,2.3852,6.7037,91.4,No,Yes,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,8.95,8.95,5,,8,0.2963,0.1481,0.7037,2.0625,10,,,,12,0.037,,0.037,,
Tanner McKee,PHI,QB,5,5,5,1,5,1,1,0.2548,5,49,9.8,0.2041,9.8,39,No,No,1.5395,-0.3079,No,1,2.36,7.8,107.5,No,Yes,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,2.45,2.45,4,,,,,1,,3,,,,,,,,,
Jared Goff,DET,QB,97,97,97,0.8454,70,0.7216,0.7835,0.0171,97,653,6.732,0.3415,5.8041,616,Yes,No,34.0891,-0.0422,No,0.6082,2.6124,6.3505,81.7,No,Yes,24.12,24.12,24.12,24.12,24.12,27.12,27.12,22.12,22.12,22.12,22.12,30.65,28.65,17,,30,0.3093,0.1546,0.732,2.4967,31,2,2,0.0206,36,0.0619,,0.0103,,0.0103
Cam Ward,TEN,QB,78,78,78,0.8846,60,0.7692,0.8333,0.0802,78,492,6.3077,0.252,5.4103,546,No,No,25.7274,-0.1247,No,0.6923,2.4872,7,86.1,No,No,21.68,21.68,21.68,21.68,21.68,24.68,24.68,19.68,19.68,19.68,19.68,26.6,24.6,17,1,16,0.2051,0.1026,0.6923,2.5312,23,2,1,0.0128,43,0.0641,0.0256,,2,
Jake Browning,CIN,QB,20,20,20,0.9,16,0.8,0.8,0.0378,20,162,8.1,0.3272,8.1,128,No,No,5.9855,0.0007,No,0.75,2.31,6.4,100.4,No,No,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,8.1,8.1,5,,6,0.3,0.1,0.7,2.2,8,,,,,,,,,
Josh Johnson,WAS,QB,18,18,18,0.8889,12,0.6667,0.6667,-0.0608,18,159,8.8333,0.3396,3.8333,150,No,No,6.7187,0.1267,No,0.6667,2.7389,8.3333,54.9,No,Yes,4.36,4.36,4.36,4.36,4.36,4.36,4.36,2.36,2.36,2.36,2.36,5.95,3.95,5,,9,0.5,0.1111,0.6667,2.6889,9,2,,,,,,0.1111,,
Jacoby Brissett,ARZ,QB,105,105,105,0.819,74,0.7048,0.7429,-0.0152,105,673,6.4095,0.3358,5.3143,711,No,No,38.1082,-0.0867,No,0.6857,2.679,6.7714,78.8,No,Yes,27.92,27.92,27.92,27.92,27.92,30.92,30.92,24.92,24.92,24.92,24.92,34.65,31.65,14,1,29,0.2762,0.1714,0.6095,2.6862,37,3,,,25,0.0381,,0.0286,3,
Kyle Allen,DET,QB,1,1,1,1,,,1,0.3636,1,,,,,11,No,No,0.1941,-0.1941,No,1,1.7,11,39.6,No,Yes,,,,,,,,,,,,,,3,,,,,1,,,,,,11,1,,,,
Joe Flacco,CIN,QB,76,76,76,0.8816,54,0.7105,0.7867,0.0002,76,401,5.2763,0.394,3.5,422,No,No,23.0278,-0.0135,No,0.7895,2.3316,5.6184,66.8,No,No,13.04,13.04,13.04,13.04,13.04,16.04,16.04,10.04,10.04,10.04,10.04,17.05,14.05,13,,22,0.2895,0.0789,0.75,2.3227,12,3,,,39,0.0658,,0.0395,,
Daniel Jones,IND,QB,69,69,69,0.8406,56,0.8116,0.8261,0.0584,69,500,7.2464,0.26,6.8841,459,Yes,No,19.1165,-0.0597,No,0.8406,2.1812,6.6522,95.7,No,No,23,23,23,23,23,26,26,22,22,22,22,28,27,13,1,15,0.2174,0.1594,0.7101,1.9933,29,1,,,3,0.0145,0.0725,0.0145,,
C.J. Stroud,HST,QB,64,64,64,0.8125,49,0.7656,0.7656,0.0103,64,433,6.7656,0.2979,6.0625,450,Yes,Yes,21.4582,-0.0228,Yes,0.6406,2.5187,7.0312,87.6,Yes,Yes,16.32,16.32,16.32,16.32,16.32,19.32,19.32,15.32,15.32,15.32,15.32,20.65,19.65,14,,20,0.3125,0.1875,0.625,2.415,15,1,2,0.0312,,,0.0156,0.0469,,
