Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,YardsAfterCatchPercentage,playerStatsFirstDownsPassing,TouchdownsTotal,PressuredTotal,PressuredPercentage,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,AverageTimeToPressure,DropsYardsLost,DropsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,InterceptionsTotal
Marcus Mariota,WAS,QB,18,18,18,0.8889,15,0.8333,0.8889,-0.0449,18,77,4.2778,2.8889,-72,No,No,3.4411,-0.1912,Yes,1,0.7778,1.6833,-4,79.9,No,Yes,6.08,6.08,6.08,6.08,6.08,6.08,6.08,5.08,5.08,5.08,5.08,6.85,5.85,11,1.7532,3,1,,,,0.1111,,-4,0.0556,,,0.0556,1
Spencer Rattler,NO,QB,7,7,7,1,7,1,1,0.0626,7,49,7,7,-18,No,No,1.2204,-0.1743,No,1,0.8571,1.5857,-2.5714,95.8,No,No,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,2.45,2.45,9,1.3673,1,,,,0.5714,,,,,,,,
Tyler Huntley,BLT,QB,5,5,5,1,5,1,1,0.0672,5,23,4.6,4.6,-18,No,No,0.9012,-0.1802,No,1,1,1.62,-3.6,85.8,No,Yes,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.15,1.15,5,1.7826,,,,,,,,,,,,,
Justin Herbert,LAC,QB,22,22,22,1,19,0.8636,1,0.0651,22,104,4.7273,4.7273,-85,No,No,4.0793,-0.0945,No,1,0.8182,1.65,-3.8636,86.4,No,Yes,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,5.2,5.2,16,1.6827,4,,2,0.0909,0.2273,,1.4,-14,0.1364,,,,
Drake Maye,NE,QB,17,17,17,1,16,0.9412,1,0.068,17,88,5.1765,6.3529,-62,Yes,Yes,4.7651,-0.1038,No,1,0.8824,2.2,-3.6471,107.8,No,Yes,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,8.4,8.4,17,1.6818,4,1,3,0.1765,0.0588,,2.6,-2,0.0588,,,,
Geno Smith,LV,QB,33,33,33,1,30,0.9091,0.9697,0.0338,33,163,4.9394,6.1515,-142,No,No,6.0414,-0.1831,No,1,0.9697,1.6364,-4.303,107.4,No,No,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,16.15,16.15,15,1.7975,7,2,,,0.0909,,,-7,0.0606,,,,
Aidan O'Connell,LV,QB,1,1,1,1,1,1,1,0.0587,1,-2,-2,-2,-3,No,No,0.0561,-0.0561,No,1,1,0.9,-3,79.2,No,Yes,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.1,-0.1,1,-0.5,,,,,,,,,,,,,
Matthew Stafford,LA,QB,38,38,38,0.9211,33,0.8684,0.9211,-0.0054,38,291,7.6579,7.5263,-89,No,No,7.8224,-0.1795,No,1,0.7895,1.7684,-2.3421,105.2,No,No,18.64,18.64,18.64,18.64,18.64,18.64,18.64,17.64,17.64,17.64,17.64,21.55,20.55,17,1.2612,12,2,1,0.0263,,0.0263,2.1,-5,0.0526,,,0.0263,1
J.J. McCarthy,MIN,QB,24,24,24,0.8333,19,0.7917,0.8333,-0.0795,24,137,5.7083,5.7083,-46,No,No,6.0027,-0.0834,No,1,0.7083,2.025,-1.9167,90.5,No,Yes,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,6.85,6.85,10,1.2044,5,,4,0.1667,0.0833,0.1667,2,-5,0.0417,,,,
Patrick Mahomes,KC,QB,40,40,40,0.925,35,0.875,0.925,-0.0113,40,237,5.925,6.425,-120,No,No,6.7443,-0.1686,No,1,0.8,1.5525,-3,99.7,No,Yes,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,15.85,15.85,14,1.4346,10,1,,,0.15,0.075,,-8,0.05,,,,
Tyson Bagent,CHI,QB,1,1,1,1,1,1,1,0.0628,1,20,20,20,-5,No,No,0.5391,0.4609,No,1,1,3.7,-5,118.8,No,No,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,3,1.25,1,,1,1,,,3.6,,,,,,
Trey Lance,LAC,QB,4,4,4,1,4,1,1,0.0761,4,17,4.25,4.25,-6,No,No,0.6727,-0.1682,No,1,1,1.55,-1.5,84.4,No,Yes,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.85,0.85,4,1.3529,1,,,,,,,,,,,,
Tyler Shough,NO,QB,14,14,14,1,14,1,1,0.0663,14,106,7.5714,7.5714,-67,Yes,No,2.5615,-0.183,No,1,0.7143,1.6357,-4.7857,98.2,No,Yes,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,5.3,5.3,11,1.6321,3,,,,0.1429,,,,,,,,
Jalen Hurts,PHI,QB,13,13,13,1,13,1,1,0.0666,13,43,3.3077,6.3846,-43,No,No,2.1431,-0.0879,Yes,1,0.9231,1.5308,-3.3077,120,No,Yes,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,10.15,10.15,16,2,4,2,1,0.0769,,,1.6,,,,,,
Cooper Rush,BLT,QB,4,4,4,1,3,0.75,1,0.0701,4,5,1.25,1.25,-10,No,No,0.6727,-0.1682,No,1,0.75,1.55,-2.5,77.1,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,4,2.4,,,,,0.25,,,-3,0.25,,,,
Malik Willis,GB,QB,1,1,1,1,1,1,1,0.0576,1,,,,-4,No,No,0.2286,-0.2286,No,1,1,1.9,-4,79.2,No,Yes,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
