Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,OffTargetThrowAttemptsPercentage,RunPassOptionPercentage,InterceptionsTotal,TowThrowPercentage,TouchdownsTotal,TargetedReadFirstPercentage,AttemptsInEndzoneTotal,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage
Chris Oladokun,KC,QB,4,4,4,1,4,1,1,0.0945,4,14,3.5,1.0714,8.5,-1,No,Yes,1,0.25,1.863,-0.2157,Yes,1,0.75,3.275,2.9,-0.25,120.8,No,Yes,1,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.7,4.7,3,,,,,,,1,,,,
Lamar Jackson,BLT,QB,23,23,23,0.8261,19,0.8261,0.8261,-0.046,23,201,8.7391,0.8308,9.6087,36,No,No,14,0.6087,11.2769,0.1184,No,1,0.6957,3.4174,2.8286,1.5652,117.6,No,No,5,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,14.05,14.05,13,,,0.1739,,,,1,,,,
Kenny Pickett,LV,QB,4,4,4,0.75,2,0.5,0.75,-0.0998,4,8,2,0.375,2,11,No,No,2,0.5,1.8457,0.0386,No,1,0.25,3.25,2.4,2.75,56.3,No,No,,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,6,2,0.25,0.25,,,,,,,,
Joshua Dobbs,NE,QB,1,1,1,1,1,1,1,0.1261,1,2,2,,2,2,No,No,,,0.4701,-0.4701,No,1,1,3.3,,2,79.2,No,No,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.1,4,,,,,,,,,,,
Mac Jones,SF,QB,22,22,22,0.9091,18,0.8182,0.9048,0.0501,22,135,6.1364,0.7704,4.0909,43,No,No,11,0.5,9.5476,0.066,No,1,0.7727,3.0909,2.7818,1.8636,73.3,No,No,4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,3.4,3.4,3.4,3.4,5.75,4.75,11,4,0.0455,0.0909,,1,0.0455,,,,,
Kirk Cousins,ATL,QB,13,13,13,0.9231,12,0.9231,0.9231,0.0656,13,97,7.4615,0.7526,7.4615,27,No,No,6,0.4615,5.4207,0.0446,No,0.9231,0.5385,2.9923,2.6833,2.0769,97.8,No,Yes,2,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,4.85,4.85,10,,,0.0769,,,,,0.0769,,,
Russell Wilson,NYG,QB,14,14,14,0.9286,11,0.7857,0.9286,0.0476,14,61,4.3571,0.8525,4.3571,13,No,Yes,8,0.5714,5.8562,0.1531,Yes,0.9286,0.7143,3,2.675,0.9286,84.8,No,Yes,,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,3.05,3.05,6,,0.1429,0.0714,,,,,0.0714,,,
Joe Burrow,CIN,QB,20,20,20,1,16,0.8,0.85,-0.0408,20,107,5.35,0.9346,5.35,5,No,Yes,4,0.2,7.7795,-0.189,Yes,1,0.8,2.83,2.75,0.25,89,No,Yes,4,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,5.35,5.35,8,-5,0.05,,,,,,,,,
Anthony Richardson,IND,QB,1,1,1,1,1,1,1,0.1261,1,9,9,0.7778,9,2,Yes,No,,,0.125,-0.125,No,1,1,1.3,,2,104.2,No,Yes,1,1.26,2.26,1.76,2.26,2.26,2.26,1.76,2.26,2.26,2.26,1.76,2.35,2.35,2,,,,1,,,,,,,
Trevor Lawrence,JAX,QB,25,25,25,0.96,21,0.84,0.92,0.0431,25,149,5.96,0.8792,5.96,24,Yes,No,10,0.4,11.1475,-0.0459,No,0.96,0.84,3.16,3.02,0.96,91.5,No,Yes,6,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.96,5.96,7.45,7.45,17,2,0.08,0.04,,,,,,,,
