Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,playerStatsFirstDownsPassing,TouchdownsTotal,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,AverageTimeToPressure
Jacoby Brissett,ARZ,QB,6,6,6,1,6,1,1,0.0624,6,22,3.6667,1.6364,3.6667,-14,No,No,0.8021,-0.1337,No,0.5,1,0.8333,1.35,-2.3333,81.9,No,No,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.1,1.1,14,,,1,,,,,
Joe Flacco,CIN,QB,6,6,6,1,6,1,1,0.066,6,27,4.5,1.5185,4.5,-14,No,No,0.6641,-0.1107,No,0.6667,1,0.8333,1.2167,-2.3333,85.4,No,No,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.35,1.35,13,,,,,,,,
Daniel Jones,IND,QB,1,1,1,1,1,1,1,0.0587,1,1,1,4,1,-3,No,No,0.0906,-0.0906,No,1,1,1,1.1,-3,79.2,No,No,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,13,,,,,,,,
Jake Browning,CIN,QB,3,3,3,1,3,1,1,0.066,3,15,5,1.4667,5,-7,No,No,0.3234,-0.1078,No,0.6667,1,1,1.2,-2.3333,87.5,No,No,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,5,,,2,,,,,
Kyler Murray,ARZ,QB,2,2,2,1,2,1,1,0.0615,2,26,13,1.1923,13,-5,Yes,No,0.2846,-0.1423,No,0.5,1,1,1.4,-2.5,118.8,No,Yes,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.3,1.3,5,,,1,,,,,
Jared Goff,DET,QB,2,2,2,1,2,1,1,0.0607,2,7,3.5,2.1429,3.5,-8,No,No,0.1294,-0.0647,No,0.5,1,1,0.95,-4,81.3,No,No,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,17,,,,,,,,
Cam Ward,TEN,QB,13,13,13,0.7692,9,0.6923,0.7692,-0.1623,13,48,3.6923,1.3958,3.6923,-25,No,No,1.8844,-0.068,No,0.9231,1,0.6923,1.4154,-1.9231,75.2,No,No,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,2.4,2.4,17,-3,0.0769,2,,1,0.0769,0.2308,2.6
Caleb Williams,CHI,QB,6,6,6,1,6,1,1,0.0664,6,19,3.1667,1.6316,3.1667,-12,No,No,0.4226,-0.0704,No,0.6667,1,0.8333,0.9833,-2,79.9,No,No,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.95,0.95,17,,,1,,,,,
Tua Tagovailoa,MIA,QB,1,1,1,1,1,1,1,0.0628,1,6,6,1.8333,6,-5,No,No,0.0733,0.9267,No,1,1,1,1,-5,91.7,No,No,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,14,,,1,,1,1,,0.9
Justin Fields,NYJ,QB,1,1,1,1,1,1,1,0.0762,1,7,7,1.1429,7,-1,No,No,0.0906,-0.0906,No,1,1,1,1.1,-1,95.8,No,No,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,9,,,,,,,,
