teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel
15,Jacksonville,Jaguars,1,TEN,AFC,AFC South,Open,Closed,Cover 1,17,35,Yes,Yes,No,163,No,No
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Open,Open,Cover 2 Man,17,39,No,Yes,No,177,No,No
25,New York,Jets,,BUF,AFC,AFC East,Closed,Closed,Cover 1,16,37,Yes,Yes,No,168,No,No
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Open,Cover 2,15,38,Yes,Yes,No,164,No,No
3,Baltimore,Ravens,,PIT,AFC,AFC North,Closed,Closed,Cover 1,17,39,No,Yes,No,170,No,No
12,Green Bay,Packers,,MIN,NFC,NFC North,Closed,Closed,Cover 3,16,29,Yes,Yes,Yes,124,No,No
19,Las Vegas,Raiders,1,KC,AFC,AFC West,Open,Open,Cover 2,16,32,No,Yes,No,137,No,No
9,Dallas,Cowboys,,NYG,NFC,NFC East,Closed,Closed,Red Zone,17,42,Yes,Yes,No,191,No,No
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Closed,Cover 3,16,34,No,Yes,No,154,No,No
11,Detroit,Lions,,CHI,NFC,NFC North,Open,Open,Red Zone,16,31,Yes,Yes,No,141,No,No
21,Minnesota,Vikings,1,GB,NFC,NFC North,Closed,Closed,Cover 3,16,30,Yes,Yes,Yes,129,No,No
13,Houston,Texans,1,IND,AFC,AFC South,Closed,Closed,Cover 1,16,35,Yes,Yes,No,158,No,No
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Cover 2 Man,16,24,No,Yes,No,109,No,No
4,Buffalo,Bills,1,NYJ,AFC,AFC East,Closed,Closed,Cover 1,17,30,Yes,Yes,No,133,No,No
5,Carolina,Panthers,,TB,NFC,NFC South,Open,Closed,Cover 1,17,28,No,Yes,No,130,No,No
6,Chicago,Bears,1,DET,NFC,NFC North,Open,Open,Red Zone,17,27,Yes,Yes,No,114,No,No
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Open,Cover 2,17,37,No,Yes,No,170,No,No
24,New York,Giants,1,DAL,NFC,NFC East,Closed,Closed,Red Zone,17,35,Yes,Yes,No,156,No,No
27,Pittsburgh,Steelers,1,BLT,AFC,AFC North,Closed,Closed,Cover 1,16,27,No,Yes,No,118,No,No
26,Philadelphia,Eagles,1,WAS,NFC,NFC East,Open,Open,Cover 0,17,46,Yes,Yes,Yes,213,No,No
7,Cincinnati,Bengals,1,CLV,AFC,AFC North,Closed,Open,Cover 2,17,39,No,Yes,No,176,No,No
8,Cleveland,Browns,,CIN,AFC,AFC North,Closed,Open,Cover 2,16,24,No,Yes,No,103,No,No
29,San Francisco,49ers,1,SEA,NFC,NFC West,Open,Closed,Cover 3,15,30,No,Yes,No,132,No,No
2,Atlanta,Falcons,1,NO,NFC,NFC South,Open,Closed,Cover 3,14,40,No,Yes,No,179,No,No
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 0,17,35,Yes,Yes,Yes,160,No,No
17,Los Angeles,Rams,1,ARZ,NFC,NFC West,Open,Open,Cover 2 Man,13,26,No,Yes,No,119,No,No
31,Tennessee,Titans,,JAX,AFC,AFC South,Open,Closed,Cover 1,16,40,Yes,Yes,No,175,No,No
22,New England,Patriots,1,MIA,AFC,AFC East,Open,Open,Cover 2,17,29,Yes,Yes,No,117,No,No
30,Tampa Bay,Buccaneers,1,CAR,NFC,NFC South,Open,Closed,Cover 1,17,40,No,Yes,No,173,No,No
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Closed,Cover 3,16,43,No,Yes,No,201,No,No
10,Denver,Broncos,1,LAC,AFC,AFC West,Open,Open,Cover 2 Man,17,37,No,Yes,No,169,No,No
14,Indianapolis,Colts,,HST,AFC,AFC South,Closed,Closed,Cover 1,16,30,Yes,Yes,No,127,No,No
