teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal
17,Los Angeles,Rams,1,ARZ,NFC,NFC West,Open,Open,Cover 4,17,376,No,No,No,1606,377,No,55,Yes,377,1,14,0.2347,377,55,9,1,3988,1747,664,2258,26,14,53,0.1406,0.1777,0.1512,0.3183,0.3501,253,0.6711,46,0.122,5.9894,133.7,2.4832,10.5782,3.4955,10.5782,4.634,1.7613,192,51
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,354,No,No,No,1481,354,No,31,Yes,354,1,18,0.239,354,31,8,1,4221,2021,586,2281,30,18,41,0.1158,0.1384,0.1864,0.2797,0.3955,256,0.7232,44,0.1243,6.4435,144.6,2.8501,11.9237,4.7252,11.9237,5.709,1.6554,195,47
22,New England,Patriots,1,MIA,AFC,AFC East,Open,Closed,Cover 3,17,349,Yes,No,Yes,1449,350,No,46,Yes,350,1,16,0.2415,350,46,10,1,3512,1687,514,1902,25,16,37,0.1057,0.1914,0.1486,0.3,0.3514,228,0.6514,48,0.1371,5.4343,132.3,2.4237,10.0343,3.0075,10.0343,4.82,1.4686,171,34
30,Tampa Bay,Buccaneers,1,CAR,NFC,NFC South,Closed,Closed,Prevent,17,380,No,No,No,1582,380,No,51,Yes,380,1,14,0.2402,379,51,5,0.9974,4332,2165,624,2255,30,14,58,0.153,0.1658,0.1553,0.3053,0.3711,256,0.6737,46,0.1211,5.9342,140.5,2.7383,11.4,4.2817,11.4301,5.7124,1.6464,206,34
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Open,Cover 4,17,375,No,No,No,1539,375,No,42,Yes,375,1,12,0.2437,375,42,3,1,3619,2028,705,1633,20,12,66,0.176,0.2347,0.1387,0.304,0.3227,245,0.6533,67,0.1787,4.3547,124.7,2.3515,9.6507,2.8516,9.6507,5.408,1.88,176,50
25,New York,Jets,,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,336,Yes,No,No,1341,336,No,36,Yes,336,1,16,0.2506,336,36,4,1,3849,2123,637,1793,36,16,41,0.122,0.1845,0.1369,0.3363,0.3423,254,0.756,53,0.1577,5.3363,150.1,2.8702,11.4554,4.5193,11.4554,6.3185,1.8958,205,52
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Closed,Cover 3,17,371,Yes,No,Yes,1553,371,No,37,Yes,371,1,16,0.2389,371,37,6,1,3920,2100,558,1886,29,16,54,0.1456,0.1914,0.1806,0.3073,0.3181,251,0.6765,46,0.124,5.0836,136.7,2.5241,10.566,3.6842,10.566,5.6604,1.504,186,48
3,Baltimore,Ravens,,PIT,AFC,AFC North,Closed,Closed,Cover 3,17,399,No,Yes,Yes,1678,399,Yes,65,Yes,399,1,14,0.2378,399,65,5,1,4403,1991,644,2464,23,14,48,0.1203,0.203,0.1028,0.2907,0.3935,282,0.7068,50,0.1253,6.1754,131.9,2.624,11.0351,3.797,11.0351,4.99,1.614,198,54
12,Green Bay,Packers,,MIN,NFC,NFC North,Closed,Closed,Cover 3,17,360,Yes,No,Yes,1558,360,No,58,Yes,360,1,13,0.2311,360,58,11,1,3516,1556,574,2011,24,13,45,0.125,0.2028,0.1444,0.2556,0.3972,217,0.6028,41,0.1139,5.5861,129.6,2.2567,9.7667,2.6674,9.7667,4.3222,1.5944,178,45
15,Jacksonville,Jaguars,1,TEN,AFC,AFC South,Closed,Closed,Cover 3,17,396,No,No,No,1618,396,No,66,Yes,396,1,14,0.2447,396,66,9,1,3933,1773,540,2232,25,14,45,0.1136,0.1768,0.1313,0.2677,0.4217,290,0.7323,59,0.149,5.6364,129.1,2.4308,9.9318,2.963,9.9318,4.4773,1.3636,197,44
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Open,Open,Red Zone,17,307,No,No,No,1258,307,No,34,Yes,307,1,8,0.244,307,34,3,1,3314,1779,609,1582,16,8,46,0.1498,0.1726,0.1173,0.3127,0.3876,234,0.7622,56,0.1824,5.1531,129,2.6343,10.7948,3.8489,10.7948,5.7948,1.9837,151,34
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 4,17,312,No,Yes,No,1294,312,No,32,Yes,312,1,12,0.2411,312,32,3,1,3336,1660,521,1727,25,12,44,0.141,0.1763,0.1699,0.2917,0.3622,220,0.7051,45,0.1442,5.5353,137.9,2.5781,10.6923,3.6443,10.6923,5.3205,1.6699,162,33
11,Detroit,Lions,,CHI,NFC,NFC North,Open,Open,Cover 0,17,342,Yes,Yes,Yes,1424,342,No,49,Yes,342,1,17,0.2402,342,49,11,1,4027,1512,493,2564,31,17,38,0.1111,0.1462,0.117,0.3246,0.4123,258,0.7544,42,0.1228,7.4971,145.9,2.8279,11.7749,4.2866,11.7749,4.4211,1.4415,193,46
21,Minnesota,Vikings,1,GB,NFC,NFC North,Closed,Closed,Cover 3,17,279,Yes,No,Yes,1095,279,No,20,Yes,279,1,8,0.2548,279,20,3,1,3021,1533,534,1525,15,7,41,0.147,0.1577,0.1577,0.3226,0.362,181,0.6487,36,0.129,5.4659,129.7,2.7589,10.828,3.8567,10.828,5.4946,1.914,132,26
13,Houston,Texans,1,IND,AFC,AFC South,Open,Open,Prevent,17,318,No,No,No,1313,319,No,42,Yes,319,1,13,0.243,319,42,5,1,3486,1651,580,1876,20,13,44,0.1379,0.21,0.1317,0.3448,0.3072,228,0.7147,49,0.1536,5.8809,133.1,2.655,10.9279,3.7265,10.9279,5.1755,1.8182,162,36
19,Las Vegas,Raiders,1,KC,AFC,AFC West,Open,Open,Cover 0,17,359,No,No,No,1482,359,No,38,Yes,359,1,12,0.2422,359,38,1,1,3644,1747,497,1945,23,12,53,0.1476,0.2006,0.0975,0.3064,0.39,258,0.7187,49,0.1365,5.4178,130.3,2.4588,10.1504,3.236,10.1504,4.8663,1.3844,175,54
9,Dallas,Cowboys,,NYG,NFC,NFC East,Closed,Closed,Cover 1,17,381,No,No,No,1606,381,No,38,Yes,381,1,27,0.2372,381,38,4,1,4521,2146,703,2498,35,27,59,0.1549,0.2126,0.1365,0.2966,0.3543,251,0.6588,52,0.1365,6.5564,146.7,2.8151,11.8661,4.5931,11.8661,5.6325,1.8451,208,52
