draft,contest,rank,adv,W15,W16,W17,title,W17_anchor,pieces
D1,$1M PlayAction,10/12,7%,44%,44%,10%,2.1%,CHI@DET,5
D2,$1M PlayAction,4/12,21%,55%,55%,11%,10.1%,DAL@NYG,5
D3,$20M Milly,2/12,27%,52%,54%,11%,13.7%,PHI@SF,4
D4,$20M Milly,5/12,20%,54%,54%,11%,8.2%,BAL@CIN,5
