teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingTowThrowPercentage,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingInterceptionsTotal
2,Atlanta,Falcons,True,CAR,NFC,NFC South,Open,Open,Cover 2,17,21,21,0.9523809523809523,20,0.9523809523809523,0.9523809523809523,0.0201654297142857,97,4.619047619047619,1.9896907216494846,5.571428571428571,-98,1,No,No,2,0.09523809523809523,-0.2154547619047619,No,0.09523809523809523,0.047619047619047616,0.38095238095238093,0.42857142857142855,0.7142857142857143,2.376190476190476,2.25,-4.666666666666667,101.8,No,Yes,5,,,,,
32,Washington,Commanders,,DAL,NFC,NFC East,Closed,Open,Cover 0,13,10,10,1,10,1,1,0.06382377790000004,45,4.5,2.1333333333333333,4.5,-51,,No,No,1,0.1,-0.15960000000000002,Yes,0.1,,0.5,0.3,1,2.08,2.7,-5.1,85.4,No,Yes,2,,,,,
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Open,Cover 6,16,19,19,0.9473684210526315,17,0.8947368421052632,0.8947368421052632,-0.034161814421052594,131,6.894736842105263,1.5190839694656488,6.894736842105263,-73,,No,Yes,4,0.21052631578947367,-0.09156315789473685,No,,0.05263157894736842,0.42105263157894735,0.3157894736842105,0.6842105263157895,2.3263157894736843,2.575,-3.8421052631578947,95.4,Yes,Yes,3,0.05263157894736842,,,,
26,Philadelphia,Eagles,True,NYG,NFC,NFC East,Open,Closed,Cover 3,15,23,23,1,22,0.9565217391304348,1,0.07049176943478253,174,7.565217391304348,1.4655172413793103,7.565217391304348,-86,,Yes,Yes,1,0.043478260869565216,-0.1940717391304348,Yes,0.08695652173913043,,0.5652173913043478,0.21739130434782608,0.8695652173913043,1.952173913043478,1.8,-3.739130434782609,98.2,No,Yes,7,,-5,0.043478260869565216,,
27,Pittsburgh,Steelers,True,CIN,AFC,AFC North,Open,Open,Cover 6,14,20,20,0.9,16,0.8,0.85,-0.08414609795000005,53,2.65,2.150943396226415,3.65,-69,1,No,Yes,7,0.35,0.01622499999999998,No,,0.1,0.3,0.45,0.55,2.5100000000000002,2.3285714285714287,-3.45,95.8,Yes,Yes,2,,-3,0.05,2,
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Open,Cover 4,14,20,20,0.85,17,0.85,0.85,-0.07676834555,118,5.9,1.5254237288135593,3.65,-74,,No,No,,,-0.26305,No,0.05,0.15,0.45,0.35,0.6,2.1,,-3.7,70.4,No,No,5,0.05,,,,1
8,Cleveland,Browns,True,MIA,AFC,AFC East,Open,Closed,Cover 3,15,16,16,1,15,0.9375,1,0.07205496756249996,71,4.4375,1.8873239436619718,4.4375,-69,,No,No,4,0.25,-0.01951875000000003,No,,,0.4375,0.375,0.6875,2.1375,2.425,-4.3125,85.2,No,Yes,4,,-6,0.0625,,
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Closed,Cover 1,16,27,27,0.8888888888888888,23,0.8518518518518519,0.8888888888888888,-0.03721795644444459,71,2.6296296296296298,2.492957746478873,2.6296296296296298,-109,,No,No,6,0.2222222222222222,-0.08043888888888892,No,0.037037037037037035,0.1111111111111111,0.48148148148148145,0.2962962962962963,0.5925925925925926,2.3296296296296295,2.65,-4.037037037037037,79.2,No,Yes,2,,-1,0.037037037037037035,,
6,Chicago,Bears,,GB,NFC,NFC North,Open,Closed,Cover 3,13,15,15,0.8666666666666667,12,0.8,0.8666666666666667,-0.06224112286666661,69,4.6,1.9855072463768115,4.6,-73,,No,Yes,3,0.2,-0.10905,No,,0.13333333333333333,0.4,0.4666666666666667,0.8,2.3666666666666667,2.733333333333333,-4.866666666666666,85.8,No,Yes,4,,-6,0.06666666666666667,,
4,Buffalo,Bills,True,NYJ,AFC,AFC East,Open,Open,Cover 4,15,23,23,0.8260869565217391,18,0.782608695652174,0.8260869565217391,-0.09342488682608707,122,5.304347826086956,1.4180327868852458,5.304347826086956,-60,,No,No,8,0.34782608695652173,-0.03147391304347828,No,0.043478260869565216,0.17391304347826086,0.2608695652173913,0.4782608695652174,0.6086956521739131,2.773913043478261,3.05,-2.608695652173913,88.8,No,Yes,8,0.08695652173913043,-6,0.043478260869565216,,
