Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsInEndzone,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,ReceptionsHero,DeepTargetTargetsTotal
Charlie Woerner,ATL,TE,47,No,Yes,No,31,3,No,Yes,2,0.6667,0.0968,1,0.3333,13,9,2,7,0.5484,0.3226,0.129,2,2.3333,47.9,0.4194,4.3333,-1.7374,13,9,2,1,4.776,4.776,0.0769,1.3,2.3,1.8,2.3,2.8,2.3,1.8,2.3,2.3,2.3,1.8,2.8,2.3,16,,,,,,,1,,,,,,,,
Jeff Wilson,MIA,RB,23,No,No,No,15,3,No,Yes,3,1,0.2,3,1,19,19,4,,,0.2,0.0667,1,,93.1,1.2667,6.3333,0.2523,6.3333,6.3333,1.3333,,4.6329,4.6329,0.1429,1.9,4.9,3.4,6.4,4.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,9,,,,1,0.3333,,,,,,,0.7333,,,
Kenny McIntosh,SEA,RB,10,No,No,No,8,2,No,No,2,1,0.25,2,1,17,17,8,,0.125,,,1,,102.1,2.125,8.5,2.2037,8.5,8.5,4,1,3.0337,3.0337,0.2222,1.7,3.7,2.7,4.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,11,,,,,,,,,,,,0.875,,,
Deuce Vaughn,DAL,RB,7,No,No,Yes,6,1,Yes,Yes,1,1,0.1667,1,1,6,8,4,-2,,,,,-2,91.7,1,6,-0.198,6,8,4,,1.6481,1.6481,0.1667,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,6,,1,1,,,,,,,,,1,,,
Kameron Johnson,TB,WR,4,No,No,Yes,2,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Dyami Brown,WAS,WR,43,No,No,Yes,40,9,Yes,Yes,8,0.8889,0.225,7,0.7778,43,60,25,17,,0.25,0.75,9,1.8889,86.6,1.075,4.7778,-1.3836,6.1429,8.5714,3.5714,2,17.4501,17.4501,0.225,4.3,11.3,7.8,11.3,11.3,11.3,7.8,11.3,11.3,11.3,7.8,11.3,11.3,16,,4,0.5714,6,0.6667,1,1,1,,,,,,,
Garrett Wilson,NYJ,WR,191,No,No,No,168,56,No,Yes,48,0.8571,0.3333,43,0.7679,337,153,50,314,,0.3631,0.625,52,5.6071,95.6,2.006,6.0179,-0.9725,7.8372,3.5581,1.1628,22,96.909,96.909,0.3011,44.7,87.7,66.2,87.7,87.7,90.7,68.2,86.7,86.7,86.7,65.2,87.7,86.7,17,2,13,0.3023,10,0.1786,7,7,2,3,,1,0.0119,0.0179,2,
Cody Schrader,LA,RB,1,No,No,No,1,1,No,No,1,1,1,1,1,6,6,2,,,,,,,91.7,6,6,0.1729,6,6,2,,1.2433,1.2433,1,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1,,,,,,,,,,,,1,,,
Blake Whiteheart,CLV,TE,34,No,No,Yes,23,2,No,Yes,2,1,0.087,2,1,8,2,1,11,0.6087,0.1739,0.1304,2,5.5,122.9,0.3478,4,-2.7865,4,1,0.5,1,9.1016,9.1016,0.0645,6.8,8.8,7.8,8.8,9.8,8.8,7.8,8.8,8.8,8.8,7.8,9.8,8.8,11,1,,,,,2,,1,,1,,0.087,,,
Chris Manhertz,NYG,TE,49,No,Yes,No,12,,No,Yes,,,,,,,,,,0.75,0.25,,,,,,,,,,,,1.5099,1.5099,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
MarShawn Lloyd,GB,RB,1,No,Yes,No,1,1,No,No,1,1,1,1,1,3,7,4,-4,,1,,1,-4,79.2,3,3,-2.5699,3,7,4,,1.7023,1.7023,1,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1,,,,1,1,,,,,,,,,,
Johnny Wilson,PHI,WR,48,No,Yes,No,38,6,No,Yes,5,0.8333,0.1579,3,0.5,20,7,7,57,,0.1842,0.7895,3,9.5,97.2,0.5263,3.3333,-4.7094,6.6667,2.3333,2.3333,2,14.9467,14.9467,0.1333,8,11,9.5,11,11,11,9.5,11,11,11,9.5,11,11,16,1,1,0.3333,,,3,2,3,,1,,0.0263,,,
Erik Ezukanma,MIA,WR,5,No,No,Yes,3,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,31,No,Yes,Yes,20,7,No,No,6,0.8571,0.35,5,0.7143,23,50,29,-32,,0.1,0.05,5,-4.5714,114.9,1.15,3.2857,-2.3211,4.6,10,5.8,1,12.7759,12.7759,0.2333,8.3,13.3,10.8,15.8,13.3,13.3,10.8,13.3,13.3,13.3,10.8,13.3,13.3,17,1,1,0.2,5,0.7143,1,1,,,,,0.85,,,
Quentin Johnston,LAC,WR,87,No,No,No,74,26,No,Yes,23,0.8846,0.3514,18,0.6923,152,116,29,104,,0.0946,0.9054,23,4,84.1,2.0541,5.8462,-0.6026,8.4444,6.4444,1.6111,6,41.4455,41.4455,0.325,15.2,33.2,24.2,33.2,33.2,36.2,27.2,33.2,33.2,33.2,24.2,33.2,33.2,15,,2,0.1111,5,0.1923,3,5,,1,,1,,0.0385,,
Xavier Worthy,KC,WR,132,Yes,No,No,124,26,No,Yes,23,0.8846,0.2097,18,0.6923,170,152,52,71,,0.4355,0.5484,23,2.7308,125.5,1.371,6.5385,0.4363,9.4444,8.4444,2.8889,12,43.0072,43.0072,0.2167,35,53,44,53,53,56,47,53,53,53,44,53,53,17,3,1,0.0556,6,0.2308,7,2,,,,3,0.0161,0.1154,,
Cam Grandy,CIN,TE,9,No,Yes,No,7,2,No,Yes,2,1,0.2857,2,1,9,7,3,2,0.4286,0.4286,0.1429,,1,85.4,1.2857,4.5,-1.1116,4.5,3.5,1.5,,2.9316,2.9316,0.25,0.9,2.9,1.9,2.9,3.9,2.9,1.9,2.9,2.9,2.9,1.9,3.9,2.9,8,,,,,,,,,,,,,,,
Malachi Corley,NYJ,WR,15,No,No,Yes,10,1,Yes,Yes,1,1,0.1,1,1,2,,,2,,0.3,0.7,1,2,79.2,0.2,2,-3.3344,2,,,1,1.3971,1.3971,0.0667,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,7,,,,,,,,,,,,,,,
Elijah Moore,CLV,WR,161,No,No,Yes,149,32,No,Yes,25,0.7812,0.2148,23,0.7188,183,60,18,180,,0.557,0.4362,23,5.625,59.8,1.2282,5.7188,-1.0984,7.9565,2.6087,0.7826,9,52.4464,52.4464,0.2162,18.3,41.3,29.8,41.3,41.3,44.3,32.8,41.3,41.3,41.3,29.8,41.3,41.3,17,,2,0.087,1,0.0312,5,1,2,,,1,0.0067,0.0312,,
Rachaad White,TB,RB,96,No,No,Yes,69,26,No,Yes,24,0.9231,0.3768,24,0.9231,218,294,73,-74,,0.1449,0.0435,18,-2.8462,140.1,3.1594,8.3846,2.7489,9.0833,12.25,3.0417,9,44.4053,44.4053,0.2857,39.8,63.8,51.8,75.8,63.8,66.8,54.8,63.8,63.8,63.8,51.8,63.8,63.8,16,3,4,0.1667,13,0.5,5,,,,,,0.8116,,,
AJ Barner,SEA,TE,58,No,No,No,40,11,No,No,10,0.9091,0.275,9,0.8182,62,40,20,25,0.45,0.425,0.125,6,2.2727,120.5,1.55,5.6364,-0.2747,6.8889,4.4444,2.2222,4,15.5055,15.5055,0.1964,12.2,21.2,16.7,21.2,25.7,21.2,16.7,21.2,21.2,21.2,16.7,25.7,21.2,17,1,3,0.3333,,,1,2,,2,,1,,0.0909,,
Zach Charbonnet,SEA,RB,83,No,No,No,53,16,No,No,13,0.8125,0.3019,13,0.8125,93,136,45,-46,0.0189,0.0189,0.1698,8,-2.875,64.8,1.7547,5.8125,0.1861,7.1538,10.4615,3.4615,3,22.5659,22.5659,0.2025,9.3,22.3,15.8,28.8,22.3,22.3,15.8,22.3,22.3,22.3,15.8,22.3,22.3,17,,3,0.2308,6,0.375,,1,,1,,,0.7925,,,
Chuba Hubbard,CAR,RB,95,No,No,No,72,15,Yes,Yes,13,0.8667,0.2083,12,0.8,57,90,25,-29,,0.0556,0.1806,9,-1.9333,82.5,0.7917,3.8,-1.9463,4.75,7.5,2.0833,3,23.203,23.203,0.1705,4.7,16.7,10.7,22.7,16.7,16.7,9.7,15.7,15.7,15.7,9.7,16.7,15.7,15,,2,0.1667,5,0.3333,2,,,,,1,0.7639,0.0667,,
Jared Wayne,HST,WR,4,Yes,No,Yes,4,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Derrick Henry,BLT,RB,63,No,No,Yes,41,9,No,Yes,8,0.8889,0.2195,8,0.8889,103,119,35,-21,,0.0488,0.0244,7,-2.3333,114.4,2.5122,11.4444,5.7825,12.875,14.875,4.375,5,11.9379,11.9379,0.1475,10.3,18.3,14.3,22.3,18.3,21.3,17.3,18.3,18.3,18.3,14.3,18.3,18.3,17,,6,0.75,3,0.3333,,,,,,,0.9268,,,
Robert Tonyan,MIN,TE,2,Yes,No,Yes,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,69,No,Yes,No,45,15,No,No,13,0.8667,0.3333,13,0.8667,129,149,65,-13,,,0.0667,6,-0.8667,102.5,2.8667,8.6,2.6799,9.9231,11.4615,5,7,23.3819,23.3819,0.2419,12.9,25.9,19.4,32.4,25.9,28.9,22.4,25.9,25.9,25.9,19.4,25.9,25.9,13,,6,0.4615,3,0.2,3,,1,,,,0.9333,,,
Brandon Powell,MIN,WR,31,No,No,No,24,2,No,Yes,2,1,0.0833,2,1,21,4,,17,,0.5833,0.4167,2,8.5,110.4,0.875,10.5,2.8678,10.5,2,,2,3.227,3.227,0.0714,2.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,17,,,,,,,,,,,,,,,
Ty Johnson,BUF,RB,46,No,No,No,34,8,No,No,6,0.75,0.2353,6,0.75,84,97,6,9,0.0294,0.1176,0.0588,2,1.125,147.9,2.4706,10.5,3.7493,14,16.1667,1,3,13.3591,13.3591,0.1778,14.4,20.4,17.4,23.4,20.4,20.4,17.4,20.4,20.4,20.4,17.4,20.4,20.4,17,1,,,2,0.25,3,,1,,,,0.7941,,,
Nick Muse,MIN,TE,1,Yes,No,Yes,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Van Jefferson,PIT,WR,109,No,Yes,No,99,8,No,Yes,5,0.625,0.0808,5,0.625,33,17,3,21,,0.202,0.798,6,2.625,71.4,0.3333,4.125,-1.867,6.6,3.4,0.6,1,16.2451,16.2451,0.0825,3.3,8.3,5.8,8.3,8.3,8.3,5.8,8.3,8.3,8.3,5.8,8.3,8.3,17,,4,0.8,,,3,,1,,,,,,,
Geoff Swaim,CLV,TE,21,No,Yes,No,10,,No,No,,,,,,,,,,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,142,No,Yes,No,108,38,No,Yes,36,0.9474,0.3519,36,0.9474,218,320,91,-96,0.0093,0.0833,0.0926,17,-2.5263,99.3,2.0185,5.7368,-0.0305,6.0556,8.8889,2.5278,10,65.86,65.86,0.2901,27.8,63.8,45.8,81.8,63.8,66.8,48.8,63.8,63.8,63.8,45.8,63.8,63.8,17,1,9,0.25,13,0.3421,4,,,,,,0.8148,,1,
Jaleel McLaughlin,DEN,RB,44,Yes,No,No,29,10,No,Yes,9,0.9,0.3448,9,0.9,32,70,14,-45,,0.1034,0.2069,6,-4.5,80,1.1034,3.2,-1.9897,3.5556,7.7778,1.5556,,12.963,12.963,0.2439,2.2,11.2,6.7,15.7,11.2,11.2,5.7,10.2,10.2,10.2,5.7,11.2,10.2,16,,2,0.2222,5,0.5,,,,,,,0.6897,,,
Calvin Austin,PIT,WR,105,No,Yes,No,103,20,No,Yes,14,0.7,0.1942,12,0.6,104,23,7,104,,0.6019,0.3981,16,5.2,73.8,1.0097,5.2,-1.5247,8.6667,1.9167,0.5833,3,33.6199,33.6199,0.2222,10.4,22.4,16.4,22.4,22.4,25.4,19.4,22.4,22.4,22.4,16.4,22.4,22.4,17,,,,3,0.15,3,3,1,1,,,,,,
Ronnie Bell,SF,WR,14,No,No,Yes,14,3,No,Yes,2,0.6667,0.2143,1,0.3333,12,19,,28,,0.2143,0.7857,1,9.3333,6.9,0.8571,4,-3.7865,12,19,,1,6.1191,6.1191,0.2143,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,8,,,,,,,,,,,1,,0.3333,,
Jacob Cowing,SF,WR,20,No,No,No,19,,No,Yes,,,,,,,,,,,0.4737,0.5263,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
Cordarrelle Patterson,PIT,RB,24,No,Yes,No,21,4,No,Yes,4,1,0.1905,4,1,15,7,4,8,0.0476,0.1905,0.3333,3,2,121.9,0.7143,3.75,-3.0817,3.75,1.75,1,1,8.2888,8.2888,0.1905,7.5,11.5,9.5,13.5,11.5,11.5,9.5,11.5,11.5,11.5,9.5,11.5,11.5,13,1,1,0.25,1,0.25,2,1,1,1,1,,0.4286,,,
Isiah Pacheco,KC,RB,33,No,Yes,No,21,10,No,No,8,0.8,0.4762,8,0.8,63,88,8,-23,,0.0952,0.0476,5,-2.3,92.9,3,6.3,0.5052,7.875,11,1,3,15.8146,15.8146,0.303,6.3,14.3,10.3,18.3,14.3,14.3,10.3,14.3,14.3,14.3,10.3,14.3,14.3,7,,2,0.25,2,0.2,,,,,,,0.8571,,,
Pat Freiermuth,PIT,TE,137,No,Yes,No,125,20,No,Yes,19,0.95,0.16,18,0.9,167,94,37,86,0.296,0.52,0.184,14,4.3,118.1,1.336,8.35,1.705,9.2778,5.2222,2.0556,8,29.6382,29.6382,0.1653,22.7,40.7,31.7,40.7,49.7,43.7,34.7,40.7,40.7,40.7,31.7,49.7,40.7,17,1,1,0.0556,,,4,1,,1,,1,,0.05,,
Stefon Diggs,HST,WR,53,No,Yes,No,47,17,No,No,15,0.8824,0.3617,14,0.8235,87,63,15,40,,0.5319,0.4681,16,2.3529,107.6,1.8511,5.1176,-0.5646,6.2143,4.5,1.0714,7,29.1853,29.1853,0.3542,14.7,28.7,21.7,28.7,28.7,28.7,21.7,28.7,28.7,28.7,21.7,28.7,28.7,8,1,,,3,0.1765,2,1,1,,1,,,,,
Ben Sinnott,WAS,TE,25,No,No,Yes,13,3,Yes,Yes,3,1,0.2308,3,1,22,12,3,10,0.4615,0.3846,0.0769,2,3.3333,97.2,1.6923,7.3333,1.1655,7.3333,4,1,1,4.4131,4.4131,0.125,2.2,5.2,3.7,5.2,6.7,5.2,3.7,5.2,5.2,5.2,3.7,6.7,5.2,17,,,,,,,,,,,,0.0769,,,
Zay Jones,ARZ,WR,54,No,No,No,48,2,No,Yes,2,1,0.0417,2,1,20,11,3,9,,0.2083,0.7917,1,4.5,108.3,0.4167,10,3.7937,10,5.5,1.5,1,2.7487,2.7487,0.0426,2,4,3,4,4,4,3,4,4,4,3,4,4,11,,,,,,,,,,,,,,,
Irv Smith,HST,TE,11,No,No,No,4,,No,Yes,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,168,No,Yes,No,153,16,No,Yes,13,0.8125,0.1046,10,0.625,84,16,5,124,0.0065,0.5033,0.4902,12,7.75,115.6,0.549,5.25,-2.0377,8.4,1.6,0.5,5,30.3839,30.3839,0.1,20.4,30.4,25.4,30.4,30.4,30.4,25.4,30.4,30.4,30.4,25.4,30.4,30.4,17,2,1,0.1,,,4,3,2,1,2,3,,0.1875,1,
Brandon Aiyuk,SF,WR,59,No,No,No,55,15,No,Yes,11,0.7333,0.2727,10,0.6667,115,8,3,150,,0.1636,0.8364,12,10,89.6,2.0909,7.6667,-1.0549,11.5,0.8,0.3,8,29.5227,29.5227,0.283,11.5,21.5,16.5,21.5,21.5,24.5,19.5,21.5,21.5,21.5,16.5,21.5,21.5,7,,,,,,3,,1,,,1,,0.0667,,
Allen Lazard,NYJ,WR,118,No,No,No,99,18,No,Yes,16,0.8889,0.1818,14,0.7778,148,92,50,85,,0.404,0.596,16,4.7222,140.5,1.4949,8.2222,1.5479,10.5714,6.5714,3.5714,9,33.4646,33.4646,0.1579,32.8,46.8,39.8,46.8,46.8,49.8,42.8,46.8,46.8,46.8,39.8,46.8,46.8,12,3,3,0.2143,2,0.1111,5,3,2,2,1,1,,0.0556,,
Darnell Mooney,ATL,WR,152,Yes,No,No,140,34,No,Yes,27,0.7941,0.2429,24,0.7059,206,76,25,228,,0.4857,0.4786,30,6.7059,96,1.4714,6.0588,-0.975,8.5833,3.1667,1.0417,16,58.1242,58.1242,0.2429,26.6,50.6,38.6,50.6,50.6,53.6,41.6,50.6,50.6,50.6,38.6,50.6,50.6,16,1,4,0.1667,3,0.0882,4,3,1,1,,1,0.0357,0.0294,,
Jeremy Ruckert,NYJ,TE,60,No,No,No,44,7,No,Yes,6,0.8571,0.1591,4,0.5714,32,19,4,50,0.5455,0.3182,0.0909,6,7.1429,68.8,0.7273,4.5714,-2.8359,8,4.75,1,2,10.2219,10.2219,0.1186,3.2,7.2,5.2,7.2,9.2,7.2,5.2,7.2,7.2,7.2,5.2,9.2,7.2,17,,,,,,,2,,1,,1,0.0455,0.1429,,
Kalif Raymond,DET,WR,22,No,No,No,19,4,No,Yes,4,1,0.2105,4,1,47,37,4,10,,0.4211,0.5789,4,2.5,155.2,2.4737,11.75,5.6881,11.75,9.25,1,2,6.1262,6.1262,0.1905,10.7,14.7,12.7,14.7,14.7,14.7,12.7,14.7,14.7,14.7,12.7,14.7,14.7,12,1,1,0.25,2,0.5,1,,,,,,,,,
