Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsInEndzone,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,ReceptionsHero,DeepTargetTargetsTotal
Harrison Bryant,LV,TE,24,No,No,No,21,3,No,Yes,3,1,0.1429,3,1,29,27,11,2,0.5714,0.3333,0.0952,3,0.6667,106.9,1.381,9.6667,4.0534,9.6667,9,3.6667,2,4.0811,4.0811,0.125,2.9,5.9,4.4,5.9,7.4,5.9,4.4,5.9,5.9,5.9,4.4,7.4,5.9,13,,,,,,,,,,,,,,,
Tylan Wallace,BLT,WR,23,No,No,Yes,22,5,No,Yes,5,1,0.2273,5,1,117,99,85,18,0.0455,0.3182,0.6364,4,3.6,158.3,5.3182,23.4,16.9337,23.4,19.8,17,1,6.8575,6.8575,0.2273,17.7,22.7,20.2,22.7,22.7,25.7,23.2,22.7,22.7,22.7,20.2,22.7,22.7,17,1,3,0.6,1,0.2,1,,,,,,,,,
Jonnu Smith,MIA,TE,146,No,No,No,118,40,No,Yes,37,0.925,0.339,31,0.775,283,184,56,133,0.3814,0.3644,0.2119,35,3.325,135.7,2.3983,7.075,0.8148,9.129,5.9355,1.8065,20,73.2553,73.2553,0.2941,58.3,89.3,73.8,89.3,104.8,92.3,76.8,89.3,89.3,89.3,73.8,104.8,89.3,17,5,7,0.2258,9,0.225,11,5,4,2,3,4,0.0424,0.1,,
Elijah Higgins,ARZ,TE,46,No,No,No,38,8,No,Yes,8,1,0.2105,8,1,62,41,22,30,0.5789,0.2895,0.1053,4,3.75,138.5,1.6316,7.75,1.2048,7.75,5.125,2.75,5,14.3312,14.3312,0.1905,12.2,20.2,16.2,20.2,24.2,20.2,16.2,20.2,20.2,20.2,16.2,24.2,20.2,17,1,4,0.5,,,1,,1,,1,,0.0263,,,
Dan Chisena,CAR,WR,5,No,Yes,No,5,3,No,Yes,2,0.6667,0.6,2,0.6667,29,10,3,21,,0.6,0.4,3,7,97.9,5.8,9.6667,2.4964,14.5,5,1.5,1,4.667,4.667,0.6,2.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,5,,,,,,,,,,,,,,,
Adam Thielen,CAR,WR,69,No,Yes,No,65,17,No,Yes,16,0.9412,0.2615,16,0.9412,159,60,9,98,,0.7385,0.2615,16,5.7647,105.6,2.4462,9.3529,2.4932,9.9375,3.75,0.5625,7,27.0379,27.0379,0.2742,15.9,31.9,23.9,31.9,31.9,34.9,26.9,31.9,31.9,31.9,23.9,31.9,31.9,10,,1,0.0625,2,0.1176,3,,,,,,,,,
Josiah Deguara,JAX,TE,7,No,Yes,No,5,1,No,Yes,1,1,0.2,1,1,8,6,2,2,0.2,0.2,0.6,,2,100,1.6,8,1.6299,8,6,2,,1.3189,1.3189,0.1429,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,13,,,,,,1,,,,,,,,,
Braelon Allen,NYJ,RB,53,No,No,No,37,14,No,Yes,12,0.8571,0.3784,10,0.7143,91,96,27,8,,0.0811,0.2162,9,0.5714,112.5,2.4595,6.5,0.1246,9.1,9.6,2.7,6,20.0586,20.0586,0.28,15.1,25.1,20.1,30.1,25.1,25.1,20.1,25.1,25.1,25.1,20.1,25.1,25.1,17,1,1,0.1,3,0.2143,1,,,,,2,0.7027,0.1429,,
David Moore,CAR,WR,74,No,Yes,No,67,13,No,Yes,8,0.6154,0.194,7,0.5385,74,26,20,104,,0.2687,0.7313,12,8,70.7,1.1045,5.6923,-1.7832,10.5714,3.7143,2.8571,3,22.0895,22.0895,0.1912,7.4,14.4,10.9,14.4,14.4,14.4,10.9,14.4,14.4,14.4,10.9,14.4,14.4,17,,1,0.1429,,,3,1,,,,,,,,
Justin Shorter,LV,TE,5,No,No,No,5,,No,Yes,,,,,,,,,,0.6,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,118,No,No,No,99,36,No,Yes,31,0.8611,0.3636,29,0.8056,258,127,35,211,,0.5152,0.4747,32,5.8611,136.1,2.6061,7.1667,0.3163,8.8966,4.3793,1.2069,22,67.4828,67.4828,0.3158,60.08,89.08,74.58,89.08,89.08,92.08,77.58,89.08,89.08,89.08,74.58,89.15,89.15,17,5,9,0.3103,3,0.0833,12,6,5,5,3,1,0.0101,0.0278,2,
Isaiah Williams,CIN,WR,3,No,Yes,No,3,1,No,Yes,1,1,0.3333,1,1,4,,,4,,0.6667,0.3333,1,4,83.3,1.3333,4,-2.0498,4,,,,1.5114,1.5114,0.3333,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,8,,,,,,,,,,,,,,,
Chris Moore,ARZ,WR,3,No,Yes,Yes,2,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,79,No,No,No,67,14,No,No,13,0.9286,0.209,11,0.7857,79,33,6,71,,0.3731,0.6269,14,5.0714,90.2,1.1791,5.6429,-0.8021,7.1818,3,0.5455,4,20.0233,20.0233,0.1842,7.9,18.9,13.4,18.9,18.9,18.9,13.4,18.9,18.9,18.9,13.4,18.9,18.9,17,,,,1,0.0714,1,,,,,2,,0.1429,,
Josh Palmer,LAC,WR,76,No,No,No,60,8,No,No,7,0.875,0.1333,6,0.75,62,11,2,59,,0.3167,0.6833,6,7.375,96.9,1.0333,7.75,0.0507,10.3333,1.8333,0.3333,4,13.0923,13.0923,0.1176,6.2,12.2,9.2,12.2,12.2,12.2,9.2,12.2,12.2,12.2,9.2,12.2,12.2,15,,,,,,1,1,,,,,,,,
Antonio Gibson,NE,RB,48,No,No,No,31,11,No,No,10,0.9091,0.3548,9,0.8182,104,106,27,-5,0.0323,0.0645,,6,-0.4545,106.1,3.3548,9.4545,2.8852,11.5556,11.7778,3,4,15.8113,15.8113,0.2558,10.4,19.4,14.9,23.9,19.4,22.4,17.9,19.4,19.4,19.4,14.9,19.4,19.4,17,,1,0.1111,4,0.3636,1,,,,,1,0.9032,0.0909,,
Mason Kinsey,TEN,WR,8,No,No,No,8,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
