Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsHero,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,YardsAfterContactTotal,AveragesPerReceptionYardsAfterContact,AlignmentInlineRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Wan'Dale Robinson,NYG,WR,27,Yes,Yes,No,27,5,No,Yes,3,0.6,0.1852,3,1,0.6,61,2,100,0.8519,0.1481,5,20,2,102.9,2.2593,12.2,0.9322,20.3333,0.6667,3,10.7539,10.7539,0.2,6.1,9.1,7.6,9.1,9.1,9.1,7.6,9.1,9.1,9.1,7.6,9.1,9.1,17,,,,,,,,,,,,,,
Ronnie Rivers,LA,RB,1,Yes,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,
Amari Cooper,BUF,WR,29,No,Yes,No,29,11,No,Yes,6,0.5455,0.3793,2,2,0.1818,55,2,309,0.1034,0.8966,10,28.0909,9,40.3,1.8966,5,-6.8106,27.5,1,2,28.1018,28.1018,0.3929,11.5,13.5,12.5,13.5,13.5,13.5,12.5,13.5,13.5,13.5,12.5,13.5,13.5,14,,2,2,1,1,1,3,0.2727,1,,,,,
Darius Slayton,NYG,WR,25,Yes,Yes,No,25,7,No,Yes,3,0.4286,0.28,1,,0.1429,41,2,221,0.08,0.92,5,31.5714,7,51.5,1.64,5.8571,-7.2979,41,2,1,22.8399,22.8399,0.2917,4.1,5.1,4.6,5.1,5.1,5.1,4.6,5.1,5.1,5.1,4.6,5.1,5.1,16,,,2,,,,2,0.2857,1,2,2,,,
Jake Ferguson,DAL,TE,32,Yes,Yes,No,24,4,No,No,,,0.1667,,,,,,51,0.5833,0.0833,3,12.75,,39.6,,,-9.3402,,,,7.1663,7.1663,0.1333,,,,,,,,,,,,,,14,,,,,,,,,1,,,0.3333,,
Davante Adams,NYJ,WR,36,No,Yes,Yes,35,15,No,Yes,7,0.4667,0.4286,4,,0.2667,124,31,344,0.6286,0.3714,13,22.9333,10,83.8,3.5429,8.2667,-3.3825,31,7.75,4,33.3545,33.3545,0.4286,18.4,22.4,20.4,22.4,22.4,25.4,23.4,22.4,22.4,22.4,20.4,22.4,22.4,14,,1,1,,1,,2,0.1333,,3,0.75,,,
Dare Ogunbowale,HST,RB,23,Yes,No,No,17,1,No,No,,,0.0588,,,,,,29,0.1176,,,29,1,39.6,,,-18.4286,,,,1.9315,1.9315,0.0476,,,,,,,,,,,,,,17,0.8824,,1,,,,,,,,,,,
Nico Collins,HST,WR,29,Yes,No,No,29,13,No,No,8,0.6154,0.4483,7,1,0.5385,151,24,268,0.2069,0.7931,4,20.6154,4,63.3,5.2069,11.6154,0.3122,21.5714,3.4286,7,25.2331,25.2331,0.4643,15.1,22.1,18.6,22.1,22.1,25.1,21.6,22.1,22.1,22.1,18.6,22.1,22.1,12,,,,,,,1,0.0769,,7,1,,1,0.1429
Jerry Jeudy,CLV,WR,41,No,No,No,41,15,Yes,Yes,10,0.6667,0.3659,9,1,0.6,176,11,313,0.3659,0.6341,10,20.8667,7,101,4.2927,11.7333,0.2313,19.5556,1.2222,9,29.5693,29.5693,0.375,17.6,26.6,22.1,26.6,26.6,29.6,25.1,26.6,26.6,26.6,22.1,26.6,26.6,17,,2,1,1,,,,,1,5,0.5556,,,
J.K. Dobbins,LAC,RB,31,No,No,No,18,,No,No,,,,,,,,,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.9444,,,,,,,,,,,,,
