Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsHero,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,YardsAfterContactTotal,AveragesPerReceptionYardsAfterContact,AlignmentInlineRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Emari Demercado,ARZ,RB,9,No,No,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,
Samaje Perine,KC,RB,16,No,No,No,13,,Yes,Yes,,,,,,,,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.9231,,,,,,,,,,,,,
Myles Gaskin,MIN,RB,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,
Jordan Whittington,LA,WR,5,Yes,Yes,Yes,4,2,No,Yes,1,0.5,0.5,1,,0.5,17,,44,,1,1,22,1,79.2,4.25,8.5,-3.2893,17,,1,3.4071,3.4071,0.4,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,15,,,,,,,,,,,,,,
Josh Whyle,TEN,TE,16,Yes,No,No,13,1,No,No,,,0.0769,,,,,,39,0.5385,0.1538,,39,1,39.6,,,-12.8,,,,1.8286,1.8286,0.0625,,,,,,,,,,,,,,17,,,,,,,,,,,,0.3077,,
Travis Etienne,JAX,RB,26,No,No,No,20,,Yes,Yes,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.85,,,,,,,,,,,,,
Jamari Thrash,CLV,WR,3,No,No,No,3,,Yes,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,24,No,Yes,Yes,16,3,Yes,Yes,2,0.6667,0.1875,1,,0.3333,20,,78,,0.125,1,26,3,97.2,1.25,6.6667,-13.0835,20,,1,7.2162,7.2162,0.1364,8,9,8.5,9.5,9,9,8.5,9,9,9,8.5,9,9,16,0.875,1,1,,1,1,,,1,,,,,
Evan Engram,JAX,TE,22,No,No,No,21,2,No,Yes,1,0.5,0.0952,1,,0.5,24,12,36,0.2381,0.2381,2,18,1,93.8,1.1429,12,-0.054,24,12,,5.8203,5.8203,0.0952,1.4,2.4,1.9,2.4,2.9,2.4,0.9,1.4,1.4,1.4,0.9,2.9,1.4,9,0.0476,,,,,,,,,13,13,0.4762,,
Miles Sanders,CAR,RB,8,No,Yes,No,6,3,Yes,No,2,0.6667,0.5,2,,0.6667,46,7,60,,0.5,1,20,2,109.7,7.6667,15.3333,4.6135,23,3.5,2,4.6799,4.6799,0.375,4.6,6.6,5.6,7.6,6.6,6.6,5.6,6.6,6.6,6.6,5.6,6.6,6.6,11,0.5,,,,,,,,,3,1.5,,1,0.5
Will Dissly,LAC,TE,33,No,No,No,31,4,No,No,3,0.75,0.129,2,,0.5,53,9,78,0.3871,0.1935,2,19.5,3,135.4,1.7097,13.25,1.6387,26.5,4.5,2,8.0305,8.0305,0.125,11.3,13.3,12.3,13.3,14.3,13.3,12.3,13.3,13.3,13.3,12.3,14.3,13.3,15,,,,,1,,,,,7,3.5,0.4194,,
KhaDarel Hodge,ATL,WR,7,No,Yes,No,7,,Yes,No,,,,,,,,,,0.1429,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Marquez Valdes-Scantling,NO,WR,29,No,Yes,Yes,28,9,No,No,5,0.5556,0.3214,3,,0.3333,93,9,234,0.2857,0.7143,6,26,7,112.5,3.3214,10.3333,-1.292,31,3,3,21.4824,21.4824,0.4286,21.3,24.3,22.8,24.3,24.3,24.3,22.8,24.3,24.3,24.3,22.8,24.3,24.3,14,,1,4,,2,1,,,,3,1,,,
Jake Bobo,SEA,WR,6,Yes,Yes,Yes,5,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,9,Yes,Yes,No,8,1,No,No,1,1,0.125,,,,,,15,0.5,0.125,,15,,39.6,,,-10.6391,,,,1.2477,1.2477,0.1111,,,,,,,,,,,,,,17,,,,,,,,,,,,0.375,,
Parris Campbell,PHI,WR,3,No,Yes,No,3,,No,No,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Adonai Mitchell,IND,WR,23,No,No,No,23,14,Yes,Yes,5,0.3571,0.6087,3,2,0.2143,76,4,364,0.2174,0.7826,13,26,12,49.7,3.3043,5.4286,-6.293,25.3333,1.3333,2,38.6646,38.6646,0.6667,7.6,10.6,9.1,10.6,10.6,10.6,9.1,10.6,10.6,10.6,9.1,10.6,10.6,17,,,4,,,,1,0.0714,1,,,,,
Robbie Chosen,MIA,WR,3,No,Yes,No,3,1,Yes,Yes,,,0.3333,,,,,,16,,1,1,16,,,,,-10.0952,,,,1.4851,1.4851,0.3333,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,29,Yes,No,No,29,6,No,No,3,0.5,0.2069,3,,0.5,163,69,180,0.1379,0.8621,6,30,5,135.4,5.6207,27.1667,14.8641,54.3333,23,3,11.7772,11.7772,0.2143,34.3,37.3,35.8,37.3,37.3,40.3,38.8,37.3,37.3,37.3,35.8,37.3,37.3,17,,,1,,3,1,,,,,,,,
Ben Sims,GB,TE,5,No,Yes,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,1,,
DeAndre Carter,CHI,WR,5,Yes,Yes,No,5,1,No,No,,,0.2,,,,,,31,0.8,0.2,,31,1,39.6,,,-12.5972,,,,1.9976,1.9976,0.2,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
Hunter Long,LA,TE,5,Yes,Yes,Yes,4,,No,Yes,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,0.75,,
Kayshon Boutte,NE,WR,24,No,No,No,24,10,No,No,4,0.4,0.4167,4,,0.4,123,5,240,0.125,0.875,6,24,6,126.3,5.125,12.3,0.9623,30.75,1.25,4,21.6066,21.6066,0.4348,24.3,28.3,26.3,28.3,28.3,31.3,29.3,28.3,28.3,28.3,26.3,28.3,28.3,15,,1,,1,2,,,,,2,0.5,,,
Steven Sims,BLT,WR,1,No,No,No,1,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
Tommy Tremble,CAR,TE,21,No,Yes,No,17,1,Yes,No,1,1,0.0588,1,,1,38,19,19,0.4706,0.1176,,19,,118.8,2.2353,38,27.4045,38,19,1,1.65,1.65,0.0476,3.8,4.8,4.3,4.8,5.3,4.8,4.3,4.8,4.8,4.8,4.3,5.3,4.8,12,,,,,,,,,,5,5,0.4118,,
Jonathan Mingo,DAL,WR,17,Yes,Yes,No,17,3,No,No,,,0.1765,,,,,,58,0.2353,0.7059,2,19.3333,1,39.6,,,-11.0673,,,,10.1103,10.1103,0.1765,,,,,,,,,,,,,,17,0.0588,,1,,,,,,,,,,,
Cooper Kupp,LA,WR,23,Yes,Yes,Yes,23,8,No,Yes,4,0.5,0.3478,4,1,0.5,102,25,169,0.7391,0.2609,8,21.125,5,95.8,4.4348,12.75,1.6048,25.5,6.25,4,16.0798,16.0798,0.3478,10.2,14.2,12.2,14.2,14.2,17.2,15.2,14.2,14.2,14.2,12.2,14.2,14.2,12,,,1,,,,,,,4,1,,,
Adam Trautman,DEN,TE,21,No,No,No,7,2,Yes,Yes,2,1,0.2857,2,1,1,36,,41,0.1429,,1,20.5,1,158.3,5.1429,18,4.4386,18,,2,4.2121,4.2121,0.1053,9.6,11.6,10.6,11.6,12.6,11.6,10.6,11.6,11.6,11.6,10.6,12.6,11.6,17,,,1,,1,1,,,1,-1,-0.5,0.8571,,
D'Andre Swift,CHI,RB,26,No,Yes,No,22,2,No,Yes,1,0.5,0.0909,1,,0.5,30,6,43,0.0455,0.1818,,21.5,1,95.8,1.3636,15,4.6481,30,6,1,3.0391,3.0391,0.0909,3,4,3.5,4.5,4,4,3.5,4,4,4,3.5,4,4,17,0.7727,,,,,,,,,3,3,,,
Ja'Marr Chase,CIN,WR,37,No,Yes,No,37,15,No,No,8,0.5333,0.4054,4,,0.2667,139,34,372,0.3514,0.6486,12,24.8,10,65.7,3.7568,9.2667,-2.5016,34.75,8.5,4,36.6886,36.6886,0.4054,25.9,29.9,27.9,29.9,29.9,32.9,30.9,29.9,29.9,29.9,27.9,29.9,29.9,17,,2,,,2,,2,0.1333,1,5,1.25,,,
Sincere McCormick,LV,RB,4,No,No,No,4,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,
Tyler Conklin,NYJ,TE,46,No,Yes,Yes,41,5,No,Yes,3,0.6,0.122,3,,0.6,65,14,84,0.6098,0.0976,2,16.8,,143.8,1.5854,13,2.4302,21.6667,4.6667,3,11.0573,11.0573,0.1111,12.5,15.5,14,15.5,17,15.5,14,15.5,15.5,15.5,14,17,15.5,16,,,,,1,,,,1,4,1.3333,0.2927,,
K.J. Osborn,WAS,WR,4,No,Yes,Yes,4,,No,No,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
Justice Hill,BLT,RB,24,No,Yes,Yes,17,1,No,No,1,1,0.0588,1,,1,19,,22,,,,22,1,158.3,1.1176,19,7.0571,19,,1,3.0808,3.0808,0.0455,7.9,8.9,8.4,9.4,8.9,8.9,8.4,8.9,8.9,8.9,8.4,8.9,8.9,16,1,,1,,1,1,,,1,,,,,
James Conner,ARZ,RB,23,Yes,Yes,Yes,13,,No,Yes,,,,,,,,,,,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.9231,,,,,,,,,,,,,
Blake Watson,DEN,RB,1,No,No,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,
Chris Brooks,GB,RB,8,No,Yes,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,
Christian Watson,GB,WR,25,No,Yes,No,24,9,No,Yes,5,0.5556,0.375,5,,0.5556,202,35,273,0.3333,0.6667,6,30.3333,8,100.5,8.4167,22.4444,10.1538,40.4,7,5,24.548,24.548,0.375,20.2,25.2,22.7,25.2,25.2,28.2,25.7,25.2,25.2,25.2,22.7,25.2,25.2,15,,3,1,3,,,,,,12,2.4,,,
Dallin Holker,NO,TE,4,No,Yes,Yes,3,1,No,No,,,0.3333,,,,,,30,0.6667,,,30,1,39.6,,,-13.2292,,,,3.5705,3.5705,0.3333,,,,,,,,,,,,,,12,,,,,,,,,,,,0.3333,,
Jonathon Brooks,CAR,RB,2,No,No,Yes,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,12,No,No,Yes,9,,Yes,Yes,,,,,,,,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.8889,,,,,,,,,,,,,
Laviska Shenault,LAC,WR,1,No,Yes,Yes,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,
Josh Oliver,MIN,TE,20,No,Yes,Yes,14,2,No,Yes,1,0.5,0.1429,,,,,,70,0.0714,0.2143,1,35,2,39.6,,,-13.9167,,,,2.3162,2.3162,0.1,,,,,,,,,,,,,,15,,1,1,,,,,,,,,0.7143,,
Nick Chubb,CLV,RB,4,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.5,,,,,,,,,,,0.5,,
Michael Carter,ARZ,RB,4,No,Yes,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,
Bucky Irving,TB,RB,16,No,Yes,Yes,13,,No,No,,,,,,,,,,0.0769,0.1538,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7692,,,,,,,,,,,,,
D.J. Moore,CHI,WR,55,No,Yes,No,55,9,No,Yes,4,0.4444,0.1636,3,1,0.3333,103,13,223,0.2364,0.7636,7,24.7778,8,114.6,1.8727,11.4444,-0.3521,34.3333,4.3333,3,22.3882,22.3882,0.1915,16.3,19.3,17.8,19.3,19.3,22.3,20.8,19.3,19.3,19.3,17.8,19.3,19.3,17,,2,2,1,1,,,,,,,,,
Keaton Mitchell,BLT,RB,2,No,No,No,2,,Yes,Yes,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.5,,,,,,,,,,,,,
Brenden Bates,CLV,TE,1,No,No,No,1,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,53,No,Yes,No,53,18,No,Yes,4,0.2222,0.3396,4,,0.2222,84,1,426,0.3774,0.6226,14,23.6667,10,46.5,1.5849,4.6667,-6.7589,21,0.25,3,35.556,35.556,0.4,8.4,12.4,10.4,12.4,12.4,12.4,10.4,12.4,12.4,12.4,10.4,12.4,12.4,17,,2,3,2,,,,,3,,,,,
Colby Parkinson,LA,TE,21,Yes,Yes,Yes,18,1,No,Yes,,,0.0556,,,,,,17,0.1111,0.1667,1,17,,39.6,,,-11.6807,,,,2.7772,2.7772,0.0476,,,,,,,,,,,,,,17,,1,,,,,,,,,,0.7222,,
Foster Moreau,NO,TE,32,No,Yes,Yes,19,6,No,No,5,0.8333,0.3158,5,1,0.8333,110,8,143,0.2632,0.0526,6,23.8333,3,158.3,5.7895,18.3333,8.5518,22,1.6,5,16.8248,16.8248,0.2069,23,28,25.5,28,30.5,31,28.5,28,28,28,25.5,30.5,28,17,,,3,,2,2,,,1,4,0.8,0.6842,,
Tyler Allgeier,ATL,RB,6,No,Yes,No,5,,Yes,No,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8,,,,,,,,,,,,,
Devaughn Vele,DEN,WR,17,No,No,No,17,2,Yes,Yes,2,1,0.1176,2,2,1,32,,32,0.5882,0.3529,,16,,118.8,1.8824,16,5.9048,16,,2,5.5844,5.5844,0.1176,3.2,5.2,4.2,5.2,5.2,5.2,4.2,5.2,5.2,5.2,4.2,5.2,5.2,13,0.0588,,,,,,,,1,,,,,
Trey Sermon,IND,RB,26,No,No,No,16,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,
Josh Downs,IND,WR,28,No,No,No,28,3,Yes,Yes,3,1,0.1071,3,2,1,76,7,69,0.8214,0.1786,3,23,2,118.8,2.7143,25.3333,13.1012,25.3333,2.3333,3,8.373,8.373,0.125,7.6,10.6,9.1,10.6,10.6,10.6,9.1,10.6,10.6,10.6,9.1,10.6,10.6,14,,,,,,,,,,,,,,
Zamir White,LV,RB,4,Yes,No,Yes,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,
Ameer Abdullah,LV,RB,18,No,No,No,12,,No,No,,,,,,,,,,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.9167,,,,,,,,,,,,,
Devin Singletary,NYG,RB,10,Yes,Yes,No,5,,No,Yes,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.8,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,32,No,Yes,No,28,4,Yes,No,1,0.25,0.1429,1,,0.25,28,8,71,0.3571,0.2857,2,17.75,1,56.3,1,7,-3.6849,28,8,1,9.1199,9.1199,0.129,2.8,3.8,3.3,3.8,4.3,3.8,3.3,3.8,3.8,3.8,3.3,4.3,3.8,16,,1,,,,,,,1,2,2,0.3571,,
Tanner Conner,MIA,TE,1,Yes,No,No,1,1,No,Yes,,,1,,,,,,39,,1,1,39,1,39.6,,,-12.8,,,,1.2767,1.2767,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
Quintin Morris,BUF,TE,8,No,No,No,7,1,No,No,,,0.1429,,,,,,32,0.4286,0.1429,1,32,1,39.6,,,-12.8846,,,,1.25,1.25,0.1429,,,,,,,,,,,,,,16,,,,,,,,,,,,0.4286,,
Teagan Quitoriano,HST,TE,1,No,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,1,,
Ashton Dulin,IND,WR,8,No,No,No,8,2,Yes,Yes,1,0.5,0.25,1,,0.5,54,35,58,0.375,0.625,2,29,1,135.4,6.75,27,13.5881,54,35,1,3.316,3.316,0.2857,11.4,12.4,11.9,12.4,12.4,12.4,11.9,12.4,12.4,12.4,11.9,12.4,12.4,15,,,,,1,,,,,8,8,,1,1
Jauan Jennings,SF,WR,21,No,Yes,No,21,6,No,No,3,0.5,0.2857,3,,0.5,74,8,140,0.4762,0.5238,5,23.3333,4,55.6,3.5238,12.3333,1.2131,24.6667,2.6667,3,12.457,12.457,0.3158,7.4,10.4,8.9,10.4,10.4,10.4,8.9,10.4,10.4,10.4,8.9,10.4,10.4,15,,1,1,1,,,,,,5,1.6667,,1,0.3333
Hassan Haskins,LAC,RB,7,No,No,No,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,23,No,No,No,12,2,Yes,Yes,1,0.5,0.1667,1,,0.5,22,4,49,0.1667,,1,24.5,1,89.6,1.8333,11,-3.0033,22,4,1,2.6164,2.6164,0.0909,2.2,3.2,2.7,3.2,3.7,3.2,2.7,3.2,3.2,3.2,2.7,3.7,3.2,17,,,,,,,,,,1,1,0.8333,,
Jaylen Warren,PIT,RB,13,No,Yes,No,6,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.8333,,,,,,,,,,,0.1667,,
Kendrick Bourne,NE,WR,15,No,No,No,15,3,No,No,3,1,0.2,2,,0.6667,55,5,76,0.1333,0.8667,3,25.3333,2,109.7,3.6667,18.3333,5.9645,27.5,2.5,2,6.3192,6.3192,0.2,5.5,7.5,6.5,7.5,7.5,7.5,6.5,7.5,7.5,7.5,6.5,7.5,7.5,12,,1,,,,,,,,2,1,,,
Juwan Johnson,NO,TE,39,No,Yes,Yes,35,7,No,No,4,0.5714,0.2,3,1,0.4286,53,2,134,0.4571,0.1714,6,19.1429,2,108.9,1.5143,7.5714,-2.3948,17.6667,0.6667,3,13.2118,13.2118,0.2059,11.3,14.3,12.8,14.3,15.8,14.3,12.8,14.3,14.3,14.3,12.8,15.8,14.3,17,,2,1,1,1,1,,,1,-1,-0.3333,0.3714,,
David Montgomery,DET,RB,13,Yes,No,No,7,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,,,,,
Mack Hollins,BUF,WR,35,No,No,No,35,6,No,No,2,0.3333,0.1714,2,,0.3333,65,6,173,0.4,0.6,4,28.8333,5,114.6,1.8571,10.8333,-1.939,32.5,3,2,13.606,13.606,0.1818,12.5,14.5,13.5,14.5,14.5,14.5,13.5,14.5,14.5,14.5,13.5,14.5,14.5,17,,,,,1,,,,,,,,,
Tyler Boyd,TEN,WR,32,No,No,Yes,31,1,Yes,Yes,,,0.0323,,,,,,17,0.7419,0.2581,1,17,,,,,-11.6653,,,,1.9275,1.9275,0.0323,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Kenneth Gainwell,PHI,RB,8,Yes,Yes,No,6,,No,Yes,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.6667,,,,,,,,,,,,,
Jordan Mims,NO,RB,3,No,Yes,Yes,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,
Jalen Brooks,DAL,WR,17,Yes,Yes,No,17,6,No,No,3,0.5,0.3529,2,,0.3333,58,-1,177,0.1765,0.8235,3,29.5,5,70.1,3.4118,9.6667,-2.4552,29,-0.5,2,9.8059,9.8059,0.3529,11.8,13.8,12.8,13.8,13.8,13.8,12.8,13.8,13.8,13.8,12.8,13.8,13.8,14,,1,1,,1,1,,,1,-1,-0.5,,,
Kevin Austin,NO,WR,17,No,Yes,Yes,15,3,No,No,1,0.3333,0.2,1,,0.3333,18,1,91,0.2,0.8,1,30.3333,2,54.9,1.2,6,-6.7013,18,1,1,10.0999,10.0999,0.2143,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,8,,,,,,,,,,,,,,
Jamison Crowder,WAS,WR,4,Yes,Yes,No,4,1,No,No,,,0.25,,,,,,16,1,,,16,,39.6,,,-10.0952,,,,1.2743,1.2743,0.3333,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,17,Yes,Yes,No,16,3,No,No,,,0.1875,,,,,,84,0.8125,0.125,2,28,2,39.6,,,-11.6638,,,,6.8601,6.8601,0.1765,,,,,,,,,,,,,,17,0.0625,,,,,,,,,,,,,
