Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetsContestedTotal,ReceptionsContested,AlignmentInlineRoutesPercentage,TouchdownsTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerTargetDropsTotal,TouchdownsInEndzone,ReceptionsHero,DeepTargetTargetsTotal
Samaje Perine,KC,RB,35,No,No,No,25,5,No,Yes,3,0.6,1,0.2,2,0.4,37,27,4,19,1,2,1,0.2,3.8,66.3,1.48,7.4,-0.3435,18.5,13.5,2,3,11.3113,11.3113,0.1562,3.7,5.7,4.7,6.7,5.7,5.7,4.7,5.7,5.7,5.7,4.7,5.7,5.7,2,17,,,,,,,,,,,,,
Ryan Flournoy,DAL,WR,11,No,No,Yes,11,2,Yes,Yes,2,1,,0.1818,2,1,29,9,1,20,,1,,,10,118.8,2.6364,14.5,6.1137,14.5,4.5,0.5,2,2.8955,2.8955,0.2,2.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,,11,0.1818,0.8182,,,,,,,,,,,
Mike Gesicki,CIN,TE,71,No,No,No,68,15,No,Yes,14,0.9333,1,0.2206,13,0.8667,180,60,16,137,,9,,,9.1333,116.7,2.6471,12,3.9382,13.8462,4.6154,1.2308,12,27.9845,27.9845,0.2239,18,31,24.5,31,37.5,34,27.5,31,31,31,24.5,37.5,31,2,17,0.6765,0.2353,3,2,0.0882,,,,,,,,
D'Onta Foreman,CLV,RB,9,No,No,Yes,7,1,No,No,1,1,,0.1429,1,1,6,3,,3,0.7143,,,,3,91.7,0.8571,6,-0.5094,6,3,,,2.7125,2.7125,0.1111,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,11,0.1429,0.1429,,,,,,,,,,,
Deebo Samuel,SF,WR,73,No,Yes,Yes,72,20,No,Yes,15,0.75,,0.2778,10,0.5,106,72,20,116,0.0833,16,2,0.1,5.8,99.2,1.4722,5.3,-1.3615,10.6,7.2,2,6,31.8666,31.8666,0.274,22.6,32.6,27.6,32.6,32.6,35.6,30.6,32.6,32.6,32.6,27.6,32.6,32.6,2,15,0.3333,0.5556,1,,0.0278,2,3,2,0.2,0.15,,,
Devin Duvernay,JAX,WR,17,No,Yes,Yes,17,1,No,No,1,1,,0.0588,1,1,5,1,1,4,,,,,4,87.5,0.2941,5,-1.0498,5,1,1,1,1.3496,1.3496,0.0625,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,13,0.5294,0.4706,,,,,,,,,,,
Clyde Edwards-Helaire,NO,RB,4,No,No,Yes,4,1,No,Yes,1,1,,0.25,1,1,2,5,2,-3,0.75,1,1,1,-3,79.2,0.5,2,-4.1191,2,5,2,,1.6239,1.6239,0.25,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,2,,,,,0.25,,,,,,,,
Nikko Remigio,KC,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.5,,,,0.5,,,,,,,,
Hayden Hurst,LAC,TE,21,No,No,Yes,19,3,No,No,1,0.3333,1,0.1579,1,0.3333,6,1,1,12,,2,1,0.3333,4,42.4,0.3158,2,-4.7046,6,1,1,,5.6933,5.6933,0.15,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,1,9,0.5263,0.1579,,,0.3158,,,,,,,,
Dalvin Cook,DAL,RB,2,No,Yes,No,1,1,No,Yes,1,1,,1,1,1,10,6,1,4,1,1,,,4,108.3,10,10,3.3381,10,6,1,1,1.4352,1.4352,0.5,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,,2,,,,,,,,,,,,,
