Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,AlignmentInlineRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TouchdownsTotal,TargetsInEndzone,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Adonai Mitchell,IND,WR,15,No,Yes,No,15,4,Yes,Yes,2,0.5,0.2667,1,0.25,30,4,2,124,1,0.4667,0.5333,3,31,4,58.3,2,7.5,-5.4348,0.25,30,4,2,1,10.3478,10.3478,0.2667,3,4,3.5,4,4,4,3.5,4,4,4,3.5,4,4,17,,,,,,,,,,,
Connor Heyward,PIT,TE,5,No,No,No,3,1,No,No,1,1,0.3333,,,,,,29,,,0.3333,1,29,1,39.6,,,-11.2203,,,,,,1.0026,1.0026,0.25,,,,,,,,,,,,,,16,0.6667,,,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,20,No,No,Yes,20,6,No,No,6,1,0.3,5,0.8333,109,10,3,116,,0.1,0.9,5,19.3333,1,118.8,5.45,18.1667,6.7354,,21.8,2,0.6,4,13.5298,13.5298,0.3,10.9,15.9,13.4,15.9,15.9,18.9,16.4,15.9,15.9,15.9,13.4,15.9,15.9,17,,2,1,1,,,,,,,
Brevyn Spann-Ford,DAL,TE,6,No,Yes,No,6,,No,No,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,0.5,,,,,,
Tyler Higbee,LA,TE,3,No,Yes,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,
Parris Campbell,PHI,WR,7,No,No,Yes,7,,Yes,Yes,,,,,,,,,,,0.7143,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
Jake Bobo,SEA,WR,10,No,Yes,No,10,1,No,Yes,,,0.1,,,,,,19,,0.5,0.5,1,19,,39.6,,,-11.9321,,,,,,1.398,1.398,0.1,,,,,,,,,,,,,,17,,,,,,,,,,,
Marquez Valdes-Scantling,NO,WR,16,No,Yes,Yes,16,7,No,No,4,0.5714,0.4375,2,0.2857,89,28,20,196,,0.125,0.875,5,28,5,79.2,5.5625,12.7143,0.3182,,44.5,14,10,2,16.3671,16.3671,0.4375,8.9,10.9,9.9,10.9,10.9,10.9,9.9,10.9,10.9,10.9,9.9,10.9,10.9,14,,2,,,,,,,,,
KhaDarel Hodge,ATL,WR,9,No,No,No,9,2,No,No,1,0.5,0.2222,1,0.5,24,3,,65,,0.4444,0.5556,2,32.5,2,93.8,2.6667,12,-1.1197,,24,3,,1,4.236,4.236,0.2222,2.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,16,,,,,,,,,,,
Will Dissly,LAC,TE,11,No,No,No,9,1,No,No,1,1,0.1111,,,,,,18,1,0.3333,0.1111,1,18,,39.6,,,-12.9732,1,,,,,3.6655,3.6655,0.0909,,,,,,,,,,,,,,15,,,,,0.5556,1,,,,,
