Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero,AlignmentInlineRoutesPercentage,DeepTargetTargetsTotal
Sione Vaki,DET,RB,6,No,No,No,5,1,No,No,1,1,0.2,1,1,12,14,4,-2,0.8,0.2,-2,116.7,2.4,12,5.802,12,14,4,1,1.2747,1.2747,0.1667,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,11,,,,,,,,,,,,,,,,,
Demario Douglas,NE,WR,142,No,Yes,No,133,30,No,No,26,0.8667,0.2256,26,0.8667,188,158,51,60,0.0226,0.1955,2,92.8,1.4135,6.2667,0.464,7.2308,6.0769,1.9615,10,48.1966,48.1966,0.2239,18.8,44.8,31.8,44.8,44.8,47.8,34.8,44.8,44.8,44.8,31.8,44.8,44.8,17,1,0.0385,0.782,24,9,0.3,1,,,,,,,,,,
Tank Dell,HST,WR,136,Yes,No,No,123,27,No,Yes,20,0.7407,0.2195,17,0.6296,132,53,13,205,,0.7805,7.5926,99.6,1.0732,4.8889,-2.6641,7.7647,3.1176,0.7647,9,55.4634,55.4634,0.2177,25.2,42.2,33.7,42.2,42.2,45.2,36.7,42.2,42.2,42.2,33.7,42.2,42.2,14,,,0.2195,18,2,0.0741,7,4,4,2,2,2,2,0.0741,,,
Garrett Wilson,NYJ,WR,197,No,No,Yes,184,43,No,Yes,34,0.7907,0.2337,29,0.6744,251,173,69,201,0.0054,0.6848,4.6744,78.7,1.3641,5.8372,-0.7786,8.6552,5.9655,2.3793,13,84.5033,84.5033,0.2389,37.1,66.1,51.6,66.1,66.1,69.1,54.6,66.1,66.1,66.1,51.6,66.1,66.1,17,8,0.2759,0.3098,36,6,0.1395,11,7,4,5,2,2,2,0.0465,1,,
Xavier Weaver,ARZ,WR,9,No,No,No,9,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Deuce Vaughn,DAL,RB,12,No,No,Yes,6,1,Yes,Yes,,,0.1667,,,,,,-4,1,,-4,39.6,,,-5.5699,,,,,3.4945,3.4945,0.1,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
Jeff Wilson,MIA,RB,11,No,No,Yes,7,,No,Yes,,,,,,,,,,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,0.1429,,,,,,,,,,,,,,
Kenny McIntosh,SEA,RB,8,Yes,No,No,5,1,No,Yes,1,1,0.2,1,1,5,2,,3,0.8,0.2,3,87.5,1,5,-1.5094,5,2,,,1.4333,1.4333,0.1429,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,11,,,,1,,,,,,,,,,,,,
Kameron Johnson,TB,WR,6,No,Yes,No,6,,No,No,,,,,,,,,,,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,0.1667,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,35,No,No,Yes,24,6,No,Yes,6,1,0.25,6,1,25,51,14,-26,0.8333,0.0417,-4.3333,84,1.0417,4.1667,-1.4377,4.1667,8.5,2.3333,2,12.2917,12.2917,0.1818,2.5,8.5,5.5,11.5,8.5,8.5,5.5,8.5,8.5,8.5,5.5,8.5,8.5,17,1,0.1667,0.0833,4,4,0.6667,1,,,,,,,,,0.0417,
Quentin Johnston,LAC,WR,114,No,No,No,106,26,No,Yes,25,0.9615,0.2453,20,0.7692,158,105,51,120,,0.8585,4.6154,130,1.4906,6.0769,-0.4711,7.9,5.25,2.55,10,41.2658,41.2658,0.243,33.8,53.8,43.8,53.8,53.8,56.8,46.8,53.8,53.8,53.8,43.8,53.8,53.8,15,5,0.25,0.1415,18,3,0.1154,4,1,2,,3,2,5,0.1923,,,
Dyami Brown,WAS,WR,81,No,No,Yes,68,19,Yes,Yes,19,1,0.2794,17,0.8947,112,118,54,17,,0.8088,0.8947,91.2,1.6471,5.8947,-0.0358,6.5882,6.9412,3.1765,6,30.1617,30.1617,0.25,10.2,27.2,18.7,27.2,27.2,30.2,20.7,26.2,26.2,26.2,17.7,27.2,26.2,16,6,0.3529,0.1912,15,12,0.6316,2,1,1,,,,1,0.0526,,,
Johnny Wilson,PHI,WR,44,No,Yes,No,37,4,No,Yes,2,0.5,0.1081,1,0.25,9,3,1,23,0.027,0.6486,5.75,39.6,0.2432,2.25,-4.2866,9,3,1,1,5.5788,5.5788,0.0952,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,16,,,0.2703,3,,,,,,,,,1,0.25,,0.0541,
Erik Ezukanma,MIA,WR,1,No,Yes,Yes,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
MarShawn Lloyd,GB,RB,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Chris Manhertz,NYG,TE,41,No,Yes,No,17,3,No,Yes,2,0.6667,0.1765,2,0.6667,18,14,4,17,,,5.6667,122.2,1.0588,6,-0.8729,9,7,2,2,6.4951,6.4951,0.0789,7.8,9.8,8.8,9.8,10.8,9.8,8.8,9.8,9.8,9.8,8.8,10.8,9.8,17,,,0.1765,2,,,1,1,1,1,1,1,,,,0.8235,
Blake Whiteheart,CLV,TE,23,No,No,No,14,2,No,Yes,2,1,0.1429,2,1,9,6,3,3,,0.0714,1.5,85.4,0.6429,4.5,-1.3054,4.5,3,1.5,,2.5448,2.5448,0.125,0.9,2.9,1.9,2.9,3.9,2.9,1.9,2.9,2.9,2.9,1.9,3.9,2.9,11,1,0.5,0.1429,1,,,,,,,,,,,,0.7857,
Braelon Allen,NYJ,RB,51,No,No,Yes,34,9,No,Yes,8,0.8889,0.2647,7,0.7778,38,56,17,-17,0.9118,,-1.8889,84.3,1.1176,4.2222,-1.4564,5.4286,8,2.4286,1,12.9943,12.9943,0.1915,3.8,10.8,7.3,14.3,10.8,10.8,7.3,10.8,10.8,10.8,7.3,10.8,10.8,17,1,0.1429,0.0882,5,2,0.2222,,,,,,,1,0.1111,,,
Josiah Deguara,JAX,TE,12,No,No,No,9,2,No,No,2,1,0.2222,2,1,6,7,3,-1,0.1111,0.2222,-0.5,79.2,0.6667,3,-3.1176,3,3.5,1.5,,4.05,4.05,0.2,0.6,2.6,1.6,2.6,3.6,2.6,1.6,2.6,2.6,2.6,1.6,3.6,2.6,13,,,0.4444,1,,,1,,,,,,,,,0.2222,
Adam Thielen,CAR,WR,86,No,No,No,84,10,No,Yes,8,0.8,0.119,8,0.8,58,17,3,84,,0.2738,8.4,124.2,0.6905,5.8,-2.0423,7.25,2.125,0.375,3,19.5607,19.5607,0.1389,11.8,19.8,15.8,19.8,19.8,19.8,15.8,19.8,19.8,19.8,15.8,19.8,19.8,10,,,0.7262,9,,,2,,2,,1,1,,,,,
Elijah Higgins,ARZ,TE,51,No,No,No,41,9,No,No,9,1,0.2195,8,0.8889,60,35,11,31,0.0244,0.0976,3.4444,94.4,1.4634,6.6667,0.1344,7.5,4.375,1.375,3,16.4799,16.4799,0.1915,6,14,10,14,18,14,10,14,14,14,10,18,14,17,2,0.25,0.2683,5,,,1,,,,,,,,,0.6098,
Dan Chisena,CAR,WR,4,No,No,No,4,1,No,Yes,1,1,0.25,1,1,8,,,8,,1,8,100,2,8,0.4894,8,,,1,1.3123,1.3123,0.3333,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,5,,,,,,,,,,,,,,,,,
Jonnu Smith,MIA,TE,133,No,No,Yes,113,34,No,Yes,32,0.9412,0.3009,30,0.8824,237,186,56,59,0.0442,0.2035,1.7353,105.5,2.0973,6.9706,0.5882,7.9,6.2,1.8667,15,53.1031,53.1031,0.2698,28.7,58.7,43.7,58.7,73.7,61.7,45.7,57.7,57.7,57.7,42.7,73.7,57.7,17,3,0.1,0.5487,27,10,0.2941,4,,1,,1,1,1,0.0294,2,0.2035,
Harrison Bryant,LV,TE,30,No,No,No,19,4,No,Yes,4,1,0.2105,4,1,37,37,14,,,0.0526,,105.2,1.9474,9.25,3.4522,9.25,9.25,3.5,2,5.561,5.561,0.1538,3.7,7.7,5.7,7.7,9.7,7.7,5.7,7.7,7.7,7.7,5.7,9.7,7.7,13,2,0.5,0.3158,3,,,,,,,,,,,,0.6316,
Tylan Wallace,BLT,WR,29,No,No,No,22,2,No,Yes,1,0.5,0.0909,1,0.5,2,4,,6,,0.4091,3,56.3,0.0909,1,-5.5049,2,4,,,2.7248,2.7248,0.0714,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,17,,,0.5909,2,1,0.5,,,,,,,,,,,
Charlie Woerner,ATL,TE,35,No,No,No,20,5,No,Yes,4,0.8,0.25,4,0.8,16,13,3,5,,0.2,1,80,0.8,3.2,-2.8336,4,3.25,0.75,1,7.6252,7.6252,0.1515,1.6,5.6,3.6,5.6,7.6,5.6,3.6,5.6,5.6,5.6,3.6,7.6,5.6,16,,,0.3,2,,,,,,,,,,,,0.5,
Mason Kinsey,TEN,WR,8,No,Yes,No,6,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,
Josh Palmer,LAC,WR,118,Yes,No,Yes,116,19,No,Yes,15,0.7895,0.1638,14,0.7368,106,19,7,132,,0.7069,6.9474,86.7,0.9138,5.5789,-1.5258,7.5714,1.3571,0.5,5,36.9651,36.9651,0.1792,10.6,24.6,17.6,24.6,24.6,27.6,20.6,24.6,24.6,24.6,17.6,24.6,24.6,15,1,0.0714,0.2931,15,2,0.1053,2,2,,1,,,,,,,
Antonio Gibson,NE,RB,62,No,Yes,No,41,11,No,No,10,0.9091,0.2683,10,0.9091,80,90,29,-10,0.7805,0.1463,-0.9091,59.1,1.9512,7.2727,1.2285,8,9,2.9,7,15.8662,15.8662,0.2,8,18,13,23,18,18,13,18,18,18,13,18,18,17,3,0.3,0.0488,5,5,0.4545,1,,,,,,,,1,0.0244,
Chris Moore,ARZ,WR,2,No,No,Yes,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,63,Yes,No,No,60,14,No,Yes,11,0.7857,0.2333,10,0.7143,95,43,10,72,,0.6833,5.1429,60.1,1.5833,6.7857,0.0515,9.5,4.3,1,5,21.2977,21.2977,0.25,9.5,19.5,14.5,19.5,19.5,19.5,14.5,19.5,19.5,19.5,14.5,19.5,19.5,17,1,0.1,0.3167,12,2,0.1429,1,1,,,,,,,,,
Justin Shorter,LV,TE,3,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,169,No,No,No,142,42,No,Yes,38,0.9048,0.2958,37,0.881,281,185,27,221,0.0211,0.5141,5.2619,134.1,1.9789,6.6905,-0.0348,7.5946,5,0.7297,19,74.856,74.856,0.2819,58.1,95.1,76.6,95.1,95.1,98.1,79.6,95.1,95.1,95.1,76.6,95.1,95.1,17,3,0.0811,0.4648,36,7,0.1667,11,3,4,2,5,2,,,1,,1
David Moore,CAR,WR,102,No,No,No,94,18,No,Yes,16,0.8889,0.1915,13,0.7222,118,25,12,133,,0.7872,7.3889,108.1,1.2553,6.5556,-0.7932,9.0769,1.9231,0.9231,6,30.5802,30.5802,0.2143,17.8,30.8,24.3,30.8,30.8,33.8,27.3,30.8,30.8,30.8,24.3,30.8,30.8,17,1,0.0769,0.2128,15,1,0.0556,3,4,1,2,1,,1,0.0556,1,,
Isaiah Williams,CIN,WR,4,No,No,No,4,1,No,Yes,1,1,0.25,1,1,2,6,6,-4,,0.25,-4,79.2,0.5,2,-2.4851,2,6,6,,1.4435,1.4435,0.3333,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,8,2,2,0.75,1,1,1,,,,,,,,,,,
Jacob Cowing,SF,WR,17,No,No,No,16,2,No,No,2,1,0.125,2,1,25,22,7,3,,0.5,1.5,118.8,1.5625,12.5,6.7252,12.5,11,3.5,1,7.1214,7.1214,0.1176,2.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,15,,,0.5,1,1,0.5,1,,,,,,,,,,
Calvin Austin,PIT,WR,104,No,No,No,101,12,No,Yes,11,0.9167,0.1188,10,0.8333,62,40,17,40,,0.3366,3.3333,88.2,0.6139,5.1667,-1.3155,6.2,4,1.7,3,18.6174,18.6174,0.1304,6.2,16.2,11.2,16.2,16.2,16.2,11.2,16.2,16.2,16.2,11.2,16.2,16.2,17,1,0.1,0.6634,10,5,0.4167,,1,,1,,,1,0.0833,,,
Ronnie Bell,SF,WR,10,No,No,No,10,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,0.5,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,132,No,No,No,99,23,No,Yes,22,0.9565,0.2323,20,0.8696,160,181,51,-20,0.8788,0.0404,-0.8696,95.7,1.6162,6.9565,0.9945,8,9.05,2.55,9,35.7758,35.7758,0.1885,16,36,26,46,36,39,29,36,36,36,26,36,36,17,5,0.25,0.0808,11,7,0.3043,3,1,,1,,,2,0.087,,,
Jaleel McLaughlin,DEN,RB,48,Yes,No,No,35,14,No,Yes,14,1,0.4,14,1,33,92,20,-59,0.7714,0.1714,-4.2143,118.8,0.9429,2.3571,-3.0157,2.3571,6.5714,1.4286,2,21.781,21.781,0.3111,15.3,29.3,22.3,36.3,29.3,29.3,22.3,29.3,29.3,29.3,22.3,29.3,29.3,16,3,0.2143,0.0571,7,5,0.3571,3,,,,2,,,,,,
Jalen Virgil,BUF,WR,4,No,No,No,3,,Yes,Yes,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,0.3333,,,,,,,,,,,,,,
Geoff Swaim,CLV,TE,18,No,No,No,7,1,No,No,1,1,0.1429,1,1,7,5,2,2,,,2,95.8,1,7,0.6299,7,5,2,,1.3971,1.3971,0.0556,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,8,,,0.1429,,,,,,,,,,,,,0.8571,
Pat Freiermuth,PIT,TE,125,No,No,No,109,32,No,Yes,31,0.9688,0.2936,29,0.9062,247,111,40,163,0.0092,0.1835,5.0938,130.1,2.2661,7.7188,0.8113,8.5172,3.8276,1.3793,12,53.1781,53.1781,0.2936,40.7,69.7,55.2,69.7,84.2,72.7,56.2,67.7,67.7,67.7,53.2,84.2,67.7,17,,,0.5872,26,1,0.0312,6,2,1,2,3,1,2,0.0625,1,0.2202,
Isiah Pacheco,KC,RB,38,No,Yes,No,26,5,No,No,5,1,0.1923,4,0.8,16,33,6,-8,0.7692,0.1154,-1.6,80,0.6154,3.2,-2.9651,4,8.25,1.5,1,9.9519,9.9519,0.1389,1.6,5.6,3.6,7.6,5.6,5.6,3.6,5.6,5.6,5.6,3.6,5.6,5.6,7,,,0.1154,2,1,0.2,1,,,,,,1,0.2,,,
Cordarrelle Patterson,PIT,RB,16,No,No,No,13,3,No,Yes,3,1,0.2308,3,1,9,16,6,-7,0.3077,0.4615,-2.3333,79.2,0.6923,3,-3.0839,3,5.3333,2,1,4.198,4.198,0.2,0.9,3.9,2.4,5.4,3.9,3.9,2.4,3.9,3.9,3.9,2.4,3.9,3.9,13,,,0.1538,2,2,0.6667,,,,,,,,,,0.0769,
Zach Charbonnet,SEA,RB,117,Yes,No,No,80,16,No,Yes,15,0.9375,0.2,15,0.9375,99,128,20,-45,0.7125,0.1375,-2.8125,92.4,1.2375,6.1875,0.1386,6.6,8.5333,1.3333,3,23.2381,23.2381,0.1649,9.9,24.9,17.4,32.4,24.9,24.9,17.4,24.9,24.9,24.9,17.4,24.9,24.9,17,2,0.1333,0.1375,6,4,0.25,1,,,,,,,,,0.0125,
Chuba Hubbard,CAR,RB,119,Yes,No,No,94,28,No,Yes,25,0.8929,0.2979,24,0.8571,79,133,50,-60,0.8085,0.1064,-2.1429,91.1,0.8404,2.8214,-2.9203,3.2917,5.5417,2.0833,5,44.3821,44.3821,0.2667,13.9,37.9,25.9,49.9,37.9,37.9,25.9,37.9,37.9,37.9,25.9,37.9,37.9,15,6,0.25,0.0851,6,4,0.1429,6,1,,,1,,,,,,
Jared Wayne,HST,WR,8,No,No,No,8,,No,Yes,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0.25,,,,,,,,,,,,,,
AJ Barner,SEA,TE,73,Yes,No,No,64,15,No,Yes,14,0.9333,0.2344,12,0.8,94,95,34,19,0.0156,0.1094,1.2667,87.2,1.4688,6.2667,0.1751,7.8333,7.9167,2.8333,7,25.8503,25.8503,0.2344,15.4,27.4,21.4,27.4,33.4,27.4,21.4,27.4,27.4,27.4,21.4,33.4,27.4,17,4,0.3333,0.4375,7,1,0.0667,4,1,,,1,,1,0.0667,,0.4375,
Rachaad White,TB,RB,124,No,No,Yes,82,25,No,Yes,23,0.92,0.3049,23,0.92,148,213,73,-72,0.8171,0.0732,-2.88,104.7,1.8049,5.92,0.1489,6.4348,9.2609,3.1739,7,37.0202,37.0202,0.2119,19.8,42.8,31.3,54.3,42.8,45.8,33.3,41.8,41.8,41.8,30.3,42.8,41.8,16,8,0.3478,0.1098,14,11,0.44,4,,,,1,,,,,,
Cam Grandy,CIN,TE,15,No,No,No,11,3,No,Yes,3,1,0.2727,3,1,19,10,6,9,0.0909,0.2727,3,93.1,1.7273,6.3333,0.1409,6.3333,3.3333,2,1,4.3414,4.3414,0.2143,1.9,4.9,3.4,4.9,6.4,4.9,3.4,4.9,4.9,4.9,3.4,6.4,4.9,8,,,0.1818,3,,,2,,,,,,,,,0.4545,
Malachi Corley,NYJ,WR,12,No,No,Yes,11,3,No,Yes,2,0.6667,0.2727,2,0.6667,14,4,3,20,,0.3636,6.6667,77.1,1.2727,4.6667,-2.3462,7,2,1.5,,6.3509,6.3509,0.2727,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,7,,,0.6364,1,1,0.3333,1,,,,,,,,,,
Elijah Moore,CLV,WR,165,No,No,No,151,31,No,Yes,26,0.8387,0.2053,23,0.7419,132,22,6,158,0.0066,0.4106,5.0968,68.2,0.8742,4.2581,-2.5066,5.7391,0.9565,0.2609,9,47.5266,47.5266,0.2095,13.2,36.2,24.7,36.2,36.2,39.2,27.7,36.2,36.2,36.2,24.7,36.2,36.2,17,,,0.5828,25,3,0.0968,1,3,,1,,,1,0.0323,2,,
Xavier Worthy,KC,WR,158,Yes,No,No,150,38,No,Yes,30,0.7895,0.2533,29,0.7632,260,197,35,129,0.0133,0.6533,3.3947,103,1.7333,6.8421,0.4847,8.9655,6.7931,1.2069,15,60.1141,60.1141,0.2695,32,61,46.5,61,61,64,49.5,61,61,61,46.5,61,61,17,5,0.1724,0.3333,32,9,0.2368,6,,2,,1,,1,0.0263,1,,
Ty Johnson,BUF,RB,61,No,Yes,No,56,5,No,No,3,0.6,0.0893,3,0.6,24,37,21,-5,0.8393,0.0714,-1,72.1,0.4286,4.8,-0.9552,8,12.3333,7,2,10.4536,10.4536,0.098,2.4,5.4,3.9,6.9,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,17,1,0.3333,0.0536,2,2,0.4,2,,,,,,,,,0.0357,
Nick Muse,MIN,TE,2,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,
Van Jefferson,PIT,WR,104,No,No,No,89,18,No,Yes,13,0.7222,0.2022,12,0.6667,86,34,20,94,,0.7416,5.2222,114.6,0.9663,4.7778,-1.8081,7.1667,2.8333,1.6667,6,33.0064,33.0064,0.1957,20.6,32.6,26.6,32.6,32.6,32.6,26.6,32.6,32.6,32.6,26.6,32.6,32.6,17,1,0.0833,0.2584,14,1,0.0556,5,2,2,2,2,1,1,0.0556,,,
Brandon Powell,MIN,WR,32,No,No,No,24,1,No,Yes,1,1,0.0417,1,1,11,5,,6,,0.5,6,112.5,0.4583,11,4.0509,11,5,,1,1.406,1.406,0.0385,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,17,,,0.5,1,,,,,,,,,,,,,
Kareem Hunt,KC,RB,73,No,Yes,No,48,9,No,No,6,0.6667,0.1875,6,0.6667,26,43,20,-25,0.8542,0.0417,-2.7778,70.1,0.5417,2.8889,-2.7723,4.3333,7.1667,3.3333,2,17.3834,17.3834,0.1324,2.6,8.6,5.6,11.6,8.6,8.6,5.6,8.6,8.6,8.6,5.6,8.6,8.6,13,,,0.0833,3,2,0.2222,4,1,,1,,,,,,0.0208,
Derrick Henry,BLT,RB,58,No,No,No,35,10,No,Yes,9,0.9,0.2857,9,0.9,67,77,31,-2,1,,-0.2,134.2,1.9143,6.7,0.617,7.4444,8.5556,3.4444,4,17.5607,17.5607,0.1887,18.7,27.7,23.2,32.2,27.7,27.7,23.2,27.7,27.7,27.7,23.2,27.7,27.7,17,3,0.3333,,4,2,0.2,5,1,,1,2,,,,,,
Robert Tonyan,MIN,TE,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,
Najee Harris,PIT,RB,65,No,No,No,47,18,No,Yes,15,0.8333,0.383,13,0.7222,87,126,25,-46,0.9149,0.0426,-2.5556,82.4,1.8511,4.8333,-0.9045,6.6923,9.6923,1.9231,4,26.6727,26.6727,0.3103,8.7,21.7,15.2,28.2,21.7,21.7,15.2,21.7,21.7,21.7,15.2,21.7,21.7,17,5,0.3846,,6,5,0.2778,3,2,,1,,,2,0.1111,,0.0426,
Chase Brown,CIN,RB,142,No,No,Yes,113,28,No,No,28,1,0.2478,24,0.8571,147,143,50,15,0.7611,0.1062,0.5357,100.4,1.3009,5.25,-0.858,6.125,5.9583,2.0833,10,45.9957,45.9957,0.2121,20.7,44.7,32.7,56.7,44.7,47.7,35.7,44.7,44.7,44.7,32.7,44.7,44.7,16,4,0.1667,0.1239,11,3,0.1071,5,4,1,1,1,1,1,0.0357,,0.0088,
Curtis Samuel,BUF,WR,67,No,Yes,No,63,21,No,No,16,0.7619,0.3333,15,0.7143,107,93,25,64,0.0159,0.5556,3.0476,78.9,1.6984,5.0952,-0.9855,7.1333,6.2,1.6667,5,37.5574,37.5574,0.3684,16.7,31.7,24.2,31.7,31.7,34.7,27.2,31.7,31.7,31.7,24.2,31.7,31.7,14,4,0.2667,0.4127,16,5,0.2381,6,4,2,3,1,,,,1,0.0159,
Tanner Hudson,CIN,TE,30,No,No,No,24,10,No,Yes,10,1,0.4167,9,0.9,73,46,18,32,0.0833,0.2083,3.2,97.1,3.0417,7.3,1.0536,8.1111,5.1111,2,3,14.427,14.427,0.3704,7.3,16.3,11.8,16.3,20.8,16.3,11.8,16.3,16.3,16.3,11.8,20.8,16.3,11,,,0.5,6,,,,,,,,,1,0.1,,0.2083,
Austin Ekeler,WAS,RB,72,No,No,Yes,54,20,Yes,Yes,20,1,0.3704,19,0.95,147,182,56,-34,0.5741,0.0926,-1.7,97.3,2.7222,7.35,1.4781,7.7368,9.5789,2.9474,5,29.5006,29.5006,0.3077,14.7,33.7,24.2,43.2,33.7,36.7,27.2,33.7,33.7,33.7,24.2,33.7,33.7,12,4,0.2105,0.3333,13,7,0.35,2,,,,,,1,0.05,,,
Jaheim Bell,NE,TE,13,No,Yes,No,9,2,No,No,2,1,0.2222,1,0.5,1,3,1,5,0.1111,0.3333,2.5,56.3,0.1111,0.5,-5.5795,1,3,1,,3.4946,3.4946,0.1667,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,13,,,0.3333,2,1,0.5,,1,,,,,1,0.5,,0.2222,
Devontez Walker,BLT,WR,4,No,No,No,3,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
Drew Sample,CIN,TE,107,No,No,No,65,8,No,Yes,7,0.875,0.1231,7,0.875,41,26,8,17,0.1538,0.0923,2.125,127.6,0.6308,5.125,-0.8994,5.8571,3.7143,1.1429,3,16.7418,16.7418,0.0825,10.1,17.1,13.6,17.1,20.6,17.1,13.6,17.1,17.1,17.1,13.6,20.6,17.1,17,,,0.1077,5,,,1,,1,,1,1,,,,0.6462,
Daniel Bellinger,NYG,TE,53,No,Yes,No,39,9,No,Yes,9,1,0.2308,9,1,65,42,22,23,0.0256,0.0513,2.5556,96.8,1.6667,7.2222,1.1757,7.2222,4.6667,2.4444,4,13.3601,13.3601,0.2,6.5,15.5,11,15.5,20,15.5,11,15.5,15.5,15.5,11,20,15.5,17,1,0.1111,0.4872,3,,,1,,,,,,,,,0.4359,
Zay Jones,ARZ,WR,46,No,No,No,40,3,No,No,3,1,0.075,3,1,11,8,3,3,,0.725,1,81.9,0.275,3.6667,-1.7611,3.6667,2.6667,1,1,6.932,6.932,0.0789,1.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,11,,,0.275,3,1,0.3333,,,,,,,,,,,
Irv Smith,HST,TE,7,No,Yes,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,0.3333,,,,,,,,,,,,,0.6667,
Ben Sinnott,WAS,TE,33,No,No,Yes,21,2,Yes,Yes,2,1,0.0952,2,1,6,6,3,,,0.1429,,118.8,0.2857,3,-2.6106,3,3,1.5,1,4.9986,4.9986,0.069,6.6,8.6,7.6,8.6,9.6,8.6,7.6,8.6,8.6,8.6,7.6,9.6,8.6,17,,,0.3333,2,1,0.5,1,,,,1,,,,,0.5238,
