Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero,AlignmentInlineRoutesPercentage,DeepTargetTargetsTotal
Malik Heath,GB,WR,20,No,No,Yes,18,5,No,Yes,3,0.6,0.2778,3,0.6,28,11,3,27,,0.8333,5.4,75.4,1.5556,5.6,-1.0125,9.3333,3.6667,1,2,7.2408,7.2408,0.2632,2.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,5.8,4.3,5.8,5.8,10,,,0.1667,5,,,,1,,1,,,,,,,
Shane Zylstra,DET,TE,13,No,No,No,9,1,No,Yes,1,1,0.1111,1,1,22,13,9,9,,0.4444,9,118.8,2.4444,22,14.7404,22,13,9,1,1.658,1.658,0.0909,2.2,3.2,2.7,3.2,3.7,3.2,2.7,3.2,3.2,3.2,2.7,3.7,3.2,12,1,1,0.2222,,,,,,,,,,,,,0.3333,
Mecole Hardman,KC,WR,28,No,No,Yes,27,6,No,Yes,5,0.8333,0.2222,5,0.8333,45,41,6,4,0.037,0.5185,0.6667,97.9,1.6667,7.5,1.8691,9,8.2,1.2,2,11.5511,11.5511,0.2308,4.5,9.5,7,9.5,9.5,9.5,7,9.5,9.5,9.5,7,9.5,9.5,12,2,0.4,0.4444,4,2,0.3333,1,,,,,,,,,,
Jack Stoll,MIA,TE,23,No,No,Yes,13,1,No,Yes,,,0.0769,,,,,,4,,,4,39.6,,,-6.0667,,,,,1.4492,1.4492,0.05,,,,,,,,,,,,,,9,,,0.3077,1,,,,,,,,,,,,0.6923,
Nate Adkins,DEN,TE,55,Yes,No,No,26,4,No,Yes,4,1,0.1538,4,1,38,38,10,,,0.0769,,106.3,1.4615,9.5,3.4357,9.5,9.5,2.5,2,5.7719,5.7719,0.0851,3.8,7.8,5.8,7.8,9.8,7.8,5.8,7.8,7.8,7.8,5.8,9.8,7.8,17,,,0.0769,2,,,,,,,,,,,,0.8462,
Luke Schoonmaker,DAL,TE,87,No,No,Yes,73,19,Yes,Yes,16,0.8421,0.2603,16,0.8421,124,75,29,69,0.0137,0.0822,3.6316,93.9,1.6986,6.5263,0.1261,7.75,4.6875,1.8125,7,29.4239,29.4239,0.2375,12.4,28.4,20.4,28.4,36.4,31.4,23.4,28.4,28.4,28.4,20.4,36.4,28.4,17,,,0.3014,13,,,1,1,1,1,,,,,,0.6027,
Trent Taylor,SF,WR,2,No,No,No,2,1,No,No,1,1,0.5,1,1,11,2,1,9,,1,9,112.5,5.5,11,3.5461,11,2,1,,1.4621,1.4621,0.5,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2,,,,,,,,,,,,,,,,,
Jaelon Darden,SEA,WR,6,Yes,No,No,6,1,No,Yes,1,1,0.1667,1,1,6,8,1,-2,,0.6667,-2,91.7,1,6,0.5009,6,8,1,1,1.5102,1.5102,0.1667,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,11,,,0.3333,1,1,1,,,,,,,,,,,
David Martin-Robinson,TEN,TE,5,No,Yes,No,3,1,No,No,1,1,0.3333,1,1,6,6,,,,0.3333,,91.7,2,6,0.711,6,6,,1,1.316,1.316,0.3333,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,5,,,0.3333,,,,,,,,,,,,,0.3333,
Chris Conley,SF,WR,24,No,No,No,21,,No,No,,,,,,,,,,,0.7143,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,0.2381,,,,,,,,,,,,,0.0476,
