Name,Team,POS,ATT,YDS,TD,YBC,YAC,MTF,1D
Pierre Strong,CLV,RB,8,26,0,0,12,0,0
Raheem Mostert,MIA,RB,27,87,1,0,70,8,0
James Cook,BUF,RB,31,105,4,0,58,14,0
Blake Corum,LA,RB,8,28,0,0,4,2,0
Dameon Pierce,HST,RB,5,69,1,0,57,2,0
Chris Brooks,GB,RB,10,36,0,0,31,5,0
George Holani,SEA,RB,1,8,0,0,3,0,0
Jonathon Brooks,CAR,RB,3,7,0,0,5,1,0
Roschon Johnson,CHI,RB,7,14,0,0,11,1,0
Breece Hall,NYJ,RB,68,382,1,0,190,10,0
Alexander Mattison,LV,RB,9,24,0,0,22,0,0
Sione Vaki,DET,RB,3,7,0,0,5,0,0
Raheem Blackshear,CAR,RB,2,6,0,0,9,1,0
Tony Jones,ARZ,RB,1,3,0,0,7,1,0
Will Shipley,PHI,RB,2,6,0,0,6,1,0
Gus Edwards,LAC,RB,24,71,1,0,46,5,0
Kyren Williams,LA,RB,40,203,1,0,105,10,0
Brian Robinson,WAS,RB,33,195,0,0,79,4,0
Alvin Kamara,NO,RB,74,310,2,0,165,15,0
Aaron Shampklin,PIT,RB,1,5,0,0,5,0,0
Ray Davis,BUF,RB,18,76,1,0,62,6,0
Carson Steele,KC,RB,7,4,0,0,14,1,0
Tony Pollard,TEN,RB,65,277,1,0,158,10,0
Patrick Taylor,SF,RB,6,56,0,0,29,2,0
D'Andre Swift,CHI,RB,83,393,2,0,235,14,0
Terrell Jennings,NE,RB,1,7,0,0,5,0,0
Travis Homer,CHI,RB,1,1,0,0,2,0,0
Tyrion Davis-Price,PHI,RB,1,1,0,0,2,0,0
Dylan Laube,LV,RB,1,0,0,0,2,0,0
Jase McClellan,ATL,RB,2,-2,0,0,1,0,0
