Name,Team,POS,ATT,YDS,TD,YBC,YAC,MTF,1D
Khalil Herbert,CIN,RB,12,40,0,0,25,0,0
Brian Robinson,WAS,RB,50,213,2,0,139,8,0
Alvin Kamara,NO,RB,20,111,0,0,50,2,0
Tony Pollard,TEN,RB,79,322,3,0,221,10,0
Carson Steele,KC,RB,17,64,0,0,41,2,0
Ray Davis,BUF,RB,27,134,0,0,75,7,0
DeeJay Dallas,ARZ,RB,8,27,0,0,15,0,0
Patrick Taylor,SF,RB,13,36,1,0,21,0,0
D'Andre Swift,CHI,RB,54,189,2,0,97,4,0
Chris Collier,LV,RB,2,5,0,0,3,0,0
Sione Vaki,DET,RB,1,7,0,0,3,0,0
Jase McClellan,ATL,RB,1,4,0,0,2,0,0
Alexander Mattison,LV,RB,55,202,3,0,118,7,0
Raheem Blackshear,CAR,RB,2,5,0,0,3,0,0
Gus Edwards,LAC,RB,26,139,0,0,76,6,0
Will Shipley,PHI,RB,8,24,0,0,16,0,0
Tony Jones,ARZ,RB,2,50,1,0,44,1,0
Kyren Williams,LA,RB,118,446,5,0,236,7,0
Blake Corum,LA,RB,17,54,0,0,25,1,0
James Cook,BUF,RB,50,288,5,0,131,8,0
Dameon Pierce,HST,RB,19,76,0,0,57,2,0
Pierre Strong,CLV,RB,5,16,0,0,5,0,0
Raheem Mostert,MIA,RB,24,84,1,0,31,3,0
Joshua Kelley,TEN,RB,1,2,0,0,2,0,0
Chris Brooks,GB,RB,14,63,1,0,29,0,0
Jonathon Brooks,CAR,RB,3,8,0,0,5,1,0
Breece Hall,NYJ,RB,40,113,2,0,70,2,0
Roschon Johnson,CHI,RB,12,36,0,0,23,1,0
Justice Hill,BLT,RB,6,34,0,0,8,0,0
Sincere McCormick,LV,RB,18,69,0,0,38,1,0
James Conner,ARZ,RB,95,452,4,0,233,18,0
Alec Ingold,MIA,FB,6,18,1,0,12,0,0
Kendre Miller,NO,RB,2,3,0,0,4,0,0
Tyrion Davis-Price,PHI,RB,1,1,0,0,2,0,0
Emari Demercado,ARZ,RB,11,64,0,0,13,0,0
J.K. Dobbins,LAC,RB,59,235,1,0,138,5,0
Zack Moss,CIN,RB,18,63,0,0,36,3,0
Rhamondre Stevenson,NE,RB,55,210,2,0,97,1,0
Travis Etienne,JAX,RB,70,250,1,0,153,3,0
Samaje Perine,KC,RB,7,38,1,0,8,0,0
Myles Gaskin,MIN,RB,1,-3,0,0,0,0,0
Ronnie Rivers,LA,RB,5,22,0,0,10,1,0
Travis Homer,CHI,RB,3,12,0,0,6,0,0
Kyle Juszczyk,SF,FB,4,20,0,0,11,0,0
Hunter Luepke,DAL,FB,6,21,0,0,18,1,0
Dare Ogunbowale,HST,RB,14,32,0,0,28,0,0
Kimani Vidal,LAC,RB,14,48,0,0,33,1,0
Chase Brown,CIN,RB,61,273,4,0,148,8,0
Najee Harris,PIT,RB,46,157,1,0,98,4,0
