Name,Team,POS,ATT,YDS,TD,YBC,YAC,MTF,1D
Roschon Johnson,CHI,RB,29,84,4,0,48,1,0
Breece Hall,NYJ,RB,38,133,0,0,85,4,0
George Holani,SEA,RB,2,2,0,0,2,0,0
Chris Brooks,GB,RB,5,31,0,0,19,1,0
Pierre Strong,CLV,RB,5,15,0,0,11,0,0
Raheem Mostert,MIA,RB,17,54,0,0,31,0,0
James Cook,BUF,RB,70,253,2,0,138,8,0
Blake Corum,LA,RB,16,70,0,0,41,2,0
Dameon Pierce,HST,RB,4,119,1,0,16,1,0
Alec Ingold,MIA,FB,4,-1,0,0,3,0,0
Kendre Miller,NO,RB,12,44,0,0,22,0,0
James Conner,ARZ,RB,38,111,2,0,88,9,0
Sincere McCormick,LV,RB,9,47,0,0,29,2,0
Justice Hill,BLT,RB,14,44,0,0,26,2,0
Tony Jones,ARZ,RB,1,2,0,0,2,0,0
Jonathon Brooks,CAR,RB,1,3,0,0,2,0,0
Blake Watson,DEN,RB,3,8,0,0,3,0,0
Jacob Kibodi,CLV,RB,2,5,0,0,4,0,0
Kyle Juszczyk,SF,FB,1,6,1,0,5,1,0
Hunter Luepke,DAL,FB,2,0,0,0,0,0,0
Tyrion Davis-Price,PHI,RB,1,5,0,0,4,0,0
Emari Demercado,ARZ,RB,1,4,0,0,2,0,0
Rasheen Ali,BLT,RB,2,4,0,0,2,0,0
Michael Burton,DEN,FB,2,3,0,0,2,0,0
Jordan Mims,NO,RB,4,15,0,0,10,0,0
Jermar Jefferson,DET,RB,3,7,0,0,5,0,0
Reggie Gilliam,BUF,FB,2,3,0,0,0,0,0
