Name,Team,POS,ATT,YDS,TD,YBC,YAC,MTF,1D
Braelon Allen,NYJ,RB,30,145,1,0,91,8,0
Justice Hill,BLT,RB,9,13,0,0,21,1,0
Jordan Mason,SF,RB,36,137,1,0,70,5,0
Tyler Goodson,IND,RB,7,55,0,0,17,0,0
Isaiah Davis,NYJ,RB,11,54,1,0,38,3,0
Mike Boone,CAR,RB,5,9,0,0,8,0,0
Jonathan Taylor,IND,RB,80,453,4,0,153,7,0
Bucky Irving,TB,RB,58,243,1,0,129,14,0
Audric Estime,DEN,RB,13,51,0,0,31,4,0
Keaton Mitchell,BLT,RB,3,10,0,0,6,0,0
Antonio Gibson,NE,RB,31,107,0,0,80,8,0
JaMycal Hasty,NE,RB,10,34,0,0,19,0,0
Cam Akers,MIN,RB,32,167,1,0,77,6,0
Tyjae Spears,TEN,RB,19,44,1,0,33,1,0
Javonte Williams,DEN,RB,34,137,1,0,75,6,0
Terrell Jennings,NE,RB,3,3,0,0,7,0,0
Nick Chubb,CLV,RB,34,119,0,0,78,2,0
Chris Rodriguez Jr.,WAS,RB,14,68,1,0,40,4,0
Michael Carter,ARZ,RB,8,36,0,0,20,1,0
Devin Singletary,NYG,RB,32,114,0,0,62,5,0
Deuce Vaughn,DAL,RB,5,17,0,0,13,1,0
Ameer Abdullah,LV,RB,14,48,0,0,30,2,0
Zamir White,LV,RB,17,35,0,0,29,2,0
Jeff Wilson,MIA,RB,4,16,0,0,11,1,0
Jahmyr Gibbs,DET,RB,83,481,5,0,183,18,0
Emanuel Wilson,GB,RB,18,104,0,0,60,4,0
Khalil Herbert,CIN,RB,7,29,0,0,14,0,0
Kenny McIntosh,SEA,RB,9,55,0,0,32,6,0
Christian McCaffrey,SF,RB,10,21,0,0,17,0,0
Trey Sermon,IND,RB,21,60,0,0,34,1,0
Ezekiel Elliott,DAL,RB,13,37,1,0,26,0,0
MarShawn Lloyd,GB,RB,2,4,0,0,5,0,0
Tyler Allgeier,ATL,RB,46,188,1,0,103,10,0
Jermar Jefferson,DET,RB,1,8,0,0,3,0,0
David Montgomery,DET,RB,78,300,4,0,179,7,0
Zach Charbonnet,SEA,RB,30,175,2,0,66,6,0
Chuba Hubbard,CAR,RB,65,303,4,0,178,10,0
Josh Jacobs,GB,RB,66,314,5,0,181,14,0
Rachaad White,TB,RB,45,144,0,0,85,5,0
Hassan Haskins,LAC,RB,9,27,1,0,16,0,0
Tyrone Tracy,NYG,RB,51,241,1,0,144,8,0
Jaylen Warren,PIT,RB,38,152,0,0,110,7,0
Ty Johnson,BUF,RB,6,13,0,0,14,0,0
Rico Dowdle,DAL,RB,52,237,0,0,113,4,0
Jaylen Wright,MIA,RB,9,27,0,0,17,1,0
Ty Chandler,MIN,RB,9,34,0,0,15,1,0
Jerome Ford,CLV,RB,36,244,2,0,115,10,0
Kareem Hunt,KC,RB,37,147,0,0,79,2,0
Derrick Henry,BLT,RB,80,493,1,0,218,14,0
Jeremy McNichols,WAS,RB,21,86,0,0,48,3,0
Kenneth Walker,SEA,RB,25,91,2,0,55,7,0
De'Von Achane,MIA,RB,52,252,1,0,123,5,0
Julius Chestnut,TEN,RB,4,18,0,0,13,1,0
Bijan Robinson,ATL,RB,109,516,5,0,268,18,0
Jaleel McLaughlin,DEN,RB,29,138,0,0,66,6,0
Trey Benson,ARZ,RB,16,82,1,0,32,4,0
Tyler Badie,DEN,RB,3,22,0,0,13,0,0
Clyde Edwards-Helaire,NO,RB,2,2,0,0,1,0,0
Tank Bigsby,JAX,RB,40,167,1,0,110,7,0
Jordan Mims,NO,RB,6,17,0,0,12,0,0
D'Onta Foreman,CLV,RB,17,74,0,0,32,0,0
Isiah Pacheco,KC,RB,10,28,0,0,13,2,0
Kenneth Gainwell,PHI,RB,15,61,0,0,30,1,0
Cordarrelle Patterson,PIT,RB,8,32,0,0,15,3,0
Sean Tucker,TB,RB,12,63,0,0,31,1,0
Samaje Perine,KC,RB,5,15,0,0,16,1,0
Travis Etienne,JAX,RB,29,129,0,0,85,1,0
Myles Gaskin,MIN,RB,1,0,0,0,3,0,0
